zoneID,zone_name,category2,category_label,niche,reference_area_km2,reference_pixels,n_selected_features,top1_importance_share,top5_importance_share,importance_shannon,effective_number_of_features,selection_roles,selected_for_detail
13,Temperate tufted grass steppes,grassland_meadow_steppe,grassland meadow steppe,climate,392778.754746233,620911,21,0.0835351363281877,0.361919498178402,2.97379454140796,19.5660229973561,"",FALSE
15,Grass and forb halophytic meadows,grassland_meadow_steppe,grassland meadow steppe,climate,155782.486712609,242556,21,0.0788914622176026,0.352658232630922,2.9967946632217,20.0212590840702,"",FALSE
16,Kobresia spp. and forb high-cold meadows,grassland_meadow_steppe,grassland meadow steppe,climate,653919.837866197,917167,21,0.10547064686279,0.439280721422484,2.90415609519192,18.249836027469,category largest observed area; global largest observed area,TRUE
31,Grass and Carex spp. high-cold steppes,grassland_meadow_steppe,grassland meadow steppe,climate,602782.267595032,848105,21,0.0906744778432954,0.409790311255288,2.92918466938801,18.712367509275,global largest observed area,TRUE
40,Subtropical and tropical grasslands,grassland_meadow_steppe,grassland meadow steppe,climate,262130.658259238,341246,21,0.0961173860156887,0.4173329536188,2.94256918479355,18.9645070994686,"",FALSE
41,Temperate grasslands,grassland_meadow_steppe,grassland meadow steppe,climate,62655.3585233834,91481,21,0.0868781853523944,0.337944878131031,3.00310645582221,20.1480287701317,category profile medoid; category smallest observed area,TRUE
7,Deciduous scrubs in temperate zone,scrub,scrub,climate,145723.607727903,221602,21,0.0721057950088073,0.324932650990956,3.00915939750127,20.2703534518289,category profile medoid,TRUE
18,Subalpine broadleaf deciduous scrubs,scrub,scrub,climate,80420.5115528885,113046,21,0.100525225142987,0.388709487397511,2.95944182693125,19.2872031530389,"",FALSE
44,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,scrub,scrub,climate,441250.860529288,576554,21,0.0859457671342491,0.382519612365068,2.96317320536682,19.3593054437751,category largest observed area,TRUE
45,Subalpine needleleaf evergreen scrubs,scrub,scrub,climate,12167.9589990281,16418,21,0.110368268988807,0.392527432241749,2.95672865191149,19.2349445207087,"",FALSE
46,Subalpine sclerophyllous broadleaf evergreen scrubs,scrub,scrub,climate,101463.317627609,136995,21,0.115056143138286,0.425557879768324,2.91707928897938,18.4872127239058,"",FALSE
50,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones,scrub,scrub,climate,1954.02259297092,2515,21,0.154757066815497,0.438703717504187,2.89306045131728,18.0484616015804,category smallest observed area; global smallest observed area,TRUE
4,"Grass, Carex and forb swamp meadows",wetland,wetland,climate,53482.0093491042,92312,21,0.092144293720657,0.339282970675088,3.00531381440437,20.1925518154361,category profile medoid,TRUE
6,Cold-temperate and temperate marshes,wetland,wetland,climate,53583.994126283,92003,21,0.0891160554032644,0.352467864534107,2.99201938250749,19.9258798642132,category largest observed area,TRUE
43,High-cold marshes,wetland,wetland,climate,4041.58735428002,5708,21,0.0677983487962532,0.312503627070137,3.01358822416058,20.360326423874,global smallest observed area,TRUE
48,Subtropical and tropical marshes,wetland,wetland,climate,1797.64026241183,2400,21,0.0913683915529758,0.377825135091368,2.96712211999234,19.4359048308616,category smallest observed area; global smallest observed area,TRUE
54,Tropical mangroves,wetland,wetland,climate,9405.78073086598,11883,21,0.103224030435606,0.411686066382372,2.93135103919443,18.7529493590293,"",FALSE
17,Alpine tundra,alpine_vegetation,alpine vegetation,soil,1166.83977455947,2032,9,0.194139790485656,0.722054242738914,2.05247350576126,7.78713883695653,category smallest observed area; global smallest observed area,TRUE
20,Alpine sparse vegetation,alpine_vegetation,alpine vegetation,soil,290572.043152328,411347,9,0.311699540801741,0.759968018318245,1.96454942893202,7.13169852910858,category largest observed area; category profile medoid,TRUE
22,Alpine cushion vegetation,alpine_vegetation,alpine vegetation,soil,29216.0608445185,43164,9,0.251556657813156,0.771725749251258,2.04407001866647,7.72197390605032,"",FALSE
1,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,soil,9762.48864593947,15353,9,0.200509894570233,0.672860578567811,2.14724280015479,8.56122082865883,category smallest observed area,TRUE
12,One year one ripe grain fields and cold-tolerant economic crop fields,cropland,cropland,soil,231554.213781713,375765,9,0.18549816553043,0.682410991593017,2.14603827609672,8.55091484035579,category profile medoid,TRUE
21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,cropland,cropland,soil,460573.91798181,610148,9,0.194789543502027,0.684934780462187,2.13935734277849,8.49397715870836,"",FALSE
27,Two years three ripes or one year two ripes grain fields and deciduous orchards,cropland,cropland,soil,581987.788488805,866811,9,0.212078737565041,0.660553055283792,2.14306297141088,8.52551107407595,category largest observed area; global largest observed area,TRUE
