category2,niche,category_label,n_zones,inference_scope,group_rank,feature_group,mean_group_importance_share,se_group_importance_share,top_variables
scrub,climate,scrub,6,within-category pattern,3,Growing season and degree-days,0.139757619582325,0.0266752098124192,TD [10.2%; selected 100%]; EXT [6.5%; selected 100%]; PPT_at [5.6%; selected 100%]; Tmax_wt [5%; selected 100%]; Eref_at [4.6%; selected 100%]; PPT_sp [4.5%; selected 83%]
wetland,climate,wetland,5,within-category pattern,1,Precipitation,0.230477243949202,0.0135304536378497,TD [5.6%; selected 80%]; PPT_at [5.5%; selected 100%]; PPT_wt [5.2%; selected 100%]; PPT_sp [5.1%; selected 80%]; Eref_at [4%; selected 60%]; Eref_sm [3.8%; selected 100%]
wetland,climate,wetland,5,within-category pattern,2,Temperature,0.213482976190251,0.0478664342997882,TD [5.6%; selected 80%]; PPT_at [5.5%; selected 100%]; PPT_wt [5.2%; selected 100%]; PPT_sp [5.1%; selected 80%]; Eref_at [4%; selected 60%]; Eref_sm [3.8%; selected 100%]
wetland,climate,wetland,5,within-category pattern,3,Growing season and degree-days,0.172376922160745,0.0618128472104882,TD [5.6%; selected 80%]; PPT_at [5.5%; selected 100%]; PPT_wt [5.2%; selected 100%]; PPT_sp [5.1%; selected 80%]; Eref_at [4%; selected 60%]; Eref_sm [3.8%; selected 100%]
alpine_vegetation,soil,alpine vegetation,3,within-category pattern,1,Nutrient retention and base status,0.258207595936097,0.074173936362435,T_GRAVEL [21.8%; selected 100%]; T_OC [15.7%; selected 100%]; T_BS [9.5%; selected 67%]; T_CLAY [8.9%; selected 67%]; T_CEC_CLAY [7.6%; selected 100%]; T_ESP [7.3%; selected 67%]
alpine_vegetation,soil,alpine vegetation,3,within-category pattern,2,Coarse fragments,0.218436767494502,0.0655330065499473,T_GRAVEL [21.8%; selected 100%]; T_OC [15.7%; selected 100%]; T_BS [9.5%; selected 67%]; T_CLAY [8.9%; selected 67%]; T_CEC_CLAY [7.6%; selected 100%]; T_ESP [7.3%; selected 67%]
alpine_vegetation,soil,alpine vegetation,3,within-category pattern,3,Texture,0.18894193396335,0.0244103988138562,T_GRAVEL [21.8%; selected 100%]; T_OC [15.7%; selected 100%]; T_BS [9.5%; selected 67%]; T_CLAY [8.9%; selected 67%]; T_CEC_CLAY [7.6%; selected 100%]; T_ESP [7.3%; selected 67%]
cropland,soil,cropland,7,within-category pattern,1,Nutrient retention and base status,0.468180149566586,0.0226788072911079,T_CEC_CLAY [18.3%; selected 100%]; T_PH_H2O [11.7%; selected 100%]; T_TEB [11.5%; selected 100%]; T_OC [9.6%; selected 86%]; T_CEC_SOIL [9.4%; selected 86%]; T_CLAY [8.8%; selected 100%]
cropland,soil,cropland,7,within-category pattern,2,Texture,0.20384790865928,0.0152775011647342,T_CEC_CLAY [18.3%; selected 100%]; T_PH_H2O [11.7%; selected 100%]; T_TEB [11.5%; selected 100%]; T_OC [9.6%; selected 86%]; T_CEC_SOIL [9.4%; selected 86%]; T_CLAY [8.8%; selected 100%]
cropland,soil,cropland,7,within-category pattern,3,Soil reaction,0.116772173225713,0.0185079360490681,T_CEC_CLAY [18.3%; selected 100%]; T_PH_H2O [11.7%; selected 100%]; T_TEB [11.5%; selected 100%]; T_OC [9.6%; selected 86%]; T_CEC_SOIL [9.4%; selected 86%]; T_CLAY [8.8%; selected 100%]
desert,soil,desert,8,within-category pattern,1,Nutrient retention and base status,0.225909760331188,0.026767830051906,T_OC [17.9%; selected 100%]; T_TEB [9.7%; selected 75%]; T_CASO4 [8.1%; selected 50%]; T_CEC_CLAY [8%; selected 88%]; T_CACO3 [7.7%; selected 62%]; T_PH_H2O [7.1%; selected 62%]
desert,soil,desert,8,within-category pattern,2,Organic carbon,0.17872095075219,0.0295662227320159,T_OC [17.9%; selected 100%]; T_TEB [9.7%; selected 75%]; T_CASO4 [8.1%; selected 50%]; T_CEC_CLAY [8%; selected 88%]; T_CACO3 [7.7%; selected 62%]; T_PH_H2O [7.1%; selected 62%]
desert,soil,desert,8,within-category pattern,3,Texture,0.157463657645415,0.0263610082099254,T_OC [17.9%; selected 100%]; T_TEB [9.7%; selected 75%]; T_CASO4 [8.1%; selected 50%]; T_CEC_CLAY [8%; selected 88%]; T_CACO3 [7.7%; selected 62%]; T_PH_H2O [7.1%; selected 62%]
forest,soil,forest,15,within-category pattern,1,Nutrient retention and base status,0.456815210151482,0.021180293391689,T_CEC_CLAY [15.2%; selected 100%]; T_BS [12.8%; selected 87%]; T_PH_H2O [12.7%; selected 100%]; T_TEB [11.8%; selected 93%]; T_SILT [8.8%; selected 80%]; T_OC [7.8%; selected 73%]
forest,soil,forest,15,within-category pattern,2,Texture,0.205829476835928,0.0182604703035961,T_CEC_CLAY [15.2%; selected 100%]; T_BS [12.8%; selected 87%]; T_PH_H2O [12.7%; selected 100%]; T_TEB [11.8%; selected 93%]; T_SILT [8.8%; selected 80%]; T_OC [7.8%; selected 73%]
