method,method_label,sample_pixels,current_prediction_valid_share,current_exact_share,reference_zone_dual_valid_share,predicted_valid_but_reference_dual_NA_share,reference_zone_dual_exact_share,all_53_dual_valid_share,all_53_exact_share,original_zone_top1_share,original_zone_top2_share,original_zone_top3_share,original_zone_top5_share,assignment_consistency_violations
rf_var,Plain RF,100000,0.98153,0.600226177498395,0.98004,0.00149,0.601138729031468,0.97986,0.601065458330782,0.601138729031468,0.786223011305661,0.865852414187176,0.918391086078119,0
mf_var,Plain MF RF,100000,0.98153,0.600205801147189,0.98004,0.00149,0.601118321701155,0.97986,0.601045047251648,0.601118321701155,0.786039345332844,0.865168768621689,0.917523774539815,0
