zone,fold,n_tr,n_te,n_pos,n_neg,acc,sens,spec,bacc
46,1,17678,2322,270,2052,0.960809646856158,0.925925925925926,0.965399610136452,0.945662768031189
46,2,13862,6138,4183,1955,0.768980123818834,0.688022950035859,0.942199488491049,0.815111219263454
46,3,17765,2235,93,2142,0.975838926174497,0.763440860215054,0.985060690943044,0.874250775579049
46,4,18154,1846,745,1101,0.885157096424702,0.873825503355705,0.892824704813806,0.883325104084755
46,5,12541,7459,4709,2750,0.910443759217053,0.922913569760034,0.889090909090909,0.906002239425472
