zone,fold,n_tr,n_te,n_pos,n_neg,acc,sens,spec,bacc
5,1,18857,1143,326,817,0.89501312335958,0.760736196319019,0.94859241126071,0.854664303789864
5,2,16035,3965,1924,2041,0.854476670870113,0.923596673596674,0.789318961293484,0.856457817445079
5,3,11995,8005,5190,2815,0.579887570268582,0.392485549132948,0.925399644760213,0.658942596946581
5,4,17566,2434,258,2176,0.970829909613805,0.852713178294574,0.984834558823529,0.918773868559052
5,5,15547,4453,2302,2151,0.7772288344936,0.653344917463076,0.909809390980939,0.781577154222007
