zone,fold,n_tr,n_te,n_pos,n_neg,acc,sens,spec,bacc
2,1,10002,9998,7342,2656,0.647729545909182,0.543040043584854,0.937123493975904,0.740081768780379
2,2,16146,3854,1426,2428,0.7952776336274,0.556802244039271,0.935337726523888,0.746069985281579
2,3,18124,1876,206,1670,0.94136460554371,0.781553398058252,0.961077844311377,0.871315621184815
2,4,17973,2027,509,1518,0.926985693142575,0.864440078585462,0.947957839262187,0.906198958923824
2,5,17755,2245,517,1728,0.906013363028953,0.764023210831721,0.94849537037037,0.856259290601046
