zone,fold,n_tr,n_te,n_pos,n_neg,acc,sens,spec,bacc
39,1,17454,2546,60,2486,0.989002356637863,0.85,0.992357200321802,0.921178600160901
39,2,14645,5355,3659,1696,0.878057889822596,0.854331784640612,0.929245283018868,0.89178853382974
39,3,11453,8547,6122,2425,0.686322686322686,0.575955570075139,0.964948453608247,0.770452011841693
39,4,17585,2415,37,2378,0.984679089026915,0,1,0.5
39,5,18863,1137,122,1015,0.926121372031662,0.647540983606557,0.959605911330049,0.803573447468303
