zone,fold,n_tr,n_te,n_pos,n_neg,acc,sens,spec,bacc
18,1,17435,2565,671,1894,0.807017543859649,0.424739195230999,0.942449841605069,0.683594518418034
18,2,17945,2055,136,1919,0.93625304136253,0.286764705882353,0.982282438770193,0.634523572326273
18,3,11737,8263,5934,2329,0.799830570010892,0.777553083923155,0.856590811507085,0.81707194771512
18,4,15286,4714,2810,1904,0.822443784471786,0.849110320284698,0.783088235294118,0.816099277789408
18,5,17597,2403,449,1954,0.846025801081981,0.43652561247216,0.940122824974411,0.688324218723286
