zone,fold,n_tr,n_te,n_pos,n_neg,acc,sens,spec,bacc
10,1,12046,7954,6049,1905,0.933995473975358,0.946106794511489,0.895538057742782,0.920822426127136
10,2,17545,2455,645,1810,0.885947046843177,0.654263565891473,0.968508287292818,0.811385926592145
10,3,17755,2245,3,2242,0.998663697104677,0,1,0.5
10,4,18011,1989,180,1809,0.975364504776269,0.772222222222222,0.995577667219458,0.88389994472084
10,5,14643,5357,3123,2234,0.929251446705246,0.973422990714057,0.867502238137869,0.920462614425963
