zone,fold,n_tr,n_te,n_pos,n_neg,acc,sens,spec,bacc
16,1,14872,5128,3483,1645,0.922581903276131,0.973873097904106,0.813981762917933,0.893927430411019
16,2,17286,2714,925,1789,0.927781871775976,0.925405405405405,0.929010620458357,0.927208012931881
16,3,16570,3430,885,2545,0.956268221574344,0.969491525423729,0.951669941060904,0.960580733242316
16,4,14423,5577,3311,2266,0.852967545275238,0.826336454243431,0.891879964695499,0.859108209469465
16,5,16849,3151,1396,1755,0.891780387178674,0.925501432664757,0.864957264957265,0.895229348811011
