zoneID,niche,importance_spearman,importance_pearson,top5_overlap_n,top5_union_n,top5_jaccard,selected_overlap_n,selected_union_n,selected_jaccard,zone_name,detailed_category,category2,zone_color,reference_area_km2,reference_pixels,category_label,global_area_rank_largest,global_area_rank_smallest,category_area_rank_largest,category_area_rank_smallest
49,climate,0.988311688311688,0.999146719570148,5,5,1,21,21,1,Broadleaf evergreen forests in subtropical zone,subtropical_evergreen_forest,forest,#006400,121050.734801791,158047,forest,22,32,5,11
52,climate,0.996103896103896,0.996537585655309,5,5,1,21,21,1,Tropical rain forests,tropical_rain_forest,forest,#00C853,18691.6856141285,24103,forest,41,13,10,6
55,climate,0.993506493506494,0.994372070229117,5,5,1,21,21,1,Tropical monsoon forests,tropical_monsoon_forest,forest,#00A676,5167.1571874639,6461,forest,48,6,14,2
5,climate,0.988311688311688,0.995197152715755,5,5,1,21,21,1,Grass and forb meadows,meadow,grassland_meadow_steppe,#B8DE29,118048.393013657,191879,grassland meadow steppe,23,31,6,3
11,climate,0.979220779220779,0.984832616151925,5,5,1,21,21,1,Temperate grass and forb meadow steppes,meadow_steppe,grassland_meadow_steppe,#D9ED92,88744.7461983382,147426,grassland meadow steppe,28,26,7,2
13,climate,0.990909090909091,0.997052424280319,5,5,1,21,21,1,Temperate tufted grass steppes,tufted_grass_steppe,grassland_meadow_steppe,#DDA15E,392778.754746233,620911,grassland meadow steppe,9,45,3,6
15,climate,0.987012987012987,0.996807620711152,5,5,1,21,21,1,Grass and forb halophytic meadows,halophytic_meadow,grassland_meadow_steppe,#FF70A6,155782.486712609,242556,grassland meadow steppe,19,35,5,4
16,climate,0.997402597402597,0.998955815123999,5,5,1,21,21,1,Kobresia spp. and forb high-cold meadows,high_cold_meadow,grassland_meadow_steppe,#90BE6D,653919.837866197,917167,grassland meadow steppe,1,53,1,8
31,climate,0.987012987012987,0.996077106945678,5,5,1,21,21,1,Grass and Carex spp. high-cold steppes,high_cold_steppe,grassland_meadow_steppe,#48CAE4,602782.267595032,848105,grassland meadow steppe,2,52,2,7
40,climate,0.992207792207792,0.998468083183471,5,5,1,21,21,1,Subtropical and tropical grasslands,subtropical_tropical_grassland,grassland_meadow_steppe,#AACC00,262130.658259238,341246,grassland meadow steppe,14,40,4,5
41,climate,0.955844155844156,0.992325290832613,5,5,1,21,21,1,Temperate grasslands,temperate_grassland,grassland_meadow_steppe,#70E000,62655.3585233834,91481,grassland meadow steppe,30,24,8,1
