zoneID,niche,feature,rf_importance_share,mf_importance_share,consensus_importance_share,rf_mda_unscaled,mf_mda_unscaled,mean_mda_unscaled,selected_in_rf,selected_in_mf,selected_method_count,feature_group,climate_period,selected,consensus_rank,top5,top10,zone_name,detailed_category,category2,zone_color,reference_area_km2,reference_pixels,category_label,global_area_rank_largest,global_area_rank_smallest,category_area_rank_largest,category_area_rank_smallest
20,climate,PPT_sm,0.0358258346833787,0.0346388552099804,0.0352323449466795,0.0348044402727169,0.0337272021466696,0.0342658212096933,TRUE,TRUE,2,Precipitation,Summer,TRUE,9,FALSE,TRUE,Alpine sparse vegetation,alpine_sparse,alpine_vegetation,#B8C0FF,290572.043152328,411347,alpine vegetation,11,43,1,3
20,climate,MAP,0.0326711652022616,0.0337777790350583,0.03322447211866,0.0317397104065168,0.0328887884624059,0.0323142494344613,TRUE,TRUE,2,Precipitation,Annual,TRUE,10,FALSE,TRUE,Alpine sparse vegetation,alpine_sparse,alpine_vegetation,#B8C0FF,290572.043152328,411347,alpine vegetation,11,43,1,3
22,climate,Eref_at,0.0841591614854317,0.0849410289124143,0.084550095198923,0.144085796469523,0.145048906587142,0.144567351528332,TRUE,TRUE,2,Radiation and evaporative demand,Autumn,TRUE,1,TRUE,TRUE,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
22,climate,PAS_sp,0.0688513917982167,0.0684747701239483,0.0686630809610825,0.11787792856038,0.116930424112545,0.117404176336463,TRUE,TRUE,2,Snowfall,Spring,TRUE,2,TRUE,TRUE,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
22,climate,Eref,0.0681028509532296,0.0668971276560065,0.067499989304618,0.11659637938693,0.114236374865787,0.115416377126358,TRUE,TRUE,2,Radiation and evaporative demand,Annual,TRUE,3,TRUE,TRUE,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
22,climate,Tmax_wt,0.0608790428319786,0.0639245216972962,0.0624017822646374,0.104228763926863,0.109160226748133,0.106694495337498,TRUE,TRUE,2,Temperature,Winter,TRUE,4,TRUE,TRUE,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
22,climate,DD5_at,0.0614989418767989,0.0607129562600767,0.0611059490684378,0.105290070218741,0.103676021281513,0.104483045750127,TRUE,TRUE,2,Growing season and degree-days,Autumn,TRUE,5,TRUE,TRUE,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
22,climate,Eref_sm,0.0593655893036152,0.0595549245903372,0.0594602569469762,0.101637635959273,0.101698517245599,0.101668076602436,TRUE,TRUE,2,Radiation and evaporative demand,Summer,TRUE,6,FALSE,TRUE,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
22,climate,PPT_sm,0.0575327361808237,0.0581809674258518,0.0578568518033377,0.0984996757259741,0.0993522896691509,0.0989259826975625,TRUE,TRUE,2,Precipitation,Summer,TRUE,7,FALSE,TRUE,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
22,climate,DD_0_at,0.0568660114805199,0.0529811049399242,0.0549235582102221,0.0973582009563401,0.0904727837619996,0.0939154923591699,TRUE,TRUE,2,Growing season and degree-days,Autumn,TRUE,8,FALSE,TRUE,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
22,climate,DD_0,0.0517019992675076,0.0498929066931937,0.0507974529803506,0.0885170861025636,0.085199245346607,0.0868581657245853,TRUE,TRUE,2,Growing season and degree-days,Annual,TRUE,9,FALSE,TRUE,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
22,climate,PPT_at,0.0471238721644919,0.0469956575556681,0.04705976486008,0.0806790435373355,0.0802517797355894,0.0804654116364624,TRUE,TRUE,2,Precipitation,Autumn,TRUE,10,FALSE,TRUE,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
1,climate,Eref_sm,0.0742019440782921,0.0738596765573827,0.0740308103178374,0.14535893060606,0.143413539944167,0.144386235275113,TRUE,TRUE,2,Radiation and evaporative demand,Summer,TRUE,1,TRUE,TRUE,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
1,climate,PPT_at,0.0705345177620075,0.0715604997779209,0.0710475087699642,0.138174574804692,0.138949221979765,0.138561898392228,TRUE,TRUE,2,Precipitation,Autumn,TRUE,2,TRUE,TRUE,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
1,climate,DD5_sm,0.056887095893993,0.0582144461071469,0.0575507710005699,0.111439767881423,0.113035152349044,0.112237460115233,TRUE,TRUE,2,Growing season and degree-days,Summer,TRUE,3,TRUE,TRUE,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
1,climate,DD5,0.0566851677700195,0.0559618175085334,0.0563234926392765,0.111044197973859,0.108661217117204,0.109852707545532,TRUE,TRUE,2,Growing season and degree-days,Annual,TRUE,4,TRUE,TRUE,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
1,climate,PPT_sp,0.0558675017784318,0.0561981722996732,0.0560328370390525,0.109442419804749,0.109120147874284,0.109281283839516,TRUE,TRUE,2,Precipitation,Spring,TRUE,5,TRUE,TRUE,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
1,climate,EXT,0.0541125807073718,0.0552654465318849,0.0546890136196284,0.106004592759165,0.107309071649874,0.106656832204519,TRUE,TRUE,2,Temperature,Annual,TRUE,6,FALSE,TRUE,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
1,climate,PPT_sm,0.0544529695429751,0.0546263343263003,0.0545396519346377,0.106671402203959,0.106068105697996,0.106369753950978,TRUE,TRUE,2,Precipitation,Summer,TRUE,7,FALSE,TRUE,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
1,climate,DD_0_at,0.0535220804901445,0.0528079625574534,0.053165021523799,0.104847824143935,0.102537368163528,0.103692596153731,TRUE,TRUE,2,Growing season and degree-days,Autumn,TRUE,8,FALSE,TRUE,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
1,climate,Tmin_sm,0.0523659272047447,0.0527660321051721,0.0525659796549584,0.102582961581775,0.102455951687401,0.102519456634588,TRUE,TRUE,2,Temperature,Summer,TRUE,9,FALSE,TRUE,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
1,climate,DD_18_sm,0.0520800335732285,0.0514021582365414,0.051741095904885,0.102022906275132,0.0998077139932422,0.100915310134187,TRUE,TRUE,2,Growing season and degree-days,Summer,TRUE,10,FALSE,TRUE,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
12,climate,TD,0.110761258946869,0.110195553253124,0.110478406099997,0.161387419273919,0.160566493720616,0.160976956497268,TRUE,TRUE,2,Temperature,Annual,TRUE,1,TRUE,TRUE,One year one ripe grain fields and cold-tolerant economic crop fields,cropland,cropland,#F8961E,231554.213781713,375765,cropland,15,39,5,3
