category2,category_label,niche,feature,feature_group,climate_period,n_zones,mean_importance_share,sd_importance_share,median_importance_share,selected_zones,top5_zones,top10_zones,se_importance_share,selection_frequency,top5_frequency,top10_frequency,category_variable_rank,inference_scope,common_factor
forest,forest,climate,PPT_wt,Precipitation,Winter,15,0.0387838832917613,0.0293960824268823,0.0413033810886726,12,3,7,0.00759003584553705,0.8,0.2,0.466666666666667,6,within-category pattern,FALSE
forest,forest,climate,EXT,Temperature,Annual,15,0.036016185784113,0.0303108598282632,0.0363143747312655,11,4,5,0.00782623035493938,0.733333333333333,0.266666666666667,0.333333333333333,8,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,climate,TD,Temperature,Annual,8,0.0642273405968316,0.0166438532142861,0.0695536213503122,8,6,7,0.00588449073644761,1,0.75,0.875,1,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,climate,PPT_sm,Precipitation,Summer,8,0.0587154914361349,0.0177179771212892,0.0605323327233481,8,4,5,0.00626425088568585,1,0.5,0.625,2,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,climate,MAP,Precipitation,Annual,8,0.0550922599554522,0.0256669158917049,0.0630253237019393,7,5,6,0.00907462513958463,0.875,0.625,0.75,3,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,climate,PPT_sp,Precipitation,Spring,8,0.0501961244173541,0.00934015189220853,0.0510509370948157,8,0,5,0.00330224237014651,1,0,0.625,4,within-category pattern,FALSE
grassland_meadow_steppe,grassland meadow steppe,climate,DD5_sm,Growing season and degree-days,Summer,8,0.0477159379081118,0.0302039121439711,0.0416414690446251,7,2,2,0.0106786955476823,0.875,0.25,0.25,5,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,climate,AHM,Climatic moisture balance,Annual,8,0.0406309814508908,0.0245260709365592,0.0375123027274761,7,2,3,0.00867127553755165,0.875,0.25,0.375,6,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,climate,Tmax_wt,Temperature,Winter,8,0.0294549653547589,0.0278103662864539,0.0295875182741469,5,2,3,0.00983244929421664,0.625,0.25,0.375,11,within-category pattern,TRUE
grassland_meadow_steppe,grassland meadow steppe,climate,Eref_at,Radiation and evaporative demand,Autumn,8,0.0273181196280088,0.0297856642667847,0.0208021591181554,4,3,3,0.0105308225925947,0.5,0.375,0.375,14,within-category pattern,TRUE
no_vegetation,no vegetation,climate,MAP,Precipitation,Annual,1,0.0827044261929635,,0.0827044261929635,1,1,1,,1,1,1,1,descriptive only,FALSE
no_vegetation,no vegetation,climate,PPT_sm,Precipitation,Summer,1,0.075674952318016,,0.075674952318016,1,1,1,,1,1,1,2,descriptive only,FALSE
no_vegetation,no vegetation,climate,AHM,Climatic moisture balance,Annual,1,0.0721539911553336,,0.0721539911553336,1,1,1,,1,1,1,3,descriptive only,FALSE
no_vegetation,no vegetation,climate,Eref_sm,Radiation and evaporative demand,Summer,1,0.0700483093027001,,0.0700483093027001,1,1,1,,1,1,1,4,descriptive only,FALSE
no_vegetation,no vegetation,climate,PPT_sp,Precipitation,Spring,1,0.0604186722324867,,0.0604186722324867,1,1,1,,1,1,1,5,descriptive only,FALSE
no_vegetation,no vegetation,climate,CMD,Climatic moisture balance,Annual,1,0.058011811802065,,0.058011811802065,1,0,1,,1,0,1,6,descriptive only,FALSE
scrub,scrub,climate,TD,Temperature,Annual,6,0.102145790210442,0.0313800886676464,0.0981570180615281,6,6,6,0.0128108675531711,1,1,1,1,within-category pattern,TRUE
scrub,scrub,climate,EXT,Temperature,Annual,6,0.064811461861186,0.0308179050946528,0.067668917705912,6,3,4,0.0125813570705696,1,0.5,0.666666666666667,2,within-category pattern,TRUE
scrub,scrub,climate,PPT_at,Precipitation,Autumn,6,0.0560221143476551,0.0132731587553422,0.0586682702949254,6,4,5,0.00541874437092393,1,0.666666666666667,0.833333333333333,3,within-category pattern,TRUE
scrub,scrub,climate,Tmax_wt,Temperature,Winter,6,0.0500054714684096,0.0120642477950964,0.0469139024271336,6,2,4,0.00492520853808051,1,0.333333333333333,0.666666666666667,4,within-category pattern,TRUE
scrub,scrub,climate,Eref_at,Radiation and evaporative demand,Autumn,6,0.0457036595646233,0.0173015262658228,0.0435316294422474,6,1,3,0.00706331852043777,1,0.166666666666667,0.5,5,within-category pattern,FALSE
scrub,scrub,climate,PPT_sp,Precipitation,Spring,6,0.0451961531740107,0.0253228341035563,0.0504473460513841,5,1,4,0.0103380037324769,0.833333333333333,0.166666666666667,0.666666666666667,6,within-category pattern,FALSE
scrub,scrub,climate,DD5_sm,Growing season and degree-days,Summer,6,0.0339079464699688,0.0316347923043926,0.0327400961274326,4,2,2,0.0129148498774477,0.666666666666667,0.333333333333333,0.333333333333333,13,within-category pattern,TRUE
wetland,wetland,climate,TD,Temperature,Annual,5,0.0564424584438467,0.0377220967866524,0.0572837728291682,4,2,3,0.0168698345337562,0.8,0.4,0.6,1,within-category pattern,TRUE
wetland,wetland,climate,PPT_at,Precipitation,Autumn,5,0.0547700914346873,0.0168805350940875,0.0599337526925273,5,3,3,0.00754920479339007,1,0.6,0.6,2,within-category pattern,TRUE
wetland,wetland,climate,PPT_wt,Precipitation,Winter,5,0.0518755442030896,0.029264154590712,0.0429265522428408,5,2,2,0.0130873277937789,1,0.4,0.4,3,within-category pattern,TRUE
wetland,wetland,climate,PPT_sp,Precipitation,Spring,5,0.0512487947504797,0.03740703271207,0.0452043081382236,4,2,2,0.0167289335961494,0.8,0.4,0.4,4,within-category pattern,TRUE
wetland,wetland,climate,Eref_at,Radiation and evaporative demand,Autumn,5,0.0398595360609685,0.0374845432097182,0.0517394046214333,3,2,3,0.0167635973444916,0.6,0.4,0.6,5,within-category pattern,TRUE
wetland,wetland,climate,Eref_sm,Radiation and evaporative demand,Summer,5,0.0375223559972056,0.022746257032326,0.0516303040517687,5,0,3,0.0101724353915927,1,0,0.6,6,within-category pattern,FALSE
wetland,wetland,climate,PPT_sm,Precipitation,Summer,5,0.037410310926772,0.0259396515229786,0.0421603086308263,4,2,2,0.0116005648236072,0.8,0.4,0.4,8,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,soil,T_GRAVEL,Coarse fragments,,3,0.218436767494502,0.113506496917253,0.251556657813156,3,2,3,0.0655330065499473,1,0.666666666666667,1,1,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,soil,T_OC,Organic carbon,,3,0.156652964700335,0.0432219290179697,0.166443541494364,3,3,3,0.0249541923534197,1,1,1,2,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,soil,T_BS,Nutrient retention and base status,,3,0.0953107355906803,0.0945874399674922,0.0967743123352664,2,2,2,0.0546100839271892,0.666666666666667,0.666666666666667,0.666666666666667,3,within-category pattern,TRUE
