ori,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55
1,11591,357,459,178,134,22,69,1,337,12,5,233,2,3,41,50,193,2,18,97,3,0,5,190,2,1,38,4,7,153,5,90,1,0,0,1,0,402,28,1,14,5,17,248,65,47,5,0,114,0,1,3,9
2,2009,181048,20250,14800,14252,11474,2932,9125,888,4672,1994,4161,320,11,4471,404,4896,11,320,14,255,11,138,904,29,1748,235,13,142,315,100,84,146,9,78,101,15,59,110,169,35,2,250,27,79,2,19,15,101,27,532,9,232
3,4810,20489,289763,5755,21968,18881,41884,26824,3140,7423,18928,3719,1289,2131,46,19,1585,29,12,254,637,173,1460,252,354,20661,7787,29,654,18,332,10914,582,11,3878,11280,13,1049,247,19147,10,7,936,50,618,2133,19,125,11,11,7,6,13
4,1053,13856,3763,42692,2836,2023,954,300,9,6108,3880,6158,1883,1507,729,330,145,29,172,200,326,155,9,176,33,1409,8,4,104,9,19,117,9,12,5,5,9,72,7,3,3,5,6,6,11,4,179,4,45,9,5,4,6
5,2355,14676,17310,4305,73005,4345,4278,505,3930,9761,12643,7010,2516,1927,3410,476,642,5,705,1289,733,109,1032,1138,1207,3033,424,72,340,64,81,2519,354,119,1369,463,10,2115,784,2155,205,10,1527,377,2539,1681,15,837,37,8,7,5,1
6,175,11738,4259,2699,1237,52219,454,272,118,2791,4699,205,57,1218,45,13,78,26,18,1623,149,295,883,951,24,2201,12,65,358,197,11,147,17,20,60,251,8,17,16,12,83,67,22,12,18,235,16,116,29,14,16,11,17
7,805,3285,21972,2465,2458,1315,88973,2725,1040,4549,6929,7872,4273,3492,243,4,1123,391,223,802,27,2055,2820,3927,640,5914,2502,163,202,424,913,14616,416,348,2971,2526,11,1313,786,19305,279,6,1203,61,458,732,1,1276,116,3,3,1,9
9,0,547,3746,25,34,9,133,25365,9,243,231,30,48,1,1,0,3,1,0,3,2,2,2,2,3,20,2,4,1,0,1,2,2,2,10,0,2,0,0,1,1,1,0,4,0,0,3,0,0,0,1,1,2
10,1415,10,700,13,476,9,93,222,76932,20,32,53,9,30,2074,10,6391,8,1879,38,9,16,16,11,162,12,847,13,699,24,11,159,4574,14,1724,32,19,13380,568,16,15,220,285,858,24961,678,10,6150,285,29,22,21,10
11,10,1569,1795,4844,7758,1961,4409,40,37,89346,6687,12112,3255,1297,539,8,196,3,341,1,134,30,395,1558,8,4873,31,5,6,100,31,2766,41,10,4,130,1,15,8,561,15,7,8,23,46,11,6,5,2,2,7,7,3
12,321,1655,22294,7671,9472,8009,12204,5547,9,11003,236715,18676,6050,7203,9,4,11,102,7,6,1456,824,3032,2584,240,10887,29,73,5,12,63,5221,27,10,6,52,18,9,5,2541,9,6,5,33,5,2,16,15,22,10,9,9,10
13,2799,1708,1884,11077,9812,609,13532,66,28,26447,35434,374291,15933,18520,7284,89,6538,278,1585,15,2337,193,8390,35163,11,2603,98,105,52,4402,4201,29956,20,1179,15,317,7,16,12,1067,700,17,7,12,61,9,20,8,12,10,15,15,12
14,2,36,28,294,128,0,416,0,0,754,460,718,26671,597,0,0,0,477,0,0,0,755,499,29,0,602,0,2,0,0,10,181,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,77,118,519,2507,1982,1841,1327,186,126,5375,7201,16303,6344,134831,165,93,122,6355,188,100,86,13234,5568,4618,81,10557,134,3052,109,280,4188,3878,92,260,101,293,1350,90,90,158,475,161,89,83,161,77,72,78,72,83,82,76,103
16,3671,2261,66,1477,5524,166,295,9,12487,146,13,4777,5,656,545670,3344,65727,372,79123,6,23878,163,478,3165,43,10,520,30,47,60884,675,344,404,9,441,20,8,3210,80,2,6733,13666,74,24169,45898,45,20,206,130,8,8,6,9
17,0,42,0,15,18,0,0,2,0,0,0,1,1,0,2,1509,0,1,1,2,0,3,5,2,1,0,2,2,0,1,1,0,0,1,0,1,4,1,4,1,2,1,3,0,0,1,0,0,7,0,1,1,2
18,1913,782,139,113,999,0,206,0,6726,211,1,2830,0,5,23657,117,45866,5,1539,0,507,22,232,1518,53,0,436,0,14,2911,36,220,463,0,527,10,0,5478,0,5,1261,788,261,2357,10533,9,0,43,171,0,0,0,0
19,64,14,97,24,22,63,168,13,424,26,65,306,4056,18217,3537,23,508,532779,39859,14,4017,35736,18386,855,19,779,128,3440,21,6092,2869,123,24,104,31,72,12992,9,15,23,2916,502,23,1107,619,16,23,17,30,28,27,19,15
20,317,85,95,49,232,32,45,26,2728,38,37,480,37,70,52416,518,2671,457,224651,42,11644,50,629,1219,16,15,74,37,20,28956,44,42,95,30,35,31,38,215,40,24,35096,191,74,6490,9567,18,54,19,46,36,29,41,24
21,167,88,351,114,707,27,244,108,155,31,26,30,28,22,17,21,23,20,38,386583,25,23,27,30,12685,16,2750,23,61077,17,22,24,688,32,13325,369,17,499,39512,415,28,20,34542,43,116,9542,5617,13382,1153,2009,10337,567,1478
22,1,35,416,17,510,32,0,2,1,2,419,90,1,2,3361,41,99,518,2159,1,30056,0,188,327,0,243,0,1,1,1748,33,1,1,1,1,0,0,0,3,1,1599,7,0,30,1,0,1,1,0,2,1,1,25
23,1,1,1,93,2,40,793,1,1,0,94,1139,6319,16905,128,16,1349,20693,433,4,127,193970,45781,1689,4,572,242,12449,2,1284,6953,1751,2,9845,0,1,3457,0,55,16,490,46,11,12,1,3,3,17,2,5,1,2,0
24,65,32,107,110,590,139,919,10,11,211,1673,10807,1193,11666,674,3,1319,12492,1952,8,834,62384,542630,52517,0,2332,9,46332,6,4627,32760,12379,4,27264,3,4,4904,9,5,5,11268,963,10,108,3,5,11,6,3,8,10,6,7
25,635,88,8,193,1036,4,960,4,3,943,1267,19195,99,3457,2667,2,1165,67,2476,2,526,1584,16054,155190,3,558,3,1608,2,8812,6535,3683,3,3015,5,28,3,19,4,4,5004,308,5,103,4,3,3,2,2,2,5,5,1
