method,model_family,model_version,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
plain_rf,single RF,original,27,859115,727991,636185,11442905,91806,222930,0.974605420473065,0.866276465735037,0.7405120385513,0.992040892918774,0.873891298106707,0.801691884474005,0.732552931470074
plain_rf,single RF,original,28,46042,106483,22521,12263822,83962,23521,0.991327698161972,0.741170293750919,0.489140350115112,0.993200237386725,0.21149854906417,0.295308965743321,0.482340587501837
plain_rf,single RF,original,29,164338,201338,129371,12157521,71967,34967,0.991371994410765,0.890670199217636,0.787225109226107,0.994115289209164,0.642556298363945,0.707571730165502,0.781340398435271
plain_rf,single RF,original,30,576557,459938,247678,11605009,212260,328879,0.956338018623143,0.705809633993662,0.429581116871359,0.982038151115964,0.538503015623845,0.477914509959045,0.411619267987323
plain_rf,single RF,original,31,841378,730001,592744,11415191,137257,248634,0.96886425547688,0.846305356043076,0.704491916831674,0.988118795254478,0.811976969894562,0.754425253232988,0.692610712086152
plain_rf,single RF,original,32,60484,109936,39790,12263196,70146,20694,0.992670544188695,0.826086210190966,0.657859929898816,0.994312490483115,0.361937854751856,0.466963971364863,0.652172420381931
plain_rf,single RF,original,33,389751,388933,257185,11872327,131748,132566,0.97867373642328,0.824447373298192,0.659870019576602,0.989024727019783,0.661257851609403,0.660563206640948,0.648894746596384
plain_rf,single RF,original,34,5159,23111,3925,12369481,19186,1234,0.998352405463817,0.879628842172073,0.760806357821283,0.998451326522862,0.169832547271862,0.277679518924655,0.759257684344145
plain_rf,single RF,original,35,32864,73354,27783,12315391,45571,5081,0.995913126422785,0.92085322408841,0.845393135345667,0.996313312831153,0.378752351610001,0.523131672597865,0.84170644817682
plain_rf,single RF,original,36,22575,137795,16178,12249634,121617,6397,0.989671147553629,0.853401414765979,0.716633444075305,0.990169385456653,0.117406291955441,0.201758433622249,0.706802829531957
plain_rf,single RF,original,37,191906,195961,140634,12146593,55327,51272,0.991399023997916,0.864146621868791,0.732827530144967,0.995465713592615,0.717663208495568,0.725166100751031,0.728293243737582
plain_rf,single RF,original,38,30032,53991,27709,12337512,26282,2323,0.997691995998653,0.960261725658569,0.922649174214172,0.997874277102967,0.513215165490545,0.659557502112517,0.920523451317139
plain_rf,single RF,original,39,21943,75023,13255,12310115,61768,8688,0.994315234052826,0.79953623331657,0.604065077701317,0.995007388931822,0.176679151726804,0.273394798176681,0.599072466633139
plain_rf,single RF,original,40,339661,326685,127648,11855128,199037,212013,0.966834293139181,0.679649056326157,0.375809998792914,0.9834881138594,0.390737254541837,0.383128284704943,0.359298112652315
plain_rf,single RF,original,41,91243,150762,47826,12199647,102936,43417,0.98819145919912,0.757896867062338,0.524160757537565,0.991632976587112,0.317228479325029,0.395248032065453,0.515793734124676
plain_rf,single RF,original,42,155019,250023,119372,12108156,130651,35647,0.986582190196958,0.879686200387323,0.770047542559299,0.989324858215347,0.477444075145087,0.589430231926566,0.759372400774647
