original_zone,predicted_zone,n,method,method_label
4,24,7,mf_var,Plain MF RF
4,25,318,mf_var,Plain MF RF
4,26,23,mf_var,Plain MF RF
4,27,1519,mf_var,Plain MF RF
4,28,3,mf_var,Plain MF RF
4,29,3,mf_var,Plain MF RF
4,30,107,mf_var,Plain MF RF
4,31,14,mf_var,Plain MF RF
4,32,10,mf_var,Plain MF RF
4,33,112,mf_var,Plain MF RF
4,34,7,mf_var,Plain MF RF
4,35,14,mf_var,Plain MF RF
4,36,4,mf_var,Plain MF RF
4,37,3,mf_var,Plain MF RF
4,38,6,mf_var,Plain MF RF
4,39,59,mf_var,Plain MF RF
4,40,2,mf_var,Plain MF RF
4,41,6,mf_var,Plain MF RF
4,42,4,mf_var,Plain MF RF
4,43,5,mf_var,Plain MF RF
4,44,9,mf_var,Plain MF RF
4,45,10,mf_var,Plain MF RF
4,46,10,mf_var,Plain MF RF
4,47,4,mf_var,Plain MF RF
4,48,162,mf_var,Plain MF RF
4,49,4,mf_var,Plain MF RF
4,50,51,mf_var,Plain MF RF
4,52,6,mf_var,Plain MF RF
4,53,6,mf_var,Plain MF RF
4,54,5,mf_var,Plain MF RF
4,55,7,mf_var,Plain MF RF
5,1,2678,mf_var,Plain MF RF
5,2,14337,mf_var,Plain MF RF
5,3,16753,mf_var,Plain MF RF
5,4,3939,mf_var,Plain MF RF
5,5,73754,mf_var,Plain MF RF
5,6,4507,mf_var,Plain MF RF
5,7,4331,mf_var,Plain MF RF
5,9,536,mf_var,Plain MF RF
5,10,3770,mf_var,Plain MF RF
5,11,9534,mf_var,Plain MF RF
5,12,13293,mf_var,Plain MF RF
5,13,7169,mf_var,Plain MF RF
5,14,2436,mf_var,Plain MF RF
5,15,2045,mf_var,Plain MF RF
5,16,3060,mf_var,Plain MF RF
5,17,591,mf_var,Plain MF RF
5,18,584,mf_var,Plain MF RF
5,19,7,mf_var,Plain MF RF
5,20,758,mf_var,Plain MF RF
5,21,1207,mf_var,Plain MF RF
5,22,689,mf_var,Plain MF RF
5,23,112,mf_var,Plain MF RF
5,24,1053,mf_var,Plain MF RF
5,25,1153,mf_var,Plain MF RF
5,26,1127,mf_var,Plain MF RF
5,27,3017,mf_var,Plain MF RF
5,28,370,mf_var,Plain MF RF
5,29,68,mf_var,Plain MF RF
5,30,302,mf_var,Plain MF RF
5,31,76,mf_var,Plain MF RF
5,32,68,mf_var,Plain MF RF
5,33,2554,mf_var,Plain MF RF
5,34,380,mf_var,Plain MF RF
5,35,123,mf_var,Plain MF RF
5,36,1340,mf_var,Plain MF RF
5,37,375,mf_var,Plain MF RF
5,38,8,mf_var,Plain MF RF
5,39,1933,mf_var,Plain MF RF
5,40,948,mf_var,Plain MF RF
5,41,2238,mf_var,Plain MF RF
5,42,206,mf_var,Plain MF RF
5,43,5,mf_var,Plain MF RF
5,44,1466,mf_var,Plain MF RF
5,45,338,mf_var,Plain MF RF
5,46,2609,mf_var,Plain MF RF
5,47,1685,mf_var,Plain MF RF
5,48,10,mf_var,Plain MF RF
5,49,848,mf_var,Plain MF RF
5,50,34,mf_var,Plain MF RF
5,52,11,mf_var,Plain MF RF
5,53,11,mf_var,Plain MF RF
5,54,10,mf_var,Plain MF RF
5,55,7,mf_var,Plain MF RF
6,1,223,mf_var,Plain MF RF
6,2,11990,mf_var,Plain MF RF
6,3,4511,mf_var,Plain MF RF
6,4,2909,mf_var,Plain MF RF
6,5,1357,mf_var,Plain MF RF
6,6,50883,mf_var,Plain MF RF
6,7,464,mf_var,Plain MF RF
6,9,317,mf_var,Plain MF RF
6,10,112,mf_var,Plain MF RF
6,11,2846,mf_var,Plain MF RF
6,12,4893,mf_var,Plain MF RF
6,13,176,mf_var,Plain MF RF
