method,predicted_zone,model_family,model_version,original_zone,pixels,predicted_total,share_of_prediction
mf_var,34,multi-Forest,corrected,3,554,23267,0.023810547126832
mf_var,34,multi-Forest,corrected,7,548,23267,0.0235526711651696
mf_var,34,multi-Forest,corrected,47,509,23267,0.0218764774143637
mf_var,34,multi-Forest,corrected,18,505,23267,0.0217045601065887
mf_var,34,multi-Forest,corrected,16,489,23267,0.0210168908754889
mf_var,34,multi-Forest,corrected,5,380,23267,0.0163321442386212
mf_var,34,multi-Forest,corrected,36,366,23267,0.0157304336614089
mf_var,34,multi-Forest,corrected,28,240,23267,0.0103150384664976
mf_var,34,multi-Forest,corrected,53,218,23267,0.00936949327373533
mf_var,34,multi-Forest,corrected,2,161,23267,0.00691967163794215
mf_var,34,multi-Forest,corrected,20,160,23267,0.00687669231099841
mf_var,34,multi-Forest,corrected,15,107,23267,0.00459878798298019
mf_var,34,multi-Forest,corrected,37,104,23267,0.00446985000214897
mf_var,34,multi-Forest,corrected,45,81,23267,0.00348132548244294
mf_var,34,multi-Forest,corrected,27,52,23267,0.00223492500107448
mf_var,34,multi-Forest,corrected,11,32,23267,0.00137533846219968
mf_var,34,multi-Forest,corrected,12,28,23267,0.00120342115442472
mf_var,34,multi-Forest,corrected,6,19,23267,0.000816607211931061
mf_var,34,multi-Forest,corrected,19,18,23267,0.000773627884987321
mf_var,34,multi-Forest,corrected,54,15,23267,0.000644689904156101
mf_var,34,multi-Forest,corrected,13,13,23267,0.000558731250268621
mf_var,34,multi-Forest,corrected,33,12,23267,0.000515751923324881
mf_var,34,multi-Forest,corrected,4,7,23267,0.00030085528860618
mf_var,34,multi-Forest,corrected,41,5,23267,0.0002148966347187
mf_var,34,multi-Forest,corrected,50,5,23267,0.0002148966347187
mf_var,34,multi-Forest,corrected,25,4,23267,0.00017191730777496
mf_var,34,multi-Forest,corrected,9,3,23267,0.00012893798083122
mf_var,34,multi-Forest,corrected,29,3,23267,0.00012893798083122
mf_var,34,multi-Forest,corrected,52,3,23267,0.00012893798083122
mf_var,34,multi-Forest,corrected,1,2,23267,8.59586538874801e-05
mf_var,34,multi-Forest,corrected,22,2,23267,8.59586538874801e-05
mf_var,34,multi-Forest,corrected,24,2,23267,8.59586538874801e-05
mf_var,34,multi-Forest,corrected,42,2,23267,8.59586538874801e-05
mf_var,34,multi-Forest,corrected,17,1,23267,4.29793269437401e-05
mf_var,34,multi-Forest,corrected,23,1,23267,4.29793269437401e-05
mf_var,35,multi-Forest,corrected,24,26986,73199,0.368666238609817
mf_var,35,multi-Forest,corrected,23,9800,73199,0.133881610404514
mf_var,35,multi-Forest,corrected,25,2801,73199,0.0382655500758207
mf_var,35,multi-Forest,corrected,29,1541,73199,0.0210522001666689
mf_var,35,multi-Forest,corrected,13,1213,73199,0.0165712646347628
mf_var,35,multi-Forest,corrected,33,881,73199,0.0120356835475894
mf_var,35,multi-Forest,corrected,32,665,73199,0.00908482356316343
mf_var,35,multi-Forest,corrected,7,360,73199,0.00491809997404336
mf_var,35,multi-Forest,corrected,15,289,73199,0.00394814136805148
mf_var,35,multi-Forest,corrected,31,170,73199,0.00232243609885381
mf_var,35,multi-Forest,corrected,5,123,73199,0.00168035082446482
mf_var,35,multi-Forest,corrected,19,92,73199,0.00125684777114441
mf_var,35,multi-Forest,corrected,20,39,73199,0.000532794163854697
mf_var,35,multi-Forest,corrected,21,31,73199,0.000423503053320401
mf_var,35,multi-Forest,corrected,27,27,73199,0.000368857498053252
mf_var,35,multi-Forest,corrected,6,25,73199,0.000341534720419678
mf_var,35,multi-Forest,corrected,44,21,73199,0.000286889165152529
mf_var,35,multi-Forest,corrected,47,19,73199,0.000259566387518955
mf_var,35,multi-Forest,corrected,53,19,73199,0.000259566387518955
mf_var,35,multi-Forest,corrected,16,18,73199,0.000245904998702168
mf_var,35,multi-Forest,corrected,2,16,73199,0.000218582221068594
mf_var,35,multi-Forest,corrected,4,14,73199,0.00019125944343502
mf_var,35,multi-Forest,corrected,3,11,73199,0.000150275276984658
mf_var,35,multi-Forest,corrected,10,10,73199,0.000136613888167871
mf_var,35,multi-Forest,corrected,46,8,73199,0.000109291110534297
mf_var,35,multi-Forest,corrected,30,7,73199,9.56297217175098e-05
mf_var,35,multi-Forest,corrected,52,6,73199,8.19683329007227e-05
mf_var,35,multi-Forest,corrected,12,4,73199,5.46455552671485e-05
mf_var,35,multi-Forest,corrected,40,4,73199,5.46455552671485e-05
mf_var,35,multi-Forest,corrected,49,4,73199,5.46455552671485e-05
mf_var,35,multi-Forest,corrected,54,4,73199,5.46455552671485e-05
mf_var,35,multi-Forest,corrected,17,3,73199,4.09841664503614e-05
mf_var,35,multi-Forest,corrected,9,2,73199,2.73227776335742e-05
mf_var,35,multi-Forest,corrected,11,2,73199,2.73227776335742e-05
mf_var,35,multi-Forest,corrected,1,1,73199,1.36613888167871e-05
mf_var,35,multi-Forest,corrected,22,1,73199,1.36613888167871e-05
mf_var,35,multi-Forest,corrected,37,1,73199,1.36613888167871e-05
mf_var,35,multi-Forest,corrected,45,1,73199,1.36613888167871e-05
mf_var,35,multi-Forest,corrected,50,1,73199,1.36613888167871e-05
mf_var,36,multi-Forest,corrected,44,36203,135491,0.267198559313903
mf_var,36,multi-Forest,corrected,30,20118,135491,0.148482187008731
mf_var,36,multi-Forest,corrected,40,14912,135491,0.110058970706541
mf_var,36,multi-Forest,corrected,21,13107,135491,0.0967370526455632
mf_var,36,multi-Forest,corrected,47,8980,135491,0.0662774649238695
mf_var,36,multi-Forest,corrected,49,5008,135491,0.0369618646256947
mf_var,36,multi-Forest,corrected,3,3982,135491,0.0293894059384018
mf_var,36,multi-Forest,corrected,7,2876,135491,0.0212265021292927
mf_var,36,multi-Forest,corrected,28,2599,135491,0.0191820858950041
mf_var,36,multi-Forest,corrected,26,2203,135491,0.0162593825420139
mf_var,36,multi-Forest,corrected,41,2018,135491,0.0148939781978139
mf_var,36,multi-Forest,corrected,10,1696,135491,0.0125174365825036
mf_var,36,multi-Forest,corrected,27,1670,135491,0.0123255419179134
mf_var,36,multi-Forest,corrected,5,1340,135491,0.0098899557904215
mf_var,36,multi-Forest,corrected,46,676,135491,0.00498926127934697
mf_var,36,multi-Forest,corrected,18,524,135491,0.00386741554789617
mf_var,36,multi-Forest,corrected,16,397,135491,0.00293008391701294
mf_var,36,multi-Forest,corrected,33,138,135491,0.00101851783513296
mf_var,36,multi-Forest,corrected,34,94,135491,0.000693773018134046
mf_var,36,multi-Forest,corrected,15,90,135491,0.000664250762043235
mf_var,36,multi-Forest,corrected,2,82,135491,0.000605206249861614
mf_var,36,multi-Forest,corrected,39,62,135491,0.000457594969407562
mf_var,36,multi-Forest,corrected,31,48,135491,0.000354267073089726
mf_var,36,multi-Forest,corrected,6,33,135491,0.000243558612749186
mf_var,36,multi-Forest,corrected,53,31,135491,0.000228797484703781
mf_var,36,multi-Forest,corrected,19,25,135491,0.000184514100567565
mf_var,36,multi-Forest,corrected,20,25,135491,0.000184514100567565
mf_var,36,multi-Forest,corrected,37,21,135491,0.000154991844476755
mf_var,36,multi-Forest,corrected,54,16,135491,0.000118089024363242
mf_var,36,multi-Forest,corrected,12,7,135491,5.16639481589183e-05
mf_var,36,multi-Forest,corrected,23,7,135491,5.16639481589183e-05
mf_var,36,multi-Forest,corrected,24,7,135491,5.16639481589183e-05
mf_var,36,multi-Forest,corrected,13,6,135491,4.42833841362157e-05
mf_var,36,multi-Forest,corrected,55,6,135491,4.42833841362157e-05
mf_var,36,multi-Forest,corrected,11,5,135491,3.69028201135131e-05
mf_var,36,multi-Forest,corrected,4,4,135491,2.95222560908105e-05
mf_var,36,multi-Forest,corrected,9,4,135491,2.95222560908105e-05
mf_var,36,multi-Forest,corrected,1,2,135491,1.47611280454052e-05
mf_var,36,multi-Forest,corrected,25,2,135491,1.47611280454052e-05
mf_var,36,multi-Forest,corrected,42,2,135491,1.47611280454052e-05
mf_var,36,multi-Forest,corrected,52,2,135491,1.47611280454052e-05
mf_var,36,multi-Forest,corrected,17,1,135491,7.38056402270262e-06
mf_var,36,multi-Forest,corrected,22,1,135491,7.38056402270262e-06
mf_var,36,multi-Forest,corrected,38,1,135491,7.38056402270262e-06
mf_var,36,multi-Forest,corrected,48,1,135491,7.38056402270262e-06
mf_var,37,multi-Forest,corrected,27,30554,196155,0.155764573933879
mf_var,37,multi-Forest,corrected,3,11398,196155,0.0581071091738676
mf_var,37,multi-Forest,corrected,41,5567,196155,0.0283806173689174
mf_var,37,multi-Forest,corrected,33,3261,196155,0.0166246080905406
mf_var,37,multi-Forest,corrected,7,2280,196155,0.0116234610384645
mf_var,37,multi-Forest,corrected,21,509,196155,0.00259488669674492
mf_var,37,multi-Forest,corrected,30,398,196155,0.00202900767250389
mf_var,37,multi-Forest,corrected,5,375,196155,0.00191175346027376
mf_var,37,multi-Forest,corrected,6,260,196155,0.00132548239912314
mf_var,37,multi-Forest,corrected,15,247,196155,0.00125920827916699
mf_var,37,multi-Forest,corrected,13,217,196155,0.00110626800234508
mf_var,37,multi-Forest,corrected,47,165,196155,0.000841171522520456
mf_var,37,multi-Forest,corrected,2,53,196155,0.000270194489052025
mf_var,37,multi-Forest,corrected,44,51,196155,0.000259998470597232
mf_var,37,multi-Forest,corrected,11,48,196155,0.000244704442915042
mf_var,37,multi-Forest,corrected,19,46,196155,0.000234508424460248
mf_var,37,multi-Forest,corrected,12,40,196155,0.000203920369095868
mf_var,37,multi-Forest,corrected,20,29,196155,0.000147842267594504
mf_var,37,multi-Forest,corrected,10,27,196155,0.000137646249139711
mf_var,37,multi-Forest,corrected,46,22,196155,0.000112156203002727
mf_var,37,multi-Forest,corrected,53,19,196155,9.68621753205373e-05
mf_var,37,multi-Forest,corrected,25,16,196155,8.15681476383472e-05
mf_var,37,multi-Forest,corrected,40,14,196155,7.13721291835538e-05
mf_var,37,multi-Forest,corrected,49,12,196155,6.11761107287604e-05
mf_var,37,multi-Forest,corrected,18,10,196155,5.0980092273967e-05
mf_var,37,multi-Forest,corrected,1,7,196155,3.56860645917769e-05
mf_var,37,multi-Forest,corrected,52,6,196155,3.05880553643802e-05
mf_var,37,multi-Forest,corrected,24,5,196155,2.54900461369835e-05
mf_var,37,multi-Forest,corrected,4,3,196155,1.52940276821901e-05
mf_var,37,multi-Forest,corrected,14,3,196155,1.52940276821901e-05
mf_var,37,multi-Forest,corrected,17,3,196155,1.52940276821901e-05
mf_var,37,multi-Forest,corrected,28,3,196155,1.52940276821901e-05
mf_var,37,multi-Forest,corrected,29,3,196155,1.52940276821901e-05
mf_var,37,multi-Forest,corrected,42,3,196155,1.52940276821901e-05
mf_var,37,multi-Forest,corrected,9,2,196155,1.01960184547934e-05
mf_var,37,multi-Forest,corrected,16,2,196155,1.01960184547934e-05
mf_var,37,multi-Forest,corrected,31,2,196155,1.01960184547934e-05
mf_var,37,multi-Forest,corrected,22,1,196155,5.0980092273967e-06
mf_var,37,multi-Forest,corrected,34,1,196155,5.0980092273967e-06
mf_var,37,multi-Forest,corrected,54,1,196155,5.0980092273967e-06
mf_var,38,multi-Forest,corrected,19,13165,54345,0.24224859692704
mf_var,38,multi-Forest,corrected,24,5006,54345,0.0921151899898795
mf_var,38,multi-Forest,corrected,23,3671,54345,0.067549912595455
mf_var,38,multi-Forest,corrected,27,1736,54345,0.0319440610911767
mf_var,38,multi-Forest,corrected,15,1345,54345,0.0247492869629221
mf_var,38,multi-Forest,corrected,29,1098,54345,0.0202042506210323
mf_var,38,multi-Forest,corrected,32,207,54345,0.00380899806789953
mf_var,38,multi-Forest,corrected,20,42,54345,0.00077284018768976
mf_var,38,multi-Forest,corrected,21,28,54345,0.000515226791793173
mf_var,38,multi-Forest,corrected,6,17,54345,0.000312816266445855
mf_var,38,multi-Forest,corrected,53,17,54345,0.000312816266445855
mf_var,38,multi-Forest,corrected,10,15,54345,0.000276014352746343
mf_var,38,multi-Forest,corrected,47,13,54345,0.00023921243904683
mf_var,38,multi-Forest,corrected,2,10,54345,0.000184009568497562
mf_var,38,multi-Forest,corrected,3,9,54345,0.000165608611647806
mf_var,38,multi-Forest,corrected,12,9,54345,0.000165608611647806
mf_var,38,multi-Forest,corrected,5,8,54345,0.00014720765479805
mf_var,38,multi-Forest,corrected,11,8,54345,0.00014720765479805
mf_var,38,multi-Forest,corrected,16,8,54345,0.00014720765479805
mf_var,38,multi-Forest,corrected,40,8,54345,0.00014720765479805
mf_var,38,multi-Forest,corrected,49,8,54345,0.00014720765479805
mf_var,38,multi-Forest,corrected,13,7,54345,0.000128806697948293
mf_var,38,multi-Forest,corrected,30,7,54345,0.000128806697948293
mf_var,38,multi-Forest,corrected,46,7,54345,0.000128806697948293
mf_var,38,multi-Forest,corrected,4,6,54345,0.000110405741098537
mf_var,38,multi-Forest,corrected,7,6,54345,0.000110405741098537
mf_var,38,multi-Forest,corrected,31,6,54345,0.000110405741098537
mf_var,38,multi-Forest,corrected,35,4,54345,7.36038273990248e-05
mf_var,38,multi-Forest,corrected,44,4,54345,7.36038273990248e-05
mf_var,38,multi-Forest,corrected,52,4,54345,7.36038273990248e-05
mf_var,38,multi-Forest,corrected,54,4,54345,7.36038273990248e-05
mf_var,38,multi-Forest,corrected,17,3,54345,5.52028705492686e-05
mf_var,38,multi-Forest,corrected,25,3,54345,5.52028705492686e-05
mf_var,38,multi-Forest,corrected,42,3,54345,5.52028705492686e-05
mf_var,38,multi-Forest,corrected,1,2,54345,3.68019136995124e-05
mf_var,38,multi-Forest,corrected,22,2,54345,3.68019136995124e-05
mf_var,38,multi-Forest,corrected,34,2,54345,3.68019136995124e-05
mf_var,38,multi-Forest,corrected,37,2,54345,3.68019136995124e-05
mf_var,38,multi-Forest,corrected,9,1,54345,1.84009568497562e-05
mf_var,38,multi-Forest,corrected,26,1,54345,1.84009568497562e-05
mf_var,38,multi-Forest,corrected,55,1,54345,1.84009568497562e-05
mf_var,39,multi-Forest,corrected,10,12714,70914,0.179287587782384
mf_var,39,multi-Forest,corrected,46,9471,70914,0.133556138421186
mf_var,39,multi-Forest,corrected,30,7671,70914,0.108173280311363
mf_var,39,multi-Forest,corrected,44,6206,70914,0.0875144541275348
mf_var,39,multi-Forest,corrected,18,5074,70914,0.0715514566940238
mf_var,39,multi-Forest,corrected,16,2897,70914,0.0408522999689765
mf_var,39,multi-Forest,corrected,40,2293,70914,0.032334940914347
mf_var,39,multi-Forest,corrected,5,1933,70914,0.0272583692923823
mf_var,39,multi-Forest,corrected,47,1248,70914,0.0175987816228107
mf_var,39,multi-Forest,corrected,49,1167,70914,0.0164565530078687
mf_var,39,multi-Forest,corrected,28,1165,70914,0.0164283498321911
mf_var,39,multi-Forest,corrected,7,1114,70914,0.0157091688524128
mf_var,39,multi-Forest,corrected,3,1034,70914,0.0145810418253095
mf_var,39,multi-Forest,corrected,21,473,70914,0.00667005104774798
mf_var,39,multi-Forest,corrected,45,444,70914,0.00626110500042305
mf_var,39,multi-Forest,corrected,1,361,70914,0.00509067320980342
mf_var,39,multi-Forest,corrected,26,356,70914,0.00502016527060947
mf_var,39,multi-Forest,corrected,37,265,70914,0.00373692077727952
mf_var,39,multi-Forest,corrected,20,214,70914,0.0030177397975012
mf_var,39,multi-Forest,corrected,34,209,70914,0.00294723185830725
mf_var,39,multi-Forest,corrected,27,170,70914,0.00239726993259441
mf_var,39,multi-Forest,corrected,36,149,70914,0.00210113658797981
mf_var,39,multi-Forest,corrected,31,146,70914,0.00205883182446343
mf_var,39,multi-Forest,corrected,15,73,70914,0.00102941591223172
mf_var,39,multi-Forest,corrected,4,59,70914,0.000831993682488648
mf_var,39,multi-Forest,corrected,50,59,70914,0.000831993682488648
mf_var,39,multi-Forest,corrected,53,53,70914,0.000747384155455904
mf_var,39,multi-Forest,corrected,2,45,70914,0.000634571452745579
mf_var,39,multi-Forest,corrected,33,30,70914,0.000423047635163719
mf_var,39,multi-Forest,corrected,19,19,70914,0.000267930168937022
mf_var,39,multi-Forest,corrected,41,15,70914,0.00021152381758186
mf_var,39,multi-Forest,corrected,6,12,70914,0.000169219054065488
mf_var,39,multi-Forest,corrected,13,11,70914,0.000155117466226697
mf_var,39,multi-Forest,corrected,12,10,70914,0.000141015878387906
mf_var,39,multi-Forest,corrected,25,8,70914,0.000112812702710325
mf_var,39,multi-Forest,corrected,52,6,70914,8.46095270327439e-05
mf_var,39,multi-Forest,corrected,24,5,70914,7.05079391939532e-05
mf_var,39,multi-Forest,corrected,43,5,70914,7.05079391939532e-05
mf_var,39,multi-Forest,corrected,29,3,70914,4.23047635163719e-05
mf_var,39,multi-Forest,corrected,11,2,70914,2.82031756775813e-05
mf_var,39,multi-Forest,corrected,23,2,70914,2.82031756775813e-05
mf_var,39,multi-Forest,corrected,54,2,70914,2.82031756775813e-05
mf_var,39,multi-Forest,corrected,17,1,70914,1.41015878387906e-05
mf_var,39,multi-Forest,corrected,22,1,70914,1.41015878387906e-05
mf_var,39,multi-Forest,corrected,42,1,70914,1.41015878387906e-05
mf_var,40,multi-Forest,corrected,44,53962,334961,0.161099351864844
mf_var,40,multi-Forest,corrected,30,49778,334961,0.148608345449172
mf_var,40,multi-Forest,corrected,21,41380,334961,0.123536769952323
mf_var,40,multi-Forest,corrected,47,36775,334961,0.109788900797406
mf_var,40,multi-Forest,corrected,49,11773,334961,0.0351473753660874
mf_var,40,multi-Forest,corrected,46,1085,334961,0.00323918306907371
mf_var,40,multi-Forest,corrected,53,1069,334961,0.00319141631413806
mf_var,40,multi-Forest,corrected,7,993,334961,0.00296452422819373
mf_var,40,multi-Forest,corrected,5,948,334961,0.00283018022993722
mf_var,40,multi-Forest,corrected,28,908,334961,0.00271076334259809
mf_var,40,multi-Forest,corrected,26,774,334961,0.00231071677001203
mf_var,40,multi-Forest,corrected,10,764,334961,0.00228086254817725
mf_var,40,multi-Forest,corrected,36,357,334961,0.00106579571950167
mf_var,40,multi-Forest,corrected,52,302,334961,0.000901597499410379
mf_var,40,multi-Forest,corrected,27,276,334961,0.000823976522639949
mf_var,40,multi-Forest,corrected,3,271,334961,0.000809049411722559
mf_var,40,multi-Forest,corrected,41,234,334961,0.00069858879093387
mf_var,40,multi-Forest,corrected,33,103,334961,0.000307498484898242
mf_var,40,multi-Forest,corrected,55,89,334961,0.000265702574329549
mf_var,40,multi-Forest,corrected,15,76,334961,0.000226892085944334
mf_var,40,multi-Forest,corrected,16,63,334961,0.000188081597559119
mf_var,40,multi-Forest,corrected,54,59,334961,0.000176139908825207
mf_var,40,multi-Forest,corrected,39,58,334961,0.000173154486641728
mf_var,40,multi-Forest,corrected,23,53,334961,0.000158227375724338
mf_var,40,multi-Forest,corrected,45,43,334961,0.000128373153889557
mf_var,40,multi-Forest,corrected,37,36,334961,0.000107475198605211
mf_var,40,multi-Forest,corrected,50,36,334961,0.000107475198605211
mf_var,40,multi-Forest,corrected,1,35,334961,0.000104489776421733
mf_var,40,multi-Forest,corrected,20,35,334961,0.000104489776421733
mf_var,40,multi-Forest,corrected,2,30,334961,8.95626655043423e-05
mf_var,40,multi-Forest,corrected,34,20,334961,5.97084436695615e-05
mf_var,40,multi-Forest,corrected,19,18,334961,5.37375993026054e-05
mf_var,40,multi-Forest,corrected,13,17,334961,5.07521771191273e-05
mf_var,40,multi-Forest,corrected,29,17,334961,5.07521771191273e-05
mf_var,40,multi-Forest,corrected,6,11,334961,3.28396440182588e-05
mf_var,40,multi-Forest,corrected,12,6,334961,1.79125331008685e-05
mf_var,40,multi-Forest,corrected,11,4,334961,1.19416887339123e-05
mf_var,40,multi-Forest,corrected,48,4,334961,1.19416887339123e-05
mf_var,40,multi-Forest,corrected,24,3,334961,8.95626655043423e-06
mf_var,40,multi-Forest,corrected,31,3,334961,8.95626655043423e-06
mf_var,40,multi-Forest,corrected,4,2,334961,5.97084436695615e-06
mf_var,40,multi-Forest,corrected,25,2,334961,5.97084436695615e-06
mf_var,40,multi-Forest,corrected,42,2,334961,5.97084436695615e-06
mf_var,40,multi-Forest,corrected,17,1,334961,2.98542218347808e-06
mf_var,40,multi-Forest,corrected,22,1,334961,2.98542218347808e-06
mf_var,41,multi-Forest,corrected,33,24891,147178,0.169121743738874
mf_var,41,multi-Forest,corrected,3,18403,147178,0.125039068339018
mf_var,41,multi-Forest,corrected,7,18338,147178,0.12459742624577
mf_var,41,multi-Forest,corrected,27,17376,147178,0.118061123265705
mf_var,41,multi-Forest,corrected,37,7499,147178,0.0509519085732922
mf_var,41,multi-Forest,corrected,12,2537,147178,0.0172376306241422
mf_var,41,multi-Forest,corrected,5,2238,147178,0.0152060769952031
mf_var,41,multi-Forest,corrected,30,1899,147178,0.0129027436165731
mf_var,41,multi-Forest,corrected,44,1298,147178,0.0088192528774681
mf_var,41,multi-Forest,corrected,13,1132,147178,0.00769136691625107
mf_var,41,multi-Forest,corrected,40,1009,147178,0.00685564418595171
mf_var,41,multi-Forest,corrected,47,704,147178,0.00478332359455897
mf_var,41,multi-Forest,corrected,11,564,147178,0.00383209447064099
mf_var,41,multi-Forest,corrected,21,424,147178,0.00288086534672302
mf_var,41,multi-Forest,corrected,28,262,147178,0.00178015736047507
mf_var,41,multi-Forest,corrected,2,182,147178,0.00123659786109337
mf_var,41,multi-Forest,corrected,36,153,147178,0.0010395575425675
mf_var,41,multi-Forest,corrected,15,128,147178,0.000869695199010722
mf_var,41,multi-Forest,corrected,26,39,147178,0.000264985255948579
mf_var,41,multi-Forest,corrected,19,26,147178,0.000176656837299053
mf_var,41,multi-Forest,corrected,20,24,147178,0.00016306784981451
mf_var,41,multi-Forest,corrected,6,18,147178,0.000122300887360883
mf_var,41,multi-Forest,corrected,49,16,147178,0.00010871189987634
mf_var,41,multi-Forest,corrected,10,14,147178,9.51229123917977e-05
mf_var,41,multi-Forest,corrected,53,9,147178,6.11504436804414e-05
mf_var,41,multi-Forest,corrected,23,7,147178,4.75614561958988e-05
mf_var,41,multi-Forest,corrected,52,7,147178,4.75614561958988e-05
mf_var,41,multi-Forest,corrected,4,6,147178,4.07669624536276e-05
mf_var,41,multi-Forest,corrected,16,6,147178,4.07669624536276e-05
mf_var,41,multi-Forest,corrected,46,6,147178,4.07669624536276e-05
mf_var,41,multi-Forest,corrected,18,5,147178,3.39724687113563e-05
mf_var,41,multi-Forest,corrected,24,5,147178,3.39724687113563e-05
mf_var,41,multi-Forest,corrected,54,4,147178,2.71779749690851e-05
mf_var,41,multi-Forest,corrected,1,3,147178,2.03834812268138e-05
mf_var,41,multi-Forest,corrected,17,3,147178,2.03834812268138e-05
mf_var,41,multi-Forest,corrected,25,3,147178,2.03834812268138e-05
mf_var,41,multi-Forest,corrected,29,2,147178,1.35889874845425e-05
mf_var,41,multi-Forest,corrected,34,1,147178,6.79449374227126e-06
mf_var,41,multi-Forest,corrected,45,1,147178,6.79449374227126e-06
mf_var,41,multi-Forest,corrected,48,1,147178,6.79449374227126e-06
mf_var,42,multi-Forest,corrected,31,68466,258875,0.264475132786094
mf_var,42,multi-Forest,corrected,20,35566,258875,0.137386769676485
mf_var,42,multi-Forest,corrected,24,12522,258875,0.0483708353452439
mf_var,42,multi-Forest,corrected,16,7387,258875,0.0285350072428778
mf_var,42,multi-Forest,corrected,25,5507,258875,0.0212728150651859
mf_var,42,multi-Forest,corrected,19,3024,258875,0.0116813133751811
mf_var,42,multi-Forest,corrected,22,1643,258875,0.0063466924191212
mf_var,42,multi-Forest,corrected,18,1297,258875,0.00501014002897151
mf_var,42,multi-Forest,corrected,13,829,258875,0.00320231772090777
mf_var,42,multi-Forest,corrected,23,558,258875,0.00215548044422984
mf_var,42,multi-Forest,corrected,15,512,258875,0.00197778850796717
mf_var,42,multi-Forest,corrected,32,398,258875,0.0015374215354901
mf_var,42,multi-Forest,corrected,7,228,258875,0.000880733944954129
mf_var,42,multi-Forest,corrected,5,206,258875,0.000795750845002414
mf_var,42,multi-Forest,corrected,43,156,258875,0.000602607436021246
mf_var,42,multi-Forest,corrected,6,98,258875,0.00037856108160309
mf_var,42,multi-Forest,corrected,2,72,258875,0.000278126508932883
mf_var,42,multi-Forest,corrected,1,29,258875,0.000112023177209078
mf_var,42,multi-Forest,corrected,21,27,258875,0.000104297440849831
mf_var,42,multi-Forest,corrected,27,27,258875,0.000104297440849831
mf_var,42,multi-Forest,corrected,11,23,258875,8.88459681313375e-05
mf_var,42,multi-Forest,corrected,53,20,258875,7.72573635924674e-05
mf_var,42,multi-Forest,corrected,44,18,258875,6.95316272332207e-05
mf_var,42,multi-Forest,corrected,47,17,258875,6.56687590535973e-05
mf_var,42,multi-Forest,corrected,10,15,258875,5.79430226943506e-05
mf_var,42,multi-Forest,corrected,12,7,258875,2.70400772573636e-05
mf_var,42,multi-Forest,corrected,30,7,258875,2.70400772573636e-05
mf_var,42,multi-Forest,corrected,40,7,258875,2.70400772573636e-05
mf_var,42,multi-Forest,corrected,46,6,258875,2.31772090777402e-05
mf_var,42,multi-Forest,corrected,52,5,258875,1.93143408981169e-05
mf_var,42,multi-Forest,corrected,3,4,258875,1.54514727184935e-05
mf_var,42,multi-Forest,corrected,4,4,258875,1.54514727184935e-05
mf_var,42,multi-Forest,corrected,54,4,258875,1.54514727184935e-05
mf_var,42,multi-Forest,corrected,49,3,258875,1.15886045388701e-05
mf_var,42,multi-Forest,corrected,9,2,258875,7.72573635924674e-06
mf_var,42,multi-Forest,corrected,17,2,258875,7.72573635924674e-06
mf_var,42,multi-Forest,corrected,29,2,258875,7.72573635924674e-06
mf_var,42,multi-Forest,corrected,34,2,258875,7.72573635924674e-06
mf_var,42,multi-Forest,corrected,37,1,258875,3.86286817962337e-06
mf_var,42,multi-Forest,corrected,50,1,258875,3.86286817962337e-06
mf_var,43,multi-Forest,corrected,16,13454,24270,0.554346930366708
mf_var,43,multi-Forest,corrected,42,1640,24270,0.0675731355583024
mf_var,43,multi-Forest,corrected,24,989,24270,0.0407498969921714
mf_var,43,multi-Forest,corrected,18,699,24270,0.0288009888751545
mf_var,43,multi-Forest,corrected,31,545,24270,0.0224557066337042
mf_var,43,multi-Forest,corrected,19,512,24270,0.0210960032962505
mf_var,43,multi-Forest,corrected,25,328,24270,0.0135146271116605
mf_var,43,multi-Forest,corrected,10,215,24270,0.0088586732591677
mf_var,43,multi-Forest,corrected,20,207,24270,0.00852904820766378
mf_var,43,multi-Forest,corrected,46,203,24270,0.00836423568191183
mf_var,43,multi-Forest,corrected,15,171,24270,0.00704573547589617
mf_var,43,multi-Forest,corrected,6,65,24270,0.0026782035434693
mf_var,43,multi-Forest,corrected,23,53,24270,0.00218376596621343
mf_var,43,multi-Forest,corrected,21,25,24270,0.00103007828594973
mf_var,43,multi-Forest,corrected,27,24,24270,0.000988875154511743
mf_var,43,multi-Forest,corrected,44,19,24270,0.000782859497321797
mf_var,43,multi-Forest,corrected,53,18,24270,0.000741656365883807
mf_var,43,multi-Forest,corrected,13,13,24270,0.000535640708693861
mf_var,43,multi-Forest,corrected,47,13,24270,0.000535640708693861
mf_var,43,multi-Forest,corrected,3,12,24270,0.000494437577255872
mf_var,43,multi-Forest,corrected,12,9,24270,0.000370828182941904
mf_var,43,multi-Forest,corrected,30,9,24270,0.000370828182941904
mf_var,43,multi-Forest,corrected,48,9,24270,0.000370828182941904
mf_var,43,multi-Forest,corrected,22,8,24270,0.000329625051503914
mf_var,43,multi-Forest,corrected,40,7,24270,0.000288421920065925
mf_var,43,multi-Forest,corrected,52,6,24270,0.000247218788627936
mf_var,43,multi-Forest,corrected,4,5,24270,0.000206015657189946
mf_var,43,multi-Forest,corrected,5,5,24270,0.000206015657189946
mf_var,43,multi-Forest,corrected,11,5,24270,0.000206015657189946
mf_var,43,multi-Forest,corrected,7,4,24270,0.000164812525751957
mf_var,43,multi-Forest,corrected,37,4,24270,0.000164812525751957
