method,predicted_zone,model_family,model_version,original_zone,pixels,predicted_total,share_of_prediction
mf_var,12,multi-Forest,corrected,47,14,343612,4.07436294425107e-05
mf_var,12,multi-Forest,corrected,26,11,343612,3.20128517048299e-05
mf_var,12,multi-Forest,corrected,40,11,343612,3.20128517048299e-05
mf_var,12,multi-Forest,corrected,16,10,343612,2.91025924589362e-05
mf_var,12,multi-Forest,corrected,52,9,343612,2.61923332130426e-05
mf_var,12,multi-Forest,corrected,49,7,343612,2.03718147212554e-05
mf_var,12,multi-Forest,corrected,32,6,343612,1.74615554753617e-05
mf_var,12,multi-Forest,corrected,46,6,343612,1.74615554753617e-05
mf_var,12,multi-Forest,corrected,1,5,343612,1.45512962294681e-05
mf_var,12,multi-Forest,corrected,31,5,343612,1.45512962294681e-05
mf_var,12,multi-Forest,corrected,54,5,343612,1.45512962294681e-05
mf_var,12,multi-Forest,corrected,30,4,343612,1.16410369835745e-05
mf_var,12,multi-Forest,corrected,45,2,343612,5.82051849178725e-06
mf_var,12,multi-Forest,corrected,17,1,343612,2.91025924589362e-06
mf_var,12,multi-Forest,corrected,34,1,343612,2.91025924589362e-06
mf_var,12,multi-Forest,corrected,42,1,343612,2.91025924589362e-06
mf_var,13,multi-Forest,corrected,33,22660,544155,0.0416425467008481
mf_var,13,multi-Forest,corrected,12,20953,544155,0.0385055728606739
mf_var,13,multi-Forest,corrected,25,19154,544155,0.0351995295458096
mf_var,13,multi-Forest,corrected,15,17174,544155,0.0315608604166092
mf_var,13,multi-Forest,corrected,11,12423,544155,0.0228298922182099
mf_var,13,multi-Forest,corrected,24,11683,544155,0.0214699855739633
mf_var,13,multi-Forest,corrected,31,9720,544155,0.017862557543347
mf_var,13,multi-Forest,corrected,7,8120,544155,0.0149222188530841
mf_var,13,multi-Forest,corrected,5,7169,544155,0.0131745550440591
mf_var,13,multi-Forest,corrected,4,6619,544155,0.0121638136192813
mf_var,13,multi-Forest,corrected,16,4947,544155,0.00909115968795656
mf_var,13,multi-Forest,corrected,27,4626,544155,0.00850125423822257
mf_var,13,multi-Forest,corrected,2,4003,544155,0.00735635986070145
mf_var,13,multi-Forest,corrected,3,3825,544155,0.00702924718140971
mf_var,13,multi-Forest,corrected,18,2863,544155,0.00526136854388915
mf_var,13,multi-Forest,corrected,32,1609,544155,0.00295687809539561
mf_var,13,multi-Forest,corrected,37,1392,544155,0.00255809466052871
mf_var,13,multi-Forest,corrected,23,1236,544155,0.00227141163822808
mf_var,13,multi-Forest,corrected,14,824,544155,0.00151427442548539
mf_var,13,multi-Forest,corrected,44,653,544155,0.00120002572796354
mf_var,13,multi-Forest,corrected,41,524,544155,0.000962960921061095
mf_var,13,multi-Forest,corrected,20,510,544155,0.000937232957521294
mf_var,13,multi-Forest,corrected,42,374,544155,0.000687304168848949
mf_var,13,multi-Forest,corrected,19,301,544155,0.000553151216105705
mf_var,13,multi-Forest,corrected,22,269,544155,0.000494344442300448
mf_var,13,multi-Forest,corrected,46,268,544155,0.000492506730619033
mf_var,13,multi-Forest,corrected,1,237,544155,0.00043553766849519
mf_var,13,multi-Forest,corrected,6,176,544155,0.000323437255928917
mf_var,13,multi-Forest,corrected,45,144,544155,0.00026463048212366
mf_var,13,multi-Forest,corrected,35,122,544155,0.000224200825132545
mf_var,13,multi-Forest,corrected,10,80,544155,0.000147016934513144
mf_var,13,multi-Forest,corrected,29,55,544155,0.000101074142477787
mf_var,13,multi-Forest,corrected,9,42,544155,7.71838906194007e-05
mf_var,13,multi-Forest,corrected,38,39,544155,7.16707555751578e-05
mf_var,13,multi-Forest,corrected,36,25,544155,4.59427920353576e-05
mf_var,13,multi-Forest,corrected,53,25,544155,4.59427920353576e-05
mf_var,13,multi-Forest,corrected,28,24,544155,4.41050803539433e-05
mf_var,13,multi-Forest,corrected,40,19,544155,3.49165219468718e-05
mf_var,13,multi-Forest,corrected,21,18,544155,3.30788102654575e-05
mf_var,13,multi-Forest,corrected,47,17,544155,3.12410985840432e-05
mf_var,13,multi-Forest,corrected,52,9,544155,1.65394051327287e-05
mf_var,13,multi-Forest,corrected,49,6,544155,1.10262700884858e-05
mf_var,13,multi-Forest,corrected,30,5,544155,9.18855840707151e-06
mf_var,13,multi-Forest,corrected,54,5,544155,9.18855840707151e-06
mf_var,13,multi-Forest,corrected,39,2,544155,3.67542336282861e-06
mf_var,13,multi-Forest,corrected,26,1,544155,1.8377116814143e-06
mf_var,13,multi-Forest,corrected,50,1,544155,1.8377116814143e-06
mf_var,14,multi-Forest,corrected,13,16637,90437,0.183962316308591
mf_var,14,multi-Forest,corrected,15,6793,90437,0.0751130621316497
