original_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
23,7511,7333,7311,7349,7380,7358,7352,7152,7213,7407,7306,7463,7268,7352,6829,5497,5428,5410,5503,3798,3878,3802,168124,4055,1424,1342,1339,1329,1453,777,740,861,601,511,585,173,184,209,44,43,42,43,6,1,2,1,5,0,3,0,0,4,3,2,0
24,13433,13328,13112,13163,13275,13223,13329,13033,13122,13079,12916,12961,13244,12259,12162,11542,11535,11544,11526,10894,10924,10888,10978,517986,7197,4600,4595,4476,4460,2658,2628,2512,1730,1601,1657,609,608,643,487,443,486,454,29,12,7,4,9,5,10,5,0,2,4,4,6
25,5797,4773,4702,4726,4581,4518,4366,4464,4403,4383,4467,4275,4271,2729,2680,2671,2339,2360,2110,2256,2039,2054,2123,1958,141792,1225,1213,1210,1158,1141,1125,556,461,353,386,266,251,219,225,232,216,218,19,12,7,1,3,2,4,3,0,5,4,4,1
26,659,697,752,606,696,652,665,626,668,662,560,542,587,552,560,548,593,563,555,535,533,509,467,481,476,21572,445,516,450,500,207,226,244,236,203,201,130,126,159,130,87,78,88,87,74,78,69,78,86,15,22,29,13,0,3
27,25669,25933,25619,14426,12971,11895,11059,7712,7695,7732,7834,6341,6058,5977,5379,3501,3402,3456,3395,3224,3204,3333,3328,3225,2781,2852,611792,2928,2557,2694,2723,2650,2594,2040,2193,2120,2003,796,840,776,952,238,220,220,239,181,190,21,36,22,0,25,14,19,31
28,1911,1216,1210,885,893,885,908,761,741,885,629,622,605,596,616,605,625,605,590,520,561,584,528,531,515,552,502,20261,438,460,401,354,371,364,345,381,266,280,370,231,213,184,219,211,126,175,137,46,45,36,8,8,8,7,16
29,1867,1838,1894,1807,1878,1798,1793,1745,1814,1804,1713,1759,1847,1802,1792,1526,1619,1497,1496,1489,1421,1405,1555,1151,213,176,184,225,122116,220,191,187,147,102,95,39,47,37,3,5,4,3,1,3,0,3,2,6,3,2,0,3,4,5,2
30,12740,12625,12212,10587,10583,9925,10037,9966,9967,9719,9561,9564,9702,9714,9579,9800,9558,9788,9746,9610,9556,6862,6851,7073,6918,7188,5602,5546,5083,241613,5152,5206,5155,5037,5064,5116,4530,4520,4667,4418,2957,3006,2962,3120,2083,2162,2087,729,809,148,90,84,98,48,34
31,18201,13356,13366,13450,13476,13353,13359,13305,13190,13273,13332,13249,13358,12480,12334,12335,8550,8560,7975,7787,4826,4779,3516,3498,3276,2432,2442,2469,2453,2444,533961,2451,2378,2373,2405,2340,2439,2420,2430,2288,2394,2424,214,222,203,0,2,2,1,0,0,1,1,1,4
32,1221,1229,1252,1277,1218,1183,1255,1140,1132,1069,1114,1134,1124,991,1018,852,853,871,835,799,777,807,802,692,386,140,139,139,134,84,78,34502,80,38,29,18,16,14,13,13,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
33,14158,12878,12747,10894,10931,10529,10764,5834,5887,5988,5975,5498,5345,3418,3311,3108,3107,3013,3081,3037,2951,2999,3054,2871,2342,2134,2004,1349,1357,1127,1098,1171,217750,1070,1013,980,1028,904,950,922,970,58,53,52,20,12,4,1,2,1,0,1,0,0,0
34,105,89,99,90,77,86,85,70,96,109,23,21,16,28,32,25,17,17,19,14,18,22,19,25,24,23,23,19,9,19,22,17,21,3567,28,17,25,15,47,9,6,9,8,5,9,19,4,2,7,1,0,0,1,1,0
35,225,261,269,239,275,266,249,255,252,296,243,248,274,238,215,243,215,233,229,241,199,227,223,199,68,45,33,27,34,13,13,11,1,0,26805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,329,361,352,292,318,321,285,284,272,287,223,236,218,229,246,225,216,208,221,221,221,189,190,202,196,182,176,206,131,169,76,57,70,73,51,14488,60,64,78,66,49,41,51,42,17,29,28,7,12,3,0,2,4,0,1
37,6552,6270,6460,2544,2528,2498,2439,1084,1139,1168,1117,1073,1039,800,773,810,780,877,825,796,805,783,790,798,810,805,788,388,416,428,350,411,406,258,238,255,140396,241,297,223,331,12,15,11,21,15,8,4,3,7,0,4,3,7,7
38,130,142,136,140,119,126,112,143,131,145,161,148,146,132,135,112,116,109,110,70,72,76,75,34,30,14,24,7,8,1,0,0,0,0,0,0,0,27127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,556,507,503,546,506,484,470,504,458,576,120,134,147,155,129,142,137,118,119,126,110,120,136,131,127,151,116,107,102,107,111,111,107,114,79,97,102,81,12753,93,92,82,77,89,88,195,11,5,10,2,0,0,0,0,0
40,7501,7425,7362,7239,7397,6819,6797,6604,6716,6651,6210,6369,6325,6469,6368,6357,6394,6356,6401,6332,6519,4990,4861,4970,4953,5073,4866,4670,4261,4547,3249,3196,3138,3180,3268,3220,2756,2798,2813,106965,2681,2717,2618,2725,2077,1963,2039,1078,1157,450,383,553,385,163,287
41,3683,3824,3689,2655,2745,2655,2670,974,976,932,996,991,961,874,926,865,876,897,880,889,901,884,898,864,858,873,848,662,637,609,530,538,568,241,235,241,211,54,41,45,46328,28,44,41,39,30,33,1,2,0,0,0,0,1,0
42,1606,1599,1582,1583,1584,1571,1555,1491,1567,1519,1496,1575,1565,1532,1512,1483,1483,1491,1383,1445,789,759,703,712,670,592,572,618,569,552,607,41,32,30,28,28,30,31,27,18,29,116894,45,1,1,1,0,2,1,0,0,0,5,9,1
