method,original_category2,assigned_category2,n
plain_mf,wetland,desert,2956
plain_mf,grassland_meadow_steppe,cropland,222928
plain_mf,grassland_meadow_steppe,forest,221814
plain_mf,grassland_meadow_steppe,wetland,49951
plain_mf,grassland_meadow_steppe,grassland_meadow_steppe,2265591
plain_mf,grassland_meadow_steppe,scrub,233686
plain_mf,grassland_meadow_steppe,alpine_vegetation,179148
plain_mf,grassland_meadow_steppe,no_vegetation,8964
plain_mf,grassland_meadow_steppe,desert,193460
plain_mf,scrub,cropland,132906
plain_mf,scrub,forest,293820
plain_mf,scrub,wetland,13541
plain_mf,scrub,grassland_meadow_steppe,140310
plain_mf,scrub,scrub,455522
plain_mf,scrub,alpine_vegetation,4418
plain_mf,scrub,no_vegetation,424
plain_mf,scrub,desert,14359
plain_mf,alpine_vegetation,forest,4140
plain_mf,alpine_vegetation,wetland,419
plain_mf,alpine_vegetation,grassland_meadow_steppe,89411
plain_mf,alpine_vegetation,cropland,1139
plain_mf,alpine_vegetation,alpine_vegetation,268868
plain_mf,alpine_vegetation,scrub,19004
plain_mf,alpine_vegetation,no_vegetation,939
plain_mf,alpine_vegetation,desert,39666
plain_mf,no_vegetation,cropland,1082
plain_mf,no_vegetation,forest,4826
plain_mf,no_vegetation,wetland,646
plain_mf,no_vegetation,grassland_meadow_steppe,28279
plain_mf,no_vegetation,scrub,2338
plain_mf,no_vegetation,alpine_vegetation,43716
plain_mf,no_vegetation,no_vegetation,533214
plain_mf,no_vegetation,desert,77255
plain_mf,desert,cropland,29652
plain_mf,desert,forest,8704
plain_mf,desert,wetland,3523
plain_mf,desert,grassland_meadow_steppe,107934
plain_mf,desert,scrub,8508
plain_mf,desert,alpine_vegetation,19119
plain_mf,desert,no_vegetation,36674
plain_mf,desert,desert,1638183
plain_rf,cropland,cropland,1867158
plain_rf,cropland,forest,311411
plain_rf,cropland,wetland,32245
plain_rf,cropland,grassland_meadow_steppe,250285
plain_rf,cropland,scrub,143360
plain_rf,cropland,alpine_vegetation,2219
plain_rf,cropland,no_vegetation,1856
plain_rf,cropland,desert,47954
plain_rf,forest,cropland,206556
plain_rf,forest,forest,1527695
plain_rf,forest,wetland,53616
plain_rf,forest,grassland_meadow_steppe,169444
plain_rf,forest,scrub,171107
plain_rf,forest,alpine_vegetation,3701
plain_rf,forest,no_vegetation,567
plain_rf,forest,desert,6008
plain_rf,wetland,cropland,16206
plain_rf,wetland,forest,37553
plain_rf,wetland,wetland,117019
plain_rf,wetland,grassland_meadow_steppe,23496
plain_rf,wetland,scrub,2174
plain_rf,wetland,alpine_vegetation,1071
plain_rf,wetland,no_vegetation,66
plain_rf,wetland,desert,2978
plain_rf,grassland_meadow_steppe,cropland,224542
plain_rf,grassland_meadow_steppe,forest,222345
plain_rf,grassland_meadow_steppe,wetland,50160
plain_rf,grassland_meadow_steppe,grassland_meadow_steppe,2259145
plain_rf,grassland_meadow_steppe,scrub,234890
plain_rf,grassland_meadow_steppe,alpine_vegetation,181659
plain_rf,grassland_meadow_steppe,no_vegetation,8730
plain_rf,grassland_meadow_steppe,desert,194071
plain_rf,scrub,cropland,133285
plain_rf,scrub,forest,293895
plain_rf,scrub,wetland,13554
plain_rf,scrub,grassland_meadow_steppe,139737
plain_rf,scrub,scrub,455428
plain_rf,scrub,alpine_vegetation,4621
plain_rf,scrub,no_vegetation,494
plain_rf,scrub,desert,14286
plain_rf,alpine_vegetation,forest,4074
plain_rf,alpine_vegetation,wetland,442
plain_rf,alpine_vegetation,grassland_meadow_steppe,88000
plain_rf,alpine_vegetation,alpine_vegetation,270579
plain_rf,alpine_vegetation,no_vegetation,976
plain_rf,alpine_vegetation,cropland,1170
plain_rf,alpine_vegetation,desert,39312
plain_rf,alpine_vegetation,scrub,19033
plain_rf,no_vegetation,cropland,1088
plain_rf,no_vegetation,forest,4968
plain_rf,no_vegetation,wetland,631
plain_rf,no_vegetation,grassland_meadow_steppe,28238
plain_rf,no_vegetation,scrub,2455
plain_rf,no_vegetation,alpine_vegetation,43899
plain_rf,no_vegetation,no_vegetation,532779
plain_rf,no_vegetation,desert,77298
plain_rf,desert,cropland,29790
plain_rf,desert,forest,8666
plain_rf,desert,wetland,3560
plain_rf,desert,grassland_meadow_steppe,107719
plain_rf,desert,scrub,8757
plain_rf,desert,alpine_vegetation,19596
plain_rf,desert,no_vegetation,36823
plain_rf,desert,desert,1637386
