source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
47,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,287565,218831.374302337,0.0232022034125591,0.0257414514884217
47,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,377273,287497.942216467,0.0304403000645642,0.0338187993206201
48,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,622,480.011279815867,5.01861162610601e-05,5.64644220357729e-05
48,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,56278,42339.0641538657,0.00454079461565907,0.00498040543526517
48,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,67426,50826.7076680447,0.00544027182478817,0.00597881923432763
49,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,193250,147063.914909236,0.0155923906229098,0.0172993413005909
49,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,375320,286167.833644784,0.0302827221143104,0.0336623367229626
49,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,546487,417467.107525016,0.0440933442398038,0.0491072604676877
50,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,27306,20837.0715669807,0.00220318664087541,0.00245109490635081
50,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,88012,68013.0231440569,0.00710125476586563,0.00800047041437853
50,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,118189,91391.2054427379,0.00953608825527079,0.0107504798563407
52,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,74632,57765.7071748181,0.00602168847073222,0.00679506379592787
52,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,157185,122706.107137895,0.0126824834155864,0.0144340970955071
