Species,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
chamFor,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2299817,1737417.6470559,0.185560905693187,0.204374954091488
chamFor,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,3012225,2278345.07519119,0.243041598158315,0.26800503087775
chamFor,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,3257269,2463918.82183321,0.262812991523387,0.289834339458112
cyclLon,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2137822,1613711.07350678,0.172490327069859,0.189823170683071
cyclLon,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,2789989,2108216.44906236,0.22511046996958,0.247992554192225
cyclLon,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,3113877,2355678.85858293,0.251243397338651,0.27710191581914
lariGme,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,1415920,856567.437458777,0.114243610508618,0.100759268218293
lariGme,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,2159786,1335319.79107032,0.174262494043424,0.157075600941372
lariGme,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,2374974,1487268.89288924,0.191624953827966,0.174949593853271
lariOlg,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2262825,1427393.09278238,0.182576203421919,0.16790631676974
lariOlg,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,3128718,1984026.60329026,0.252440844527446,0.233383922772306
lariOlg,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,3240328,2058058.68178401,0.261446105678406,0.24209242338475
phylPub,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2595535,1958541.34732419,0.209420934517123,0.230386055203216
phylPub,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,3064613,2319722.39302682,0.247268527834656,0.272872304700723
phylPub,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,3173880,2401040.61421219,0.256084743856356,0.282437884830362
pinuSyl,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,1729123,1083128.87014931,0.139514417857995,0.127410017670211
pinuSyl,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,2638183,1668215.1874367,0.212861991569055,0.1962345685419
pinuSyl,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,2874805,1832237.75583604,0.231953855237744,0.215528780813421
pinuYun,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,4094389,2995798.20282284,0.330356080983932,0.352400081354519
pinuYun,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,5813975,4184355.80492221,0.469101005287616,0.492211833454406
pinuYun,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,6129062,4397602.79461138,0.494523823317115,0.517296385693025
querVar,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,5404867,3787172.07141225,0.436092095880333,0.445490535648127
querVar,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,6489730,4530373.39540448,0.523624347721688,0.532914383753405
querVar,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,6612908,4615107.13267689,0.533562973813014,0.542881735986987
robiPse,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2833124,1815773.90544665,0.228590820652733,0.213592114247841
robiPse,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,3319354,2115930.24889834,0.26782232436594,0.248899939638678
robiPse,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,3407744,2173903.05711163,0.27495407808992,0.255719365029702
saliMat,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,1535858,980661.533080683,0.12392081695897,0.115356636409371
saliMat,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,2402058,1529879.16603727,0.19381022838233,0.179961901995306
saliMat,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,2541214,1623787.47210154,0.205038040592015,0.191008472043225
