source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
1,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,46698,32948.4624095598,0.00376783160314949,0.00387577535185598
1,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,140907,99749.32442256,0.0113690917749151,0.0117336574968388
1,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,207753,148561.06545901,0.016762566256566,0.0174754532880549
2,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,38213,23315.0244226312,0.00308321874708021,0.00274258008953206
2,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,315337,185151.578679431,0.0254429892980931,0.0217796483515041
2,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,366477,216859.151886366,0.029569224001615,0.0255094561092995
3,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,429988,258855.543342417,0.0346936137602262,0.0304495524588345
3,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,899058,552576.954113135,0.0725405615971643,0.06500042739882
3,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,1079812,674943.002182181,0.0871247115306879,0.0793945228535575
4,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,6793,4178.59208596777,0.000548093710227301,0.000491533838846313
4,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,91137,52428.8181153646,0.00735339562328655,0.00616727780655137
4,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,136247,78725.140723462,0.010993099328329,0.0092605523193962
5,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,196402,109258.629485258,0.0158467099773388,0.0128522508235062
5,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,553380,317132.838423457,0.0446495064574686,0.0373047950810941
5,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,691516,411647.373251573,0.0557950198912914,0.0484226766964942
6,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,1446,894.695640019663,0.000116670617545809,0.000105244343905866
6,rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,43568,23893.4470626267,0.0035152873203567,0.00281062078239303
