source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
1,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,45939,32397.244803015,0.0037065916316991,0.00381093482648034
1,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,141031,99816.2396978887,0.0113790967241376,0.0117415288375878
1,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,207696,148499.435734634,0.0167579672073266,0.0174682036943194
2,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,38568,23346.5401417594,0.00311186194848323,0.00274628732921672
2,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,296106,174053.447975417,0.0238913346327934,0.0204741591635833
2,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,343439,204151.487409263,0.0277104012581708,0.0240146351325938
3,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,421656,254872.376314642,0.0340213457205363,0.0299810067526137
3,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,906143,556414.72174868,0.073112215349109,0.0654518695639536
3,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,1080800,674944.395809317,0.08720442838417,0.0793946867879359
4,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,5664,3527.81638142902,0.000457000261258271,0.000414982150215581
4,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,61982,35919.0618078598,0.00500102227989233,0.00422521126133954
4,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,104412,60589.3219687111,0.00842448998561063,0.00712720969352008
5,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,208165,115278.240993944,0.0167958085072083,0.0135603464433596
5,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,526129,300544.172905001,0.0424507574956838,0.0353534463311153
5,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,649212,385524.994889254,0.0523817185049443,0.0453498634972004
6,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,289,181.903420306444,2.33179864942868e-05,2.13975627778447e-05
6,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,41751,22759.4634200312,0.00336868254021788,0.00267722864418799
6,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,49179,26838.6555283815,0.00396801127267311,0.0031570699197081
7,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,229088,150009.579498458,0.0184839823183501,0.0176458440923699
7,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,3,Top-3,637513,420751.18406835,0.0514377838198348,0.0494935711477444
7,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,5,Top-5,842125,558559.300896576,0.0679469182577898,0.0657041395150731
9,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,1,Top-1,2214,1414.77219047075,0.000178636754665574,0.000166421701752215
