Species,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
chamFor,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,2104240,1592336.00386467,0.169780760902208,0.187308790283971
chamFor,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,2867516,2171766.68278972,0.231365741730627,0.255468060224146
chamFor,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,3184787,2411947.4776651,0.256964775962561,0.283720874974526
cyclLon,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,1893101,1430912.98018088,0.152744994983809,0.16832036622221
cyclLon,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,2616920,1979819.48598169,0.211146384832626,0.232889033470213
cyclLon,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,2993065,2266516.15028388,0.241495672133296,0.266613577309301
lariGme,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,1454880,880404.814080394,0.117387101006256,0.103563293353504
lariGme,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,2332178,1444541.90968953,0.188171955385027,0.169923556938828
lariGme,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,2576206,1615968.5167793,0.207861372714535,0.190088717004629
lariOlg,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,2228730,1409292.37973209,0.179825245811113,0.165777103678723
lariOlg,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,3212840,2042149.35544173,0.259228234353994,0.240220986285939
lariOlg,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,3349148,2131399.64294571,0.27022625547186,0.250719626864494
phylPub,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,2573343,1944121.69240881,0.2076303713466,0.228689850311812
phylPub,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,3034633,2298000.62498365,0.244849589304903,0.270317141666589
phylPub,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,3151985,2385453.97190395,0.254318144152922,0.280604405521812
pinuSyl,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,1749074,1095231.70557536,0.141124165776845,0.12883369172968
pinuSyl,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,2701160,1708922.64672304,0.21794329549795,0.201023045933576
pinuSyl,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,2977932,1900422.15105117,0.240274664902783,0.223549409972714
pinuYun,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,3975804,2906726.53555272,0.320788041439209,0.341922452132766
pinuYun,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,5909360,4231155.56695766,0.476797151106846,0.497716957241824
pinuYun,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,6285847,4483078.38102644,0.507174032702952,0.527351002715663
querVar,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,5474131,3832666.92685109,0.441680666871822,0.450842161382715
querVar,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,6592791,4591629.62232054,0.531939832171818,0.540120042441747
querVar,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,6766563,4710688.82736792,0.545960638916057,0.554125149162609
robiPse,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,2848146,1832305.89900229,0.229802871839989,0.215536796592757
robiPse,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,3411610,2180636.42642099,0.275266006587452,0.25651142101337
robiPse,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,3518723,2249793.49445855,0.283908426958949,0.264646467085469
saliMat,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,1,Top-1,1528166,977195.207384328,0.12330018736688,0.114948887497496
saliMat,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,3,Top-3,2439602,1554263.71182993,0.196839468814654,0.182830291432562
saliMat,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140083,5,Top-5,2625690,1679338.13789356,0.211853992934892,0.197542977313294
