method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,stable_top1_pixels,stable_top1_pixel_share,stable_top1_area_km2,stable_top1_area_share,changed_existing_pixels,changed_existing_pixel_share,changed_existing_area_km2,changed_existing_area_share,novel_pixels,novel_pixel_share,novel_area_km2,novel_area_share,former_top3_among_changed_pixel,former_top3_among_changed_area,former_top5_among_changed_pixel,former_top5_among_changed_area,former_below_top5_among_changed_pixel,former_below_top5_among_changed_area
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140123,6430715,0.518862718057465,4455416.62242213,0.524097109989025,5713904,0.461026769209866,3878363.13550489,0.456217472587573,249247,0.0201105127326695,167348.25347421,0.0196854174234022,0.729944360283267,0.732632455737224,0.92500399026655,0.927007396827696,0.0749960097334502,0.0729926031723037
mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140112,6247237,0.504058781981345,4329140.03548446,0.50924301218362,5887029,0.474995372710985,3998100.63529291,0.470302368101143,259600,0.0209458453076708,173887.340623752,0.0204546197152362,0.719944644403824,0.722491906670698,0.920577085657298,0.922422982366624,0.0794229143427016,0.0775770176333762
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.01140086,4952848,0.399620909246558,3433017.10856836,0.40383077445303,6968874,0.562284116997876,4750012.48330599,0.558750847762291,472144,0.0380949737555659,318098.419526512,0.0374183777846788,0.626411382957993,0.629538295244774,0.869255492350701,0.871408529087114,0.130744507649299,0.128591470912886
mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.0114008,4314359,0.348104376794133,2989195.36262071,0.351623379698779,7382614,0.595666759669662,5046053.31018913,0.593574558978751,696893,0.0562288635362041,465879.338590957,0.0548020613224703,0.569638884005042,0.571612273381904,0.838927106306791,0.841254937545553,0.16107289369321,0.158745062454447
mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140075,4221299,0.340595823772824,2923725.9173168,0.343922114029554,7459248,0.601849979659293,5099908.73183411,0.599909650224616,713319,0.0575541965678829,477493.362249836,0.05616823574583,0.561339427245213,0.562949076088754,0.831916970718764,0.834180506644464,0.168083029281236,0.165819493355536
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140072,2924351,0.235951477932713,2029738.9838648,0.238761136303647,7982329,0.644054809048282,5506958.54544342,0.647791509321837,1487186,0.119993713019005,964430.4820925,0.113447354374516,0.472966097989697,0.472572804930696,0.760813542012613,0.763155997272238,0.239186457987387,0.236844002727762
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140122,6454236,0.520760511691832,4469693.04235304,0.525776465941761,5691028,0.45918101744847,3865521.81048059,0.454706928927123,248602,0.0200584708596979,165913.158567589,0.0195166051311162,0.727688038083805,0.730222398718485,0.923299973221007,0.925393053742289,0.0767000267789932,0.0746069462577113
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140115,6278154,0.506553322425787,4348596.22072822,0.511531671431858,5854533,0.472373430534105,3978533.03082657,0.468000602448384,261179,0.0210732470401084,173998.759846359,0.0204677261197577,0.716435111049848,0.718895099834723,0.917316718515379,0.919283624280706,0.0826832814846206,0.080716375719294
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12393866,8501128.0114009,4996503,0.403143216168385,3463143.56797762,0.407374593504907,6914131,0.557867173971382,4713845.99568743,0.554496531444494,483232,0.0389896098602325,324138.447735851,0.0381288750505988,0.622241609249232,0.625000254301322,0.868508276745118,0.870851499127841,0.131491723254882,0.129148500872159
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,12393866,8501128.01140083,4393506,0.354490358375667,3042856.30673635,0.357935594271206,7292757,0.588416640941575,4986421.67227891,0.586560003048024,707603,0.0570930006827571,471850.032385571,0.0555044026807707,0.562079060086604,0.563979277519015,0.837555536267011,0.840220610505748,0.162444463732989,0.159779389494252
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140077,4297368,0.346733456695433,2976067.54819767,0.350079135875439,7368255,0.594508202686716,5038695.3688696,0.592709033684972,728243,0.0587583406178508,486365.094333498,0.0572118304395887,0.552271195825877,0.553480565357797,0.830651083601205,0.833192839849176,0.169348916398795,0.166807160150824
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140069,2968701,0.239529860981231,2060359.89308264,0.242363118202612,8026914,0.647652153089278,5531364.14967736,0.650662375894041,1398251,0.112817985929491,909403.968640694,0.106974505903347,0.467610341907239,0.466901884833605,0.761357353523409,0.763522888269277,0.238642646476591,0.236477111730723
