method,method_label,scenario,period,ssp,normal_assigned_zone,category,pixel_count,pixel_share,area_km2,area_share
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,10,changed_former_below_top5,669,0.00421064556938124,496.89836745388,0.0041974518781366
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,10,novel,1933,0.0121661851802899,1339.38862972938,0.0113142237681717
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,11,stable_top1,30171,0.160840801138696,17985.3119222817,0.159701598304172
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,11,changed_former_in_top3,91670,0.48869033974294,54261.5529218408,0.481818539791274
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,11,changed_former_rank4_5,35969,0.191749785428317,21947.855817337,0.194887231788057
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,11,changed_former_below_top5,21368,0.113912241514423,13235.2151727161,0.117522844536479
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,11,novel,8405,0.0448068321756236,5188.29787959379,0.0460697855800188
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,12,stable_top1,143911,0.418818318335797,88438.2923821947,0.416307358796946
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,12,changed_former_in_top3,141122,0.410701605299,86734.8111360462,0.408288527143351
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,12,changed_former_rank4_5,40203,0.117001152462661,25561.3787348719,0.120325594057551
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,12,changed_former_below_top5,9234,0.0268733338765817,6064.30419726786,0.0285466215516176
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,12,novel,9142,0.0266055900259595,5636.30630840597,0.0265318984505344
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,13,stable_top1,278531,0.511859672336007,175162.637621977,0.507879118642207
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,13,changed_former_in_top3,208575,0.383300713950988,132201.076877552,0.383313287123611
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,13,changed_former_rank4_5,25745,0.0473118872380112,16735.6514877995,0.0485245486304571
