method_key,method_label,source_file,metric,value,metric_label,model_family
plain_rf,Plain RF,result maps/plain_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_specificity,0.992310002727752,Macro specificity,Binary dual-niche workflow
plain_mf,Plain MF RF,result maps/plain_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_specificity,0.992318254599281,Macro specificity,Binary dual-niche workflow
optimized_rf,Optimized RF,result maps/optimized_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_specificity,0.992474740740108,Macro specificity,Binary dual-niche workflow
optimized_mf,Optimized MF RF,result maps/optimized_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_specificity,0.991467905232681,Macro specificity,Binary dual-niche workflow
multiclass_rf,Multiclass RF,result maps/multiclass_rf/assigned_zone_normal_multiclass_rf.tif,macro_specificity,0.991907370560892,Macro specificity,Multiclass robustness model
plain_rf,Plain RF,result maps/plain_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_precision,0.456296798951211,Macro precision,Binary dual-niche workflow
plain_mf,Plain MF RF,result maps/plain_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_precision,0.456271710513983,Macro precision,Binary dual-niche workflow
optimized_rf,Optimized RF,result maps/optimized_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_precision,0.496597124682671,Macro precision,Binary dual-niche workflow
optimized_mf,Optimized MF RF,result maps/optimized_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_precision,0.419425559171323,Macro precision,Binary dual-niche workflow
multiclass_rf,Multiclass RF,result maps/multiclass_rf/assigned_zone_normal_multiclass_rf.tif,macro_precision,0.445372046786559,Macro precision,Multiclass robustness model
plain_rf,Plain RF,result maps/plain_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_f1,0.50183313566883,Macro F1,Binary dual-niche workflow
plain_mf,Plain MF RF,result maps/plain_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_f1,0.501605697746266,Macro F1,Binary dual-niche workflow
optimized_rf,Optimized RF,result maps/optimized_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_f1,0.532750036793147,Macro F1,Binary dual-niche workflow
optimized_mf,Optimized MF RF,result maps/optimized_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_f1,0.457718744410393,Macro F1,Binary dual-niche workflow
multiclass_rf,Multiclass RF,result maps/multiclass_rf/assigned_zone_normal_multiclass_rf.tif,macro_f1,0.482343146951163,Macro F1,Multiclass robustness model
