method_key,valid_original_pixels,individual_compared_pixels,individual_missing_predictions,individual_coverage,compared_pixels,missing_predictions,coverage,exact_zone_accuracy,broad_category_accuracy,macro_balanced_accuracy,macro_recall,macro_specificity,macro_precision,macro_f1,macro_tss,source_map,comparison_scope,method_label
plain_rf,12627345,12393826,233519,0.981506880504176,12393826,233519,0.981506880504176,0.602834185343574,0.6993245669255,0.824142007755772,0.655988474678782,0.99229554083276,0.454960139140936,0.500007852006704,0.648284015511543,result maps/plain_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,binary_common_mask,Plain RF
plain_mf,12627345,12393826,233519,0.981506880504176,12393826,233519,0.981506880504176,0.603274404530127,0.699615195501373,0.824399800522093,0.656495833894277,0.99230376714991,0.454956062372326,0.499804346690582,0.648799601044187,result maps/plain_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,binary_common_mask,Plain MF RF
optimized_rf,12627345,12393826,233519,0.981506880504176,12393826,233519,0.981506880504176,0.613022806678099,0.709568296343679,0.812394585922114,0.632327374935403,0.992461796908825,0.494369823298178,0.530323295692353,0.624789171844228,result maps/optimized_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,binary_common_mask,Optimized RF
optimized_mf,12627345,12393826,233519,0.981506880504176,12393826,233519,0.981506880504176,0.55930783601448,0.672904396108191,0.802105372572678,0.612754931974035,0.991455813171321,0.418378828489594,0.456251769567291,0.604210745145356,result maps/optimized_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,binary_common_mask,Optimized MF RF
