method,method_label,rank_cutoff,compared_pixels,matched_pixels,pixel_share,compared_area_km2,matched_area_km2,area_share
mf_var,Plain MF RF,1,12393826,7466465,0.602434228139075,8501096.16541904,5088490.91394847,0.598568798062484
mf_var,Plain MF RF,2,12393826,9756590,0.787213730449338,8501096.16541904,6661104.08419146,0.783558255850305
mf_var,Plain MF RF,3,12393826,10715624,0.864593709803575,8501096.16541904,7328137.55307894,0.862022662781832
mf_var,Plain MF RF,5,12393826,11318970,0.913274883801015,8501096.16541904,7757587.90405278,0.91253971877289
