method,method_label,scenario,period,ssp,normal_assigned_zone,category,pixel_count,pixel_share,area_km2,area_share
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,10,stable_top1,88313,0.555836684856152,65765.7852669663,0.55554362213029
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,10,changed_former_in_top3,47538,0.555836684856152,35598.2448885076,0.55554362213029
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,10,changed_former_rank4_5,7666,0.555836684856152,5686.02376361543,0.55554362213029
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,10,changed_former_below_top5,10877,0.555836684856152,8036.14194076726,0.55554362213029
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,10,novel,4489,0.555836684856152,3294.76046321409,0.55554362213029
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,11,stable_top1,18099,0.0964852891786569,10332.3794170395,0.0917469496396136
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,11,changed_former_in_top3,23305,0.0964852891786569,13485.5917878544,0.0917469496396136
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,11,changed_former_rank4_5,32416,0.0964852891786569,19358.7046018079,0.0917469496396136
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,11,changed_former_below_top5,75293,0.0964852891786569,46115.5282972907,0.0917469496396136
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,11,novel,38470,0.0964852891786569,23326.0296097771,0.0917469496396136
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12,stable_top1,74084,0.215603645972783,44651.7365537201,0.210190020743986
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12,changed_former_in_top3,108922,0.215603645972783,65930.1627276004,0.210190020743986
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12,changed_former_rank4_5,38906,0.215603645972783,24628.716760426,0.210190020743986
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12,changed_former_below_top5,100836,0.215603645972783,64490.5235108777,0.210190020743986
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12,novel,20864,0.215603645972783,12733.9532061632,0.210190020743986
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,13,stable_top1,48893,0.0898512372393895,32088.5939234234,0.0930399714319631
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,13,changed_former_in_top3,159049,0.0898512372393895,99929.3740370516,0.0930399714319631
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,13,changed_former_rank4_5,140191,0.0898512372393895,86046.1364851046,0.0930399714319631
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,13,changed_former_below_top5,67911,0.0898512372393895,44161.2667710293,0.0930399714319631
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,13,novel,128111,0.0898512372393895,82665.0391043863,0.0930399714319631
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,14,stable_top1,3672,0.0406028506031823,2291.65696897129,0.0399388755687354
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,14,changed_former_in_top3,8256,0.0406028506031823,5260.24120758896,0.0399388755687354
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,14,changed_former_rank4_5,24833,0.0406028506031823,16088.5652166128,0.0399388755687354
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,14,changed_former_below_top5,35057,0.0406028506031823,22080.3358734752,0.0399388755687354
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,14,novel,18619,0.0406028506031823,11658.3065879299,0.0399388755687354
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,15,stable_top1,63792,0.252286883787151,41516.9843313849,0.25545938979582
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,15,changed_former_in_top3,85480,0.252286883787151,55351.5414732486,0.25545938979582
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,15,changed_former_rank4_5,36382,0.252286883787151,23008.8326368582,0.25545938979582
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,15,changed_former_below_top5,21323,0.252286883787151,13826.8397511413,0.25545938979582
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,15,novel,45878,0.252286883787151,28814.7225820859,0.25545938979582
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,16,stable_top1,78230,0.110850386693986,57333.3092428212,0.114166435388055
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,16,changed_former_in_top3,397737,0.110850386693986,285449.956027864,0.114166435388055
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,16,changed_former_rank4_5,124796,0.110850386693986,89135.1866247073,0.114166435388055
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,16,changed_former_below_top5,88684,0.110850386693986,59114.0721954618,0.114166435388055
