method,method_label,scenario,period,ssp,normal_assigned_zone,category,pixel_count,pixel_share,area_km2,area_share
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,1,stable_top1,6435,0.14480198019802,4647.25691203716,0.158259223921282
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,1,changed_former_in_top3,6336,0.14480198019802,4541.23527413389,0.158259223921282
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,1,changed_former_rank4_5,5438,0.14480198019802,3845.59971405567,0.158259223921282
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,1,changed_former_below_top5,21594,0.14480198019802,13273.3344921679,0.158259223921282
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,1,novel,4637,0.14480198019802,3057.41438521901,0.158259223921282
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,2,stable_top1,6990,0.0267892046020711,4326.20380167963,0.0301142962837561
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,2,changed_former_in_top3,140151,0.0267892046020711,76974.2390635984,0.0301142962837561
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,2,changed_former_rank4_5,89011,0.0267892046020711,48252.3589412906,0.0301142962837561
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,2,changed_former_below_top5,19332,0.0267892046020711,10776.3298370806,0.0301142962837561
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,2,novel,5442,0.0267892046020711,3330.33696605605,0.0301142962837561
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,3,stable_top1,156755,0.343244592564694,97900.9115679337,0.342996431549274
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,3,changed_former_in_top3,151959,0.343244592564694,94626.871747427,0.342996431549274
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,3,changed_former_rank4_5,61233,0.343244592564694,39095.3018314186,0.342996431549274
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,3,changed_former_below_top5,26359,0.343244592564694,16306.4263104669,0.342996431549274
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,3,novel,60380,0.343244592564694,37498.8561958132,0.342996431549274
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,4,stable_top1,1539,0.0149249389037589,892.030558954199,0.0148759341787348
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,4,changed_former_in_top3,20343,0.0149249389037589,11538.8946851185,0.0148759341787348
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,4,changed_former_rank4_5,29046,0.0149249389037589,16422.5423471424,0.0148759341787348
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,4,changed_former_below_top5,43274,0.0149249389037589,25681.5230076806,0.0148759341787348
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,4,novel,8914,0.0149249389037589,5429.68444177245,0.0148759341787348
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,5,stable_top1,35933,0.20540654868066,21849.0356732791,0.20482556969288
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,5,changed_former_in_top3,68940,0.20540654868066,40925.1281759314,0.20482556969288
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,5,changed_former_rank4_5,33416,0.20540654868066,20801.7606067919,0.20482556969288
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,5,changed_former_below_top5,19376,0.20540654868066,12763.0887037842,0.20482556969288
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,5,novel,17271,0.20540654868066,10332.413196015,0.20482556969288
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,6,stable_top1,160,0.00152198314403668,96.4423747387752,0.00160097914321584
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,6,changed_former_in_top3,16952,0.00152198314403668,9582.33178432607,0.00160097914321584
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,6,changed_former_rank4_5,34147,0.00152198314403668,19310.3913772402,0.00160097914321584
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,6,changed_former_below_top5,36197,0.00152198314403668,20763.7930443962,0.00160097914321584
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,6,novel,17670,0.00152198314403668,10486.6611216857,0.00160097914321584
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,7,stable_top1,62673,0.243359103493533,40820.8533767973,0.241714192024805
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,7,changed_former_in_top3,89540,0.243359103493533,58957.9493589285,0.241714192024805
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,7,changed_former_rank4_5,60504,0.243359103493533,39736.5789728608,0.241714192024805
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,7,changed_former_below_top5,19816,0.243359103493533,12921.2136384079,0.241714192024805
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,7,novel,25000,0.243359103493533,16444.0691884504,0.241714192024805
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,9,stable_top1,500,0.00676580831111893,319.779010041409,0.00707333556233759
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,9,changed_former_in_top3,2167,0.00676580831111893,1317.40902087611,0.00707333556233759
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,9,changed_former_rank4_5,12069,0.00676580831111893,7426.30551972236,0.00707333556233759
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,9,changed_former_below_top5,57036,0.00676580831111893,34848.3007256821,0.00707333556233759
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,9,novel,2129,0.00676580831111893,1297.28808986634,0.00707333556233759
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,10,stable_top1,95964,0.60147039467499,71687.7672803305,0.602918398317375
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,10,changed_former_in_top3,47859,0.60147039467499,35678.1434914753,0.602918398317375
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,10,changed_former_rank4_5,8422,0.60147039467499,6211.9306382912,0.602918398317375
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,10,changed_former_below_top5,4651,0.60147039467499,3417.69406878316,0.602918398317375
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,10,novel,2653,0.60147039467499,1905.74117878484,0.602918398317375
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,11,stable_top1,41890,0.225906132200118,24087.0590146601,0.216340099423276
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,11,changed_former_in_top3,44124,0.225906132200118,26181.3360944607,0.216340099423276
