method,valid_original_pixels,compared_pixels,missing_predictions,coverage,exact_zone_accuracy,broad_category_accuracy,macro_balanced_accuracy,macro_recall,macro_specificity,macro_precision,macro_f1,macro_tss
optimized_rf,12627345,12393826,233519,0.981506880504176,0.613022806678099,0.709543122519229,0.812394579820492,0.632327374935403,0.992461784705581,0.49430291105741,0.530215192234992,0.624789159640984
plain_mf,12627345,12393826,233519,0.981506880504176,0.603274404530127,0.699612694255995,0.824399798891265,0.656495833894277,0.992303763888254,0.454939895346273,0.499784818570686,0.64879959778253
plain_rf,12627345,12393826,233519,0.981506880504176,0.602834185343574,0.699315046055996,0.824142009799738,0.655988474678782,0.992295544920694,0.454976205693695,0.500019032817928,0.648284019599476
multiclass_rf,12627345,12374320,253025,0.979962137725706,0.579889480795712,0.688625799235837,0.857475445411857,0.723043520262823,0.991907370560892,0.445372046786559,0.482343146951163,0.714950890823715
optimized_mf,12627345,12393826,233519,0.981506880504176,0.55930783601448,0.672904396108191,0.802105372572678,0.612754931974035,0.991455813171321,0.418378828489594,0.456251769567291,0.604210745145356
