method,zone,original_pixels,predicted_pixels,predicted_to_original,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
multiclass_rf,1,15170,68515,4.51647989452868,13891,12304526,54624,1279,0.99548233761532,0.955634569085164,0.915688859591299,0.995580278579028,0.202743924688025,0.33198303160662,0.911269138170327
multiclass_rf,2,283513,237591,0.838025064106408,175494,12028710,62097,108019,0.986252497106912,0.806931092582268,0.618998070635209,0.994864114529328,0.738639089864515,0.67354693113083,0.613862185164537
multiclass_rf,3,551735,294957,0.534599037581448,213254,11740882,81703,338481,0.966043871501626,0.68980225474984,0.386515265480711,0.993089244018969,0.723000301738898,0.503734533927331,0.37960450949968
multiclass_rf,4,91121,142217,1.56074889432732,58602,12199584,83615,32519,0.990614918637954,0.818157807401723,0.643122880565402,0.993192734238043,0.412060442844386,0.502292811286631,0.636315614803445
multiclass_rf,5,190111,187606,0.986823487331085,87695,12084298,99911,102416,0.983649444979603,0.726541552602927,0.461283145109962,0.991799960095891,0.467442405893202,0.464342351548911,0.453083105205853
multiclass_rf,6,89665,157564,1.75725199353148,68612,12195703,88952,21053,0.991110218581708,0.878981455405048,0.76520381419729,0.992759096612807,0.435454799319642,0.55504815373601,0.757962910810097
multiclass_rf,7,220816,225252,1.02008912397652,92009,12020261,133243,128807,0.978823078763116,0.702856946624693,0.416677233533802,0.989036659715585,0.408471400919859,0.412533515069451,0.405713893249387
multiclass_rf,9,30434,122732,4.03272655582572,29528,12250682,93204,906,0.992394733609604,0.98134002123368,0.970230663074193,0.992449379393167,0.240589251376984,0.385568598775185,0.96268004246736
multiclass_rf,10,145713,137631,0.944534804718865,72624,12163600,65007,73089,0.98884011404263,0.74654421007937,0.498404397685862,0.994684022472878,0.527671818122371,0.512620701338303,0.49308842015874
multiclass_rf,11,146840,222760,1.51702533369654,106360,12111080,116400,40480,0.987322131640365,0.857403127777768,0.724325796785617,0.990480458769918,0.477464535823308,0.575541125541125,0.714806255555535
multiclass_rf,12,373799,345918,0.925411785478292,242828,11897431,103090,130971,0.981084940425009,0.820515697616005,0.649621855596189,0.991409539635821,0.701981394434519,0.674787451178727,0.64103139523201
multiclass_rf,13,618485,403678,0.652688424133164,329246,11681403,74432,289239,0.97061082952437,0.76300562331226,0.532342740729363,0.993668505895158,0.815615416247603,0.644214278935943,0.52601124662452
multiclass_rf,14,32665,128174,3.92389407622838,30784,12244265,97390,1881,0.99197766018658,0.967262133636907,0.942415429358641,0.992108837915174,0.240173514129231,0.382792730618818,0.934524267273815
multiclass_rf,15,231398,234729,1.01439511145299,136801,12044994,97928,94597,0.984441569314516,0.791564456142478,0.59119352803395,0.991935384251006,0.582803999505813,0.586968787476375,0.583128912284957
multiclass_rf,16,910830,500340,0.549323144823952,403718,11366868,96622,507112,0.951210733195844,0.71740660302065,0.443241878286837,0.991571327754462,0.806887316624695,0.572174861993948,0.4348132060413
multiclass_rf,17,1569,9311,5.93435309114085,1569,12365009,7742,0,0.999374349459203,0.99968713505994,1,0.999374270119879,0.16851036408549,0.288419117647059,0.999374270119879
multiclass_rf,18,112962,243072,2.1518032612737,63391,12081677,179681,49571,0.981473567840495,0.773258381853668,0.561171013261097,0.985345750446239,0.260791041337546,0.356095204390592,0.546516763707336
multiclass_rf,19,690230,568285,0.823327006939716,530929,11646734,37356,159301,0.984107651976028,0.883004374376679,0.76920591686829,0.996802831885068,0.934265377407463,0.843738850947347,0.766008748753358
multiclass_rf,20,378653,429820,1.13512899673316,227957,11793804,201863,150696,0.971508818262337,0.792596427304472,0.602020847583408,0.983172007025537,0.530354567028058,0.563919883533526,0.585192854608944
multiclass_rf,21,598118,486727,0.813764173624602,366619,11656094,120108,231499,0.971585751782724,0.801377543176607,0.612954299987628,0.989800786365587,0.753233332032125,0.675891947697597,0.602755086353215
multiclass_rf,22,41950,168571,4.01837902264601,37728,12201527,130843,4222,0.98908505679504,0.94437332802088,0.899356376638856,0.989390279402905,0.223810738501878,0.358425050232518,0.888746656041761
multiclass_rf,23,326740,335457,1.02667870478056,197049,11909172,138408,129691,0.978334243821075,0.795793695907522,0.603075840117525,0.988511551697519,0.587404645006663,0.595137096664588,0.591587391815044
multiclass_rf,24,845076,526875,0.623464635133408,441318,11443687,85557,403758,0.960457221083664,0.757400992571941,0.522222853329168,0.992579131814714,0.837614234875445,0.643343676268322,0.514801985143882
multiclass_rf,25,237201,366320,1.54434424812712,179533,11950332,186787,57668,0.980244975077418,0.870745781740286,0.756881294766886,0.984610268713687,0.49009882070321,0.594951956932733,0.741491563480573
multiclass_rf,26,40883,202973,4.96472861580608,32038,12162502,170935,8845,0.985471524899954,0.884895714072293,0.783650906244649,0.986140521899937,0.15784365408207,0.262761629814317,0.769791428144587
multiclass_rf,27,857201,657500,0.767031303043277,600017,11459636,57483,257184,0.974570966323806,0.847490629959611,0.699972351875465,0.995008908043756,0.912573384030418,0.792258009996692,0.694981259919221
multiclass_rf,28,46042,155520,3.37778550019547,31369,12204127,124151,14673,0.98878128252704,0.835621144697599,0.681312714478085,0.989929574917113,0.20170396090535,0.311259066689158,0.671242289395199
multiclass_rf,29,164217,248660,1.51421594597392,144994,12106437,103666,19223,0.990069030055793,0.937225645756046,0.882941473781643,0.991509817730448,0.58310142363066,0.702359298289805,0.874451291512091
multiclass_rf,30,576235,327061,0.567582670264736,194343,11665367,132718,381892,0.958413068354463,0.663007164566452,0.337263442866192,0.988750886266712,0.594210254356221,0.43029748830948,0.326014329132904
multiclass_rf,31,841309,616279,0.732523959686631,518859,11435591,97420,322450,0.96606924663335,0.804140580343916,0.616728217575231,0.991552943112601,0.841922246255349,0.71194192048782,0.608281160687832
multiclass_rf,32,60482,168201,2.78100922588539,50938,12196575,117263,9544,0.989752406596888,0.916339060895033,0.842200985417149,0.990477136372916,0.302840054458654,0.445490045171701,0.832678121790065
multiclass_rf,33,389746,353240,0.906333868724759,250628,11881962,102612,139118,0.980465189198275,0.817246350482766,0.643054707424836,0.991437993540697,0.709511946551919,0.674650666365181,0.634492700965532
multiclass_rf,34,5117,34156,6.6750048856752,5004,12340051,29152,113,0.997635021560781,0.987779963441533,0.977916748094587,0.99764317878848,0.146504274505211,0.254831563669697,0.975559926883066
multiclass_rf,35,32864,126665,3.85421738072055,31368,12246159,95297,1496,0.992177913614647,0.973378683461773,0.954479065238559,0.992278301684988,0.247645363754786,0.393257652213704,0.946757366923547
multiclass_rf,36,22575,176122,7.80163898117386,19490,12195113,156632,3085,0.98709286651711,0.925331723128685,0.863344407530454,0.987319038726917,0.110661927527509,0.196178100323608,0.850663446257371
multiclass_rf,37,191634,238794,1.24609411691036,158443,12102335,80351,33191,0.990824384693462,0.910102269082513,0.82680004592087,0.993404492244157,0.663513321105221,0.73621139888669,0.820204538165027
multiclass_rf,38,30031,78290,2.60697279477873,29605,12295604,48685,426,0.996031216260772,0.990935364567812,0.985814658186541,0.996056070949084,0.378145357006003,0.546616076291763,0.981870729135625
multiclass_rf,39,21943,100287,4.57034133892358,18092,12270182,82195,3851,0.993046405782298,0.90892282781866,0.82449984049583,0.993345815141491,0.180402245555256,0.296032070686411,0.817845655637321
multiclass_rf,40,339295,316993,0.934269588411265,136321,11854353,180672,202974,0.968996599409099,0.693382515664013,0.40177721451834,0.984987816809687,0.430044196559545,0.415430420790872,0.386765031328026
multiclass_rf,41,91211,237698,2.60602339630089,67579,12112990,170119,23632,0.984342493163261,0.863529305371042,0.740908443060596,0.986150167681488,0.2843061363579,0.410928250671158,0.727058610742084
multiclass_rf,42,154936,327082,2.11107812257965,133130,12025432,193952,21806,0.982564052004474,0.921692765166667,0.859258016213146,0.984127514120188,0.407023315254279,0.552386010480936,0.843385530333334
multiclass_rf,43,5692,39645,6.96503865073788,5642,12334625,34003,50,0.997248091208244,0.994233304333139,0.991215741391427,0.997250867274851,0.142313028124606,0.248891633764916,0.988466608666277
multiclass_rf,44,565501,281496,0.497781613118279,168295,11695618,113201,397206,0.958752723381972,0.644008611716719,0.297603364096615,0.990413859336823,0.597859294625856,0.397392198555603,0.288017223433438
multiclass_rf,45,16377,137035,8.3675276302131,15372,12236280,121663,1005,0.990086889623026,0.964394263064531,0.938633449349698,0.990155076779364,0.112175721530996,0.200401533126483,0.928788526129061
multiclass_rf,46,136275,162304,1.19100348559897,65110,12140851,97194,71165,0.986394484707039,0.734920969041259,0.477783892863695,0.992058045218824,0.401160784700315,0.436132480850964,0.469841938082519
multiclass_rf,47,353790,384402,1.086525905198,220677,11856805,163725,133113,0.97601177276812,0.805065465125988,0.623751377936064,0.986379552315913,0.574078698862129,0.597885103062618,0.610130930251977
