method,original_zone,assigned_zone,pixels,original_pixels,percent_of_original
multiclass_rf,23,24,28351,326740,8.67692966884985
multiclass_rf,23,35,16910,326740,5.17536879476036
multiclass_rf,23,29,16226,326740,4.96602803452286
multiclass_rf,23,19,15378,326740,4.70649446042725
multiclass_rf,23,15,14833,326740,4.53969517047194
multiclass_rf,23,32,12554,326740,3.84219869008998
multiclass_rf,23,14,8109,326740,2.48178980228928
multiclass_rf,23,38,7759,326740,2.37467099222624
multiclass_rf,23,25,2561,326740,0.783803635918467
multiclass_rf,23,33,1297,326740,0.396951704719349
multiclass_rf,23,18,1155,326740,0.353492073208055
multiclass_rf,23,31,816,326740,0.249739854318418
multiclass_rf,23,7,671,326740,0.205362061578013
multiclass_rf,23,42,400,326740,0.122421497214911
multiclass_rf,23,28,386,326740,0.118136744812389
multiclass_rf,23,13,361,326740,0.110485401236457
multiclass_rf,23,20,356,326740,0.108955132521271
multiclass_rf,23,4,320,326740,0.0979371977719287
multiclass_rf,23,27,244,326740,0.0746771133010957
multiclass_rf,23,6,180,326740,0.0550896737467099
multiclass_rf,23,22,137,326740,0.041929362796107
multiclass_rf,23,43,132,326740,0.0403990940809206
multiclass_rf,23,45,130,326740,0.0397869865948461
multiclass_rf,23,16,79,326740,0.0241782456999449
multiclass_rf,23,39,71,326740,0.0217298157556467
multiclass_rf,23,12,70,326740,0.0214237620126094
multiclass_rf,23,26,45,326740,0.0137724184366775
multiclass_rf,23,41,32,326740,0.00979371977719287
multiclass_rf,23,44,29,326740,0.00887555854808104
multiclass_rf,23,11,25,326740,0.00765134357593193
multiclass_rf,23,49,25,326740,0.00765134357593193
multiclass_rf,23,52,14,326740,0.00428475240252188
multiclass_rf,23,40,11,326740,0.00336659117341005
multiclass_rf,23,5,10,326740,0.00306053743037277
multiclass_rf,23,17,7,326740,0.00214237620126094
multiclass_rf,23,2,3,326740,0.000918161229111832
multiclass_rf,23,37,3,326740,0.000918161229111832
multiclass_rf,23,53,1,326740,0.000306053743037277
multiclass_rf,24,23,77923,845076,9.22082747587199
multiclass_rf,24,29,70461,845076,8.3378299703222
multiclass_rf,24,25,61241,845076,7.24680383776134
multiclass_rf,24,35,59432,845076,7.03274025058101
multiclass_rf,24,32,56389,845076,6.67265429381499
multiclass_rf,24,42,13041,845076,1.54317481504622
multiclass_rf,24,38,11926,845076,1.41123401918881
multiclass_rf,24,19,10235,845076,1.21113367318442
multiclass_rf,24,15,7777,845076,0.92027225953642
multiclass_rf,24,33,6816,845076,0.806554676739134
multiclass_rf,24,13,4082,845076,0.483033478645708
multiclass_rf,24,14,3803,845076,0.45001869654327
multiclass_rf,24,12,2278,845076,0.269561554227075
multiclass_rf,24,6,2229,845076,0.26376325916249
multiclass_rf,24,43,2099,845076,0.248380027358486
multiclass_rf,24,18,1982,845076,0.234535118734883
multiclass_rf,24,7,1839,845076,0.217613563750479
multiclass_rf,24,27,1821,845076,0.215483577808386
multiclass_rf,24,31,1476,845076,0.174658847251608
multiclass_rf,24,20,1390,845076,0.164482247750498
multiclass_rf,24,5,1385,845076,0.163890584988806
multiclass_rf,24,22,1067,845076,0.126260833345167
multiclass_rf,24,45,997,845076,0.117977554681472
multiclass_rf,24,1,840,845076,0.0993993439643298
multiclass_rf,24,16,306,845076,0.0362097610155773
multiclass_rf,24,11,244,845076,0.028873142770591
multiclass_rf,24,4,187,845076,0.0221281872872972
multiclass_rf,24,28,153,845076,0.0181048805077886
multiclass_rf,24,3,120,845076,0.0141999062806185
multiclass_rf,24,2,105,845076,0.0124249179955412
multiclass_rf,24,39,82,845076,0.00970326929175601
multiclass_rf,24,26,25,845076,0.0029583138084622
multiclass_rf,24,47,7,845076,0.000828327866369415
multiclass_rf,25,32,8793,237201,3.70698268557047
multiclass_rf,25,24,7556,237201,3.18548404096104
multiclass_rf,25,42,6676,237201,2.81449066403599
multiclass_rf,25,13,6408,237201,2.70150631742699
multiclass_rf,25,35,6319,237201,2.66398539635162
multiclass_rf,25,31,3621,237201,1.52655342937003
multiclass_rf,25,33,1864,237201,0.785831425668526
multiclass_rf,25,20,1739,237201,0.733133502809853
multiclass_rf,25,22,1525,237201,0.642914658875806
multiclass_rf,25,16,1476,237201,0.622257073115206
multiclass_rf,25,18,1472,237201,0.620570739583729
multiclass_rf,25,29,1397,237201,0.588951985868525
multiclass_rf,25,1,1390,237201,0.586000902188439
multiclass_rf,25,43,1083,237201,0.456574803647539
multiclass_rf,25,15,1046,237201,0.440976218481372
multiclass_rf,25,11,986,237201,0.41568121550921
multiclass_rf,25,12,954,237201,0.402190547257389
multiclass_rf,25,23,807,237201,0.34021778997559
multiclass_rf,25,7,537,237201,0.226390276600858
multiclass_rf,25,5,384,237201,0.161888019021842
multiclass_rf,25,45,373,237201,0.157250601810279
multiclass_rf,25,4,363,237201,0.153034767981585
multiclass_rf,25,2,346,237201,0.145867850472806
multiclass_rf,25,6,296,237201,0.124788681329337
multiclass_rf,25,14,80,237201,0.0337266706295505
multiclass_rf,25,37,56,237201,0.0236086694406853
multiclass_rf,25,27,47,237201,0.0198144189948609
multiclass_rf,25,28,36,237201,0.0151770017832977
multiclass_rf,25,38,31,237201,0.0130690848689508
multiclass_rf,25,19,4,237201,0.00168633353147752
multiclass_rf,25,46,3,237201,0.00126475014860814
multiclass_rf,26,36,2193,40883,5.36408776263973
multiclass_rf,26,30,1640,40883,4.01144730083409
multiclass_rf,26,34,1007,40883,2.4631264828902
multiclass_rf,26,49,982,40883,2.401976371597
multiclass_rf,26,21,572,40883,1.39911454638847
multiclass_rf,26,40,505,40883,1.23523224812269
multiclass_rf,26,53,418,40883,1.02242986082235
multiclass_rf,26,44,230,40883,0.562581023897463
multiclass_rf,26,28,202,40883,0.494092899249077
multiclass_rf,26,52,192,40883,0.469632854731796
multiclass_rf,26,39,191,40883,0.467186850280068
multiclass_rf,26,47,189,40883,0.462294841376611
multiclass_rf,26,10,153,40883,0.3742386811144
multiclass_rf,26,41,112,40883,0.273952498593547
multiclass_rf,26,50,50,40883,0.122300222586405
multiclass_rf,26,5,35,40883,0.0856101558104836
multiclass_rf,26,3,34,40883,0.0831641513587555
multiclass_rf,26,48,28,40883,0.0684881246483869
multiclass_rf,26,46,21,40883,0.0513660934862902
multiclass_rf,26,7,20,40883,0.048920089034562
multiclass_rf,26,18,15,40883,0.0366900667759215
multiclass_rf,26,23,12,40883,0.0293520534207372
multiclass_rf,26,15,11,40883,0.0269060489690091
multiclass_rf,26,27,9,40883,0.0220140400655529
multiclass_rf,26,55,7,40883,0.0171220311620967
multiclass_rf,26,1,6,40883,0.0146760267103686
multiclass_rf,26,33,6,40883,0.0146760267103686
multiclass_rf,26,12,2,40883,0.00489200890345621
multiclass_rf,26,32,2,40883,0.00489200890345621
multiclass_rf,26,6,1,40883,0.0024460044517281
multiclass_rf,27,37,54140,857201,6.31590490445065
multiclass_rf,27,41,30228,857201,3.52636079519273
multiclass_rf,27,15,26768,857201,3.12272150872432
multiclass_rf,27,7,23550,857201,2.74731364055805
multiclass_rf,27,11,15484,857201,1.80634413632275
multiclass_rf,27,3,15015,857201,1.75163118101822
multiclass_rf,27,28,14677,857201,1.7122005223979
multiclass_rf,27,33,14250,857201,1.66238723473258
multiclass_rf,27,14,12661,857201,1.47701647571573
multiclass_rf,27,47,9607,857201,1.12074064309304
multiclass_rf,27,4,5421,857201,0.632407101718267
multiclass_rf,27,12,5059,857201,0.590176633018394
multiclass_rf,27,5,3944,857201,0.460102123072652
multiclass_rf,27,6,3629,857201,0.423354615778563
multiclass_rf,27,23,3424,857201,0.399439571349077
multiclass_rf,27,32,3230,857201,0.376807773206051
multiclass_rf,27,24,3137,857201,0.365958509147796
multiclass_rf,27,38,2566,857201,0.299346361005179
multiclass_rf,27,36,1735,857201,0.202402937000773
multiclass_rf,27,13,1702,857201,0.198553198141393
multiclass_rf,27,2,1476,857201,0.172188319892301
multiclass_rf,27,19,1396,857201,0.162855619627135
multiclass_rf,27,25,1034,857201,0.120625150927262
multiclass_rf,27,9,813,857201,0.0948435664447428
multiclass_rf,27,26,607,857201,0.0708118632619421
multiclass_rf,27,34,451,857201,0.0526130977448696
multiclass_rf,27,48,378,857201,0.0440970087529063
multiclass_rf,27,35,243,857201,0.0283480770554397
multiclass_rf,27,44,208,857201,0.0242650206894299
multiclass_rf,27,40,180,857201,0.020998575596622
multiclass_rf,27,39,94,857201,0.0109659228115693
multiclass_rf,27,29,32,857201,0.00373308010606614
multiclass_rf,27,21,29,857201,0.00338310384612244
multiclass_rf,27,30,12,857201,0.0013999050397748
multiclass_rf,27,49,4,857201,0.000466635013258267
multiclass_rf,28,36,2828,46042,6.14221797489249
multiclass_rf,28,39,1479,46042,3.21228443594979
multiclass_rf,28,47,1392,46042,3.02332652795274
multiclass_rf,28,44,1278,46042,2.7757265105773
multiclass_rf,28,26,1008,46042,2.18930541679336
multiclass_rf,28,10,787,46042,1.70930889188133
multiclass_rf,28,30,717,46042,1.5572737934929
multiclass_rf,28,50,611,46042,1.32704921593328
multiclass_rf,28,1,599,46042,1.30098605620955
multiclass_rf,28,34,461,46042,1.00125971938665
multiclass_rf,28,40,451,46042,0.979540419616871
multiclass_rf,28,46,432,46042,0.938273750054298
multiclass_rf,28,18,368,46042,0.799270231527736
multiclass_rf,28,55,360,46042,0.781894791711915
multiclass_rf,28,45,320,46042,0.695017592632814
multiclass_rf,28,27,294,46042,0.638547413231397
multiclass_rf,28,33,231,46042,0.501715824681812
multiclass_rf,28,49,231,46042,0.501715824681812
multiclass_rf,28,21,198,46042,0.430042135441553
multiclass_rf,28,41,122,46042,0.26497545719126
multiclass_rf,28,5,112,46042,0.243256157421485
multiclass_rf,28,3,110,46042,0.23891229746753
multiclass_rf,28,7,100,46042,0.217192997697754
multiclass_rf,28,15,42,46042,0.0912210590330568
multiclass_rf,28,20,27,46042,0.0586421093783936
multiclass_rf,28,13,24,46042,0.052126319447461
multiclass_rf,28,19,19,46042,0.0412666695625733
multiclass_rf,28,37,19,46042,0.0412666695625733
multiclass_rf,28,23,18,46042,0.0390947395855958
multiclass_rf,28,2,12,46042,0.0260631597237305
multiclass_rf,28,53,5,46042,0.0108596498848877
multiclass_rf,28,16,4,46042,0.00868771990791017
multiclass_rf,28,14,3,46042,0.00651578993093263
multiclass_rf,28,24,3,46042,0.00651578993093263
multiclass_rf,28,31,3,46042,0.00651578993093263
