ori,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55
1,11015,620,299,181,133,0,77,0,396,2,42,300,0,1,50,52,224,8,21,137,1,1,3,190,2,3,80,3,10,147,18,169,2,0,1,8,3,521,2,0,2,3,14,238,126,57,1,4,86,3,4,2,1
2,2296,187759,22086,6943,11988,9218,2398,13033,593,4984,2417,4099,239,6,3750,373,5005,8,429,13,95,5,107,1264,6,1720,450,18,152,364,70,143,287,12,64,61,6,50,18,169,18,4,119,12,40,8,12,8,102,31,844,11,136
3,6305,21566,261191,5365,18005,23401,41830,39781,2315,9115,19165,3139,1335,1828,20,14,1536,28,11,130,529,131,1715,307,400,21828,13557,4,410,19,247,11448,586,20,7853,10301,12,1155,27,22986,15,22,339,41,458,1815,8,2,9,16,10,14,9
4,1135,16812,4489,34246,3584,2561,995,219,7,6851,4442,7483,2580,1509,1007,284,30,13,207,205,257,206,7,346,8,1297,2,2,105,13,32,108,4,13,4,3,8,76,7,9,4,4,10,8,4,7,147,5,34,5,3,7,1
5,2577,18568,18176,4268,58665,5710,5650,658,4238,13619,14711,6973,3372,1874,3014,508,571,4,1031,908,534,111,1127,1254,1392,2696,495,74,166,90,182,1631,282,214,2555,162,15,2889,550,1848,159,11,1170,190,2473,2320,10,709,35,7,4,5,8
6,248,13455,3769,2873,2064,45964,196,574,109,3468,6941,196,59,1604,13,16,102,37,7,1962,142,335,1136,847,15,2816,48,64,35,103,3,144,12,13,27,181,15,11,14,14,113,72,15,28,14,224,16,100,14,21,14,12,19
7,1003,3474,23239,2301,2297,1223,79676,4102,963,6659,6612,8460,4779,3236,202,3,1044,613,12,514,17,1954,2819,5128,712,5720,3156,217,159,212,1109,12201,373,429,6927,958,10,1568,772,22713,683,13,906,79,265,738,2,621,66,6,1,1,19
9,12,470,4439,8,89,3,100,24600,8,285,365,1,48,2,1,0,2,2,0,0,0,0,1,0,2,27,2,0,0,3,1,0,0,3,3,1,2,0,0,2,1,1,2,2,0,0,4,0,1,2,2,3,0
10,1863,9,781,13,481,10,78,223,70881,11,31,44,31,19,2171,8,6802,5,1869,43,10,21,17,8,141,10,829,18,582,11,3,94,4169,7,2054,29,16,15178,408,52,8,297,104,785,27073,913,16,7794,150,34,30,14,16
11,36,2454,2677,4372,6765,2251,4088,14,43,83943,7262,13890,5144,904,590,24,55,5,360,5,36,11,412,1642,3,4878,28,3,0,89,36,4320,37,2,12,4,8,5,5,430,83,5,3,6,84,4,2,8,4,5,3,4,3
12,243,711,30240,7645,10109,6865,11098,5234,13,14725,214607,25460,8910,6271,6,7,15,265,3,10,788,658,4465,2638,61,12179,8,83,4,3,41,7510,26,8,6,9,6,4,5,3156,8,3,4,25,18,4,6,8,7,7,8,8,12
13,4426,1349,874,8971,9517,201,13767,13,22,32009,32775,351747,21607,16012,8807,14,6189,277,1431,6,1021,17,8631,47310,13,2088,138,44,8,5082,4139,36644,9,1458,7,115,8,8,7,958,1097,10,8,8,6,6,9,7,53,16,13,7,12
14,1,14,27,273,66,0,334,0,0,1015,789,1495,25171,782,0,0,0,512,0,0,0,614,616,26,0,717,0,16,0,0,11,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,135,78,914,1750,1510,1319,1155,201,124,6024,10148,20194,9340,112022,93,82,150,12108,155,75,90,16717,6692,6653,89,10053,110,4084,118,258,4408,3807,88,405,107,288,1974,88,89,150,534,173,87,95,97,79,92,117,85,100,101,77,109
16,4379,4632,48,648,4868,99,217,7,10841,105,7,5062,12,490,500009,5568,77050,392,95719,10,26262,254,373,3991,18,5,610,35,24,63465,597,315,447,8,666,23,11,2754,74,5,7969,16343,52,27928,48401,39,94,83,134,9,9,7,10
17,1,60,0,10,9,0,0,3,1,2,0,2,2,0,3,1498,1,0,1,3,0,3,3,4,1,1,1,2,2,0,1,0,1,1,1,1,4,0,1,3,1,1,5,1,1,0,2,0,0,1,0,1,2
18,2903,835,101,30,1046,0,120,0,5663,142,1,2497,0,8,23200,119,42742,1,1590,0,670,0,173,2226,5,0,547,0,21,3805,163,201,489,1,596,1,0,5432,6,0,1916,1110,248,3287,10989,3,0,5,72,0,0,0,0
19,53,23,52,24,15,51,112,14,447,34,54,443,6612,14383,3257,22,103,506017,38419,24,4080,48801,24864,1042,7,736,74,4312,16,5412,3096,118,34,20,17,34,19964,19,18,18,5749,538,15,1241,780,14,45,11,26,28,20,20,28
20,205,112,32,51,226,40,28,20,2528,40,31,448,52,42,51344,1171,1782,86,220810,24,11633,39,472,953,19,18,149,35,16,26536,119,52,209,30,32,25,40,186,12,26,42338,93,25,7228,10240,24,132,19,61,37,35,24,36
21,125,28,201,213,336,24,55,294,170,28,21,29,21,16,22,19,22,24,19,356891,26,32,30,35,11978,19,2142,20,72031,31,28,17,391,25,15038,257,25,499,42941,230,25,20,29427,34,38,14364,4574,17303,564,2354,22617,324,3213
22,1,106,455,46,500,11,0,0,1,0,533,196,0,0,4188,47,95,323,3281,0,25621,93,192,436,0,244,0,1,0,2694,28,2,0,1,2,1,0,1,0,1,2785,6,1,53,2,1,2,0,0,1,18,1,10
23,0,2,2,59,24,16,680,1,1,3,52,910,10170,18473,202,10,417,24730,295,7,112,170222,50993,3123,1,449,194,14237,1,981,7148,1632,3,14014,5,1,6303,3,33,23,1165,35,4,15,1,1,2,31,5,12,0,1,2
24,152,15,32,41,413,104,511,5,14,269,1305,9645,944,8885,986,12,610,11943,719,4,547,90882,491084,66168,6,1186,12,52974,6,2139,29839,10303,6,41087,8,6,6281,3,4,6,15363,739,9,66,6,7,9,5,12,6,7,3,9
25,824,77,4,327,1134,1,480,3,4,1659,816,19114,87,1879,3428,2,647,29,2182,3,484,1011,19531,151196,2,265,1,1718,3,9495,4983,4325,4,3890,5,2,16,9,3,5,7091,416,6,169,9,1,1,3,4,3,1,5,0
26,1,0,79,2,191,0,48,0,637,0,11,0,0,6,2,3,7,0,0,1863,0,59,27,0,20000,9,267,0,7796,0,0,9,918,0,3011,1,0,383,1002,22,0,1,460,0,105,254,0,2825,3,287,569,0,38
27,33,440,32614,5142,4877,2813,29050,388,293,21879,5297,2243,8360,26151,36,22,85,2165,34,132,19,4792,5362,684,287,604141,5335,23,23,32,2305,20609,43,38,3076,38879,1817,181,50,17647,31,22,260,59,55,11072,47,30,26,29,32,24,31
28,629,0,640,1,306,0,558,0,1262,0,0,24,0,53,43,0,748,12,29,438,0,129,63,1,977,1609,19518,0,2365,4,0,454,261,0,3215,3,0,1338,1038,510,0,0,3510,244,767,3364,0,369,645,0,0,0,915
29,0,1,2,2,2,0,80,0,3,2,1,59,1,3669,2,3,0,1067,24,1,14,8416,19162,972,1,3,29,124767,4,1,1451,1501,1,1781,1,1,1278,2,14,1,0,1,2,0,2,1,0,6,4,1,1,1,0
30,158,7,5710,5,2431,5,1659,12,3845,11,9,8,8,3,7,8,48,6,7,55053,5,10,5,7,37598,510,10438,14,240850,7,2,614,1063,7,20996,285,12,10443,53501,965,6,4,42569,188,1582,47533,693,30877,2001,217,2201,711,1643
31,4485,107,2,13,56,220,598,2,11,81,14,10654,114,286,60252,1,8709,1431,55613,6,25782,534,3960,29119,3,11,3,21,0,539426,987,1845,1,251,48,23,1,17,1,3,88204,518,0,7476,61,1,76,3,345,0,0,2,1
