ori,pred,n,method,ori_category,pred_category
4,21,68,multiclass_rf,wetland,cropland
4,22,345,multiclass_rf,wetland,alpine_vegetation
4,23,111,multiclass_rf,wetland,desert
4,24,8,multiclass_rf,wetland,desert
4,25,254,multiclass_rf,wetland,desert
4,27,506,multiclass_rf,wetland,cropland
4,30,99,multiclass_rf,wetland,forest
4,32,22,multiclass_rf,wetland,desert
4,33,55,multiclass_rf,wetland,cropland
4,34,31,multiclass_rf,wetland,forest
4,35,5,multiclass_rf,wetland,desert
4,39,15,multiclass_rf,wetland,forest
4,45,2,multiclass_rf,wetland,scrub
4,48,233,multiclass_rf,wetland,wetland
4,50,87,multiclass_rf,wetland,scrub
5,1,5119,multiclass_rf,grassland_meadow_steppe,cropland
5,2,11735,multiclass_rf,grassland_meadow_steppe,forest
5,3,7260,multiclass_rf,grassland_meadow_steppe,forest
5,4,6208,multiclass_rf,grassland_meadow_steppe,wetland
5,5,87695,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,6,7565,multiclass_rf,grassland_meadow_steppe,wetland
5,7,3528,multiclass_rf,grassland_meadow_steppe,scrub
5,9,1724,multiclass_rf,grassland_meadow_steppe,forest
5,10,3625,multiclass_rf,grassland_meadow_steppe,forest
5,11,9473,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,12,9248,multiclass_rf,grassland_meadow_steppe,cropland
5,13,3524,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,14,2977,multiclass_rf,grassland_meadow_steppe,forest
5,15,1971,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,16,644,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,17,715,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
5,18,593,multiclass_rf,grassland_meadow_steppe,scrub
5,20,847,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
5,21,746,multiclass_rf,grassland_meadow_steppe,cropland
5,22,1565,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
5,23,83,multiclass_rf,grassland_meadow_steppe,desert
5,24,553,multiclass_rf,grassland_meadow_steppe,desert
5,25,1337,multiclass_rf,grassland_meadow_steppe,desert
5,26,1983,multiclass_rf,grassland_meadow_steppe,forest
5,27,2158,multiclass_rf,grassland_meadow_steppe,cropland
5,28,743,multiclass_rf,grassland_meadow_steppe,forest
5,29,179,multiclass_rf,grassland_meadow_steppe,desert
5,30,168,multiclass_rf,grassland_meadow_steppe,forest
5,32,101,multiclass_rf,grassland_meadow_steppe,desert
5,33,2390,multiclass_rf,grassland_meadow_steppe,cropland
5,34,286,multiclass_rf,grassland_meadow_steppe,forest
5,35,258,multiclass_rf,grassland_meadow_steppe,desert
5,36,1628,multiclass_rf,grassland_meadow_steppe,forest
5,37,276,multiclass_rf,grassland_meadow_steppe,forest
5,39,2154,multiclass_rf,grassland_meadow_steppe,forest
5,40,1013,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,41,2989,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,42,224,multiclass_rf,grassland_meadow_steppe,desert
5,43,9,multiclass_rf,grassland_meadow_steppe,wetland
5,44,533,multiclass_rf,grassland_meadow_steppe,scrub
5,45,1220,multiclass_rf,grassland_meadow_steppe,scrub
5,46,1671,multiclass_rf,grassland_meadow_steppe,scrub
5,47,986,multiclass_rf,grassland_meadow_steppe,cropland
5,49,345,multiclass_rf,grassland_meadow_steppe,forest
5,50,62,multiclass_rf,grassland_meadow_steppe,scrub
6,1,469,multiclass_rf,wetland,cropland
6,2,6560,multiclass_rf,wetland,forest
6,3,681,multiclass_rf,wetland,forest
6,4,2558,multiclass_rf,wetland,wetland
6,5,966,multiclass_rf,wetland,grassland_meadow_steppe
6,6,68612,multiclass_rf,wetland,wetland
6,7,288,multiclass_rf,wetland,scrub
6,9,804,multiclass_rf,wetland,forest
6,11,1919,multiclass_rf,wetland,grassland_meadow_steppe
6,12,2055,multiclass_rf,wetland,cropland
6,13,142,multiclass_rf,wetland,grassland_meadow_steppe
6,14,50,multiclass_rf,wetland,forest
6,15,1023,multiclass_rf,wetland,grassland_meadow_steppe
6,16,8,multiclass_rf,wetland,grassland_meadow_steppe
6,18,66,multiclass_rf,wetland,scrub
6,19,4,multiclass_rf,wetland,no_vegetation
6,21,63,multiclass_rf,wetland,cropland
6,22,42,multiclass_rf,wetland,alpine_vegetation
6,23,248,multiclass_rf,wetland,desert
6,24,396,multiclass_rf,wetland,desert
6,25,77,multiclass_rf,wetland,desert
6,27,1610,multiclass_rf,wetland,cropland
6,29,21,multiclass_rf,wetland,desert
6,30,14,multiclass_rf,wetland,forest
6,31,94,multiclass_rf,wetland,grassland_meadow_steppe
6,32,7,multiclass_rf,wetland,desert
6,33,40,multiclass_rf,wetland,cropland
6,35,12,multiclass_rf,wetland,desert
6,37,382,multiclass_rf,wetland,forest
6,42,76,multiclass_rf,wetland,desert
6,43,85,multiclass_rf,wetland,wetland
6,45,6,multiclass_rf,wetland,scrub
6,47,181,multiclass_rf,wetland,cropland
6,49,106,multiclass_rf,wetland,forest
7,1,1501,multiclass_rf,scrub,cropland
7,2,2528,multiclass_rf,scrub,forest
7,3,12978,multiclass_rf,scrub,forest
7,4,2768,multiclass_rf,scrub,wetland
7,5,2133,multiclass_rf,scrub,grassland_meadow_steppe
7,6,2245,multiclass_rf,scrub,wetland
7,7,92009,multiclass_rf,scrub,scrub
7,9,4823,multiclass_rf,scrub,forest
7,10,476,multiclass_rf,scrub,forest
7,11,6340,multiclass_rf,scrub,grassland_meadow_steppe
7,12,7423,multiclass_rf,scrub,cropland
7,13,3793,multiclass_rf,scrub,grassland_meadow_steppe
7,14,7324,multiclass_rf,scrub,forest
7,15,2364,multiclass_rf,scrub,grassland_meadow_steppe
7,16,107,multiclass_rf,scrub,grassland_meadow_steppe
7,18,1163,multiclass_rf,scrub,scrub
7,19,605,multiclass_rf,scrub,no_vegetation
7,20,99,multiclass_rf,scrub,alpine_vegetation
7,21,669,multiclass_rf,scrub,cropland
7,22,244,multiclass_rf,scrub,alpine_vegetation
7,23,920,multiclass_rf,scrub,desert
7,24,1449,multiclass_rf,scrub,desert
