method,method_label,rank_cutoff,compared_pixels,pixel_share,compared_area_km2,area_share
mf_var,Plain MF RF,1,12393826,0.602434228139075,8501096.16541904,0.598568798062484
mf_var,Plain MF RF,2,12393826,0.787213730449338,8501096.16541904,0.783558255850305
mf_var,Plain MF RF,3,12393826,0.864593709803575,8501096.16541904,0.862022662781831
mf_var,Plain MF RF,5,12393826,0.913274883801015,8501096.16541904,0.91253971877289
