method,method_label,scenario,period,ssp,zoneID,suitable_area_km2,dual_threshold,calculation_source
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,1,211315.756694432,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,2,342415.178873073,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,3,874247.311225787,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,4,174610.626709981,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,5,562838.395912206,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,6,70665.1113330979,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,7,802072.949461724,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,9,17633.0961425386,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,10,449617.149124805,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,11,228578.339572818,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,12,651671.405816387,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,13,657606.57151137,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,14,101823.611924115,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,15,805868.972360987,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,16,1370275.25931518,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,17,1898.47043469868,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,18,1091908.34790789,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,19,729219.325123818,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,20,555255.252450201,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,21,1741467.9347741,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,22,139537.535679294,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,23,880635.385035575,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,24,991931.393079992,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,25,695049.138260632,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,26,237667.472562483,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,27,1132354.16265342,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,28,419665.817475661,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,29,174696.688228487,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,30,1150606.48940694,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,31,1042748.67586787,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,32,354031.542538507,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,33,685633.793601072,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,34,145639.127418425,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,35,44188.5742551493,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,36,244672.497326069,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,37,282877.675318908,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,38,11807.6735265923,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,39,329473.136135272,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,40,1710851.23970672,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,41,375898.989815528,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,42,214937.522667039,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,43,20452.0225367674,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,44,1547270.98930603,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,45,449741.91196151,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,46,815812.997413951,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,47,702690.121927201,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,48,60866.4684227394,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,49,772063.643370093,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,50,118287.347304348,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,52,125630.857672393,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,53,330331.585925537,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,54,32603.6173748357,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,55,85137.9858719688,0.4,existing_dual_rasters_no_reranking
