method,method_label,scenario,period,ssp,k,rank_label,change_code,change_class,area_km2,total_area_km2,area_share,pixel_count,total_pixels,pixel_share,comparison,topk_rule,novel_definition,change_label
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,1,Top-1,1,Reference ecotype retained,2976067.54820335,8501128.01138932,0.350079135876579,4297368,12393866,0.346733456695433,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,1,Top-1,2,Different current ecotype assigned,5038695.36885256,8501128.01138932,0.592709033683766,7368255,12393866,0.594508202686716,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,1,Top-1,3,Novel ecosystem,486365.094333413,8501128.01138932,0.0572118304396557,728243,12393866,0.0587583406178508,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,3,Top-3,1,Reference ecotype retained,5384894.82826264,8501128.01140876,0.633432977486748,7841200,12393866,0.632667805186856,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,3,Top-3,2,Different current ecotype assigned,2629868.0888127,8501128.01140876,0.309355192073728,3824423,12393866,0.308573854195293,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,3,Top-3,3,Novel ecosystem,486365.094333413,8501128.01140876,0.0572118304395249,728243,12393866,0.0587583406178508,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,5,Top-5,1,Reference ecotype retained,6884266.82264533,8501128.01141306,0.809806276696806,10006404,12393866,0.807367450963243,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,5,Top-5,2,Different current ecotype assigned,1130496.09443431,8501128.01141306,0.132981892863698,1659219,12393866,0.133874208418907,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,5,Top-5,3,Novel ecosystem,486365.094333413,8501128.01141306,0.0572118304394959,728243,12393866,0.0587583406178508,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,1,Top-1,1,Reference ecotype retained,4348596.22072683,8501128.01140296,0.511531671431586,6278154,12393866,0.506553322425787,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,1,Top-1,2,Different current ecotype assigned,3978533.03082976,8501128.01140296,0.46800060244866,5854533,12393866,0.472373430534105,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,1,Top-1,3,Novel ecosystem,173998.759846369,8501128.01140296,0.0204677261197545,261179,12393866,0.0210732470401084,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,3,Top-3,1,Reference ecotype retained,6646890.58684226,8501128.011414,0.781883366291843,9677530,12393866,0.780832227813339,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,3,Top-3,2,Different current ecotype assigned,1680238.66472537,8501128.011414,0.197648907588429,2455157,12393866,0.198094525146552,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
