method,individual_map_coverage,common_comparison_coverage,exact_zone_accuracy,broad_category_accuracy,macro_balanced_accuracy,macro_sensitivity,macro_specificity,macro_precision,macro_f1,macro_tss,method_label,macro_balanced_accuracy_se,macro_sensitivity_se,macro_specificity_se,macro_precision_se,macro_f1_se,macro_tss_se
rf_var,0.981506880504176,0.979962137725706,0.60342645090801,0.70018328279857,0.826099961328857,0.659893853067994,0.99230606958972,0.455220290145591,0.500408278117935,0.652199922657714,Plain RF,0.0112530436176147,0.0220416304545024,0.000644048776075997,0.0284936580922921,0.0217648871012007,0.0225060872352294
mf_var,0.981506880504176,0.979962137725706,0.603195488721805,0.700123966407851,0.826229468809587,0.660157300382436,0.992301637236737,0.454935599478671,0.500076525375698,0.652458937619174,Plain MF RF,0.0112267115397156,0.0219900311455699,0.000643577093397508,0.0285121215708248,0.0217668451627929,0.0224534230794312
multiclass_rf,0.979962137725706,0.979962137725706,0.579889480795712,0.688625799235837,0.857475445411857,0.723043520262823,0.991907370560892,0.445372046786559,0.482343146951163,0.714950890823715,Multiclass RF,0.0141762507073317,0.0280985751760436,0.000563623772487686,0.0326341561871361,0.0228677262262539,0.0283525014146635
