method,method_label,rank_cutoff,rank_label,common_valid_pixels,mean_f1,se_f1,median_f1,min_f1,max_f1
rf_var,Plain RF,1,Top-1,12374320,0.500408278117935,0.0217648871012007,0.505555919973762,0.206792557587841,0.836113513088594
rf_var,Plain RF,3,Top-3,12374320,0.786120966984858,0.0201162372798255,0.839951127652797,0.336874051593323,0.938609102418299
rf_var,Plain RF,5,Top-5,12374320,0.846957491167272,0.0182154073423249,0.907905132381772,0.440422538083488,0.963867101436503
mf_var,Plain MF RF,1,Top-1,12374320,0.500076525375698,0.0217668451627929,0.505477601490933,0.206728734659331,0.836665770892364
mf_var,Plain MF RF,3,Top-3,12374320,0.786158475722657,0.0200957148896158,0.843174501822439,0.340161290322581,0.939027604936152
mf_var,Plain MF RF,5,Top-5,12374320,0.846778970529172,0.0182004644432378,0.907507389302312,0.443550450920779,0.962816107146004
