category_index,retention_label,area_km2,pixel_count,area_share,pixel_share,method,method_label,scenario,period,ssp,baseline
5,Novel,167348.253474198,249247,0.0196854174234012,0.0201105127326695,mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map
1,Stable Top-1,3433017.10857405,4952848,0.403830774453103,0.399620909246558,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map
2,Changed; former in Top-3,2990314.76113978,4365382,0.351755056167257,0.352221171343954,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map
3,Changed; former rank 4-5,1148886.63009036,1692350,0.135145198207566,0.136547385618015,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map
4,Changed; former below Top-5,610811.092082783,911142,0.0718505933874565,0.0735155600359081,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map
5,Novel,318098.419526464,472144,0.0374183777846177,0.0380949737555659,mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map
1,Stable Top-1,2923725.91732333,4221299,0.343922114029753,0.340595823772824,mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map
2,Changed; former in Top-3,2870988.9087313,4187170,0.337718583331095,0.33784212286949,mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map
3,Changed; former rank 4-5,1383255.541038,2018305,0.16271435263422,0.162847089035818,mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map
4,Changed; former below Top-5,845664.282072531,1253773,0.0994767142592164,0.101160767753984,mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map
5,Novel,477493.36224965,713319,0.0561682357457152,0.0575541965678829,mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map
1,Stable Top-1,4329140.03548509,6247237,0.509243012183305,0.504058781981345,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map
2,Changed; former in Top-3,2888595.35106021,4238335,0.339789654641598,0.341970374699872,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map
3,Changed; former rank 4-5,799344.560754486,1181129,0.0940280583567085,0.0952994812111088,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map
4,Changed; former below Top-5,310160.723484093,467565,0.0364846551031685,0.0377255168000041,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map
5,Novel,173887.340623754,259600,0.0204546197152207,0.0209458453076708,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map
1,Stable Top-1,2989195.36262582,4314359,0.351623379698818,0.348104376794133,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map
2,Changed; former in Top-3,2884386.00425241,4205424,0.339294503080011,0.339314948217126,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map
3,Changed; former rank 4-5,1360631.25807046,1988051,0.16005302546245,0.160406042795686,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map
4,Changed; former below Top-5,801036.047874937,1189139,0.0942270304363601,0.0959457686568501,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map
5,Novel,465879.338590774,696893,0.0548020613223612,0.0562288635362041,mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map
1,Stable Top-1,2029738.98386784,2924351,0.2387611363038,0.235951477932713,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map
2,Changed; former in Top-3,2602438.84646279,3775371,0.306128650570897,0.304616089927066,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map
3,Changed; former rank 4-5,1600229.59422816,2297693,0.188237324750404,0.185389530595215,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map
4,Changed; former below Top-5,1304290.10475756,1909265,0.15342553400058,0.154049188526002,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map
5,Novel,964430.482091655,1487186,0.113447354374319,0.119993713019005,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map
