method,scenario,Species,PopulationID,source_zone,new_area_km2,old_area_km2,relative_error
mf_var,2011-2040SSP245,pinuYun,pinuYun-Zone50,50,14557.0630189423,14557.0630189423,3.24885070777337e-15
mf_var,2011-2040SSP245,pinuYun,pinuYun-Zone7,7,154347.65893979,154347.658939832,2.71338174578765e-13
mf_var,2011-2040SSP245,querVar,querVar-Zone10,10,134140.912724759,134140.912724733,1.92447606705176e-13
mf_var,2011-2040SSP245,querVar,querVar-Zone21,21,670730.13356508,670730.133564342,1.10074966678919e-12
mf_var,2011-2040SSP245,querVar,querVar-Zone26,26,27758.6292678647,27758.6292678652,1.97896947493292e-14
mf_var,2011-2040SSP245,querVar,querVar-Zone27,27,628351.853190772,628351.853190629,2.27883223579335e-13
mf_var,2011-2040SSP245,querVar,querVar-Zone28,28,61804.6799389898,61804.6799389934,5.76852632271385e-14
mf_var,2011-2040SSP245,querVar,querVar-Zone3,3,283631.433829458,283631.433829478,7.2443678139029e-14
mf_var,2011-2040SSP245,querVar,querVar-Zone30,30,248736.155729959,248736.155729964,2.21142919097549e-14
mf_var,2011-2040SSP245,querVar,querVar-Zone33,33,327858.999313396,327858.999313377,5.77000778886506e-14
mf_var,2011-2040SSP245,querVar,querVar-Zone36,36,52776.4011160465,52776.4011160482,3.21222760221374e-14
mf_var,2011-2040SSP245,querVar,querVar-Zone37,37,77528.0966750771,77528.0966750646,1.61233097641459e-13
mf_var,2011-2040SSP245,querVar,querVar-Zone40,40,238752.230355486,238752.230355649,6.82028943406569e-13
mf_var,2011-2040SSP245,querVar,querVar-Zone41,41,79610.9316416284,79610.9316416197,1.08758802118474e-13
mf_var,2011-2040SSP245,querVar,querVar-Zone44,44,236554.401820592,236554.401820742,6.35215728354882e-13
mf_var,2011-2040SSP245,querVar,querVar-Zone47,47,301621.238346814,301621.238346783,1.03245708954027e-13
mf_var,2011-2040SSP245,querVar,querVar-Zone49,49,125212.920032862,125212.920032873,8.97198033026452e-14
mf_var,2011-2040SSP245,querVar,querVar-Zone5,5,119921.266773665,119921.26677366,3.87092388426023e-14
mf_var,2011-2040SSP245,querVar,querVar-Zone7,7,154347.65893979,154347.658939832,2.71338174578765e-13
mf_var,2011-2040SSP245,robiPse,robiPse-Zone12,12,241499.730724712,241499.730724758,1.90289853132624e-13
mf_var,2011-2040SSP245,robiPse,robiPse-Zone27,27,628351.853190772,628351.853190629,2.27883223579335e-13
mf_var,2011-2040SSP245,robiPse,robiPse-Zone3,3,283631.433829458,283631.433829478,7.2443678139029e-14
