method,method_label,rank_cutoff,compared_pixels,matched_pixels,pixel_share,compared_area_km2,matched_area_km2,area_share,rank_label
mf_var,Plain MF RF,1,12393826,7466465,0.602434228139075,8501096.16541904,5088490.91394847,0.598568798062484,Top-1
mf_var,Plain MF RF,3,12393826,10715624,0.864593709803575,8501096.16541904,7328137.55307894,0.862022662781832,Top-3
mf_var,Plain MF RF,5,12393826,11318970,0.913274883801015,8501096.16541904,7757587.90405278,0.91253971877289,Top-5
rf_var,Plain RF,1,12393826,7469335,0.60266579504989,8501096.16541904,5090285.3991989,0.598779886752168,Top-1
rf_var,Plain RF,3,12393826,10713876,0.864452671838382,8501096.16541904,7326838.33321735,0.861869833095365,Top-3
rf_var,Plain RF,5,12393826,11317413,0.913149256734765,8501096.16541904,7756487.54320792,0.912410281248193,Top-5
