method,zone,metric,value,method_label,metric_label,zone_factor
rf_var,55,f1,0.385270523377037,Plain RF,F1,55
mf_var,1,precision,0.262750742106684,Plain MF RF,Precision,1
mf_var,2,precision,0.702058679875856,Plain MF RF,Precision,2
mf_var,3,precision,0.628710435685782,Plain MF RF,Precision,3
mf_var,4,precision,0.403895637313447,Plain MF RF,Precision,4
mf_var,5,precision,0.421020784454758,Plain MF RF,Precision,5
mf_var,6,precision,0.478534011718126,Plain MF RF,Precision,6
mf_var,7,precision,0.36041005441499,Plain MF RF,Precision,7
mf_var,9,precision,0.340152832248413,Plain MF RF,Precision,9
mf_var,10,precision,0.484167395723844,Plain MF RF,Precision,10
mf_var,11,precision,0.475677433456123,Plain MF RF,Precision,11
mf_var,12,precision,0.681664202647172,Plain MF RF,Precision,12
mf_var,13,precision,0.696867620439029,Plain MF RF,Precision,13
mf_var,14,precision,0.290721717880956,Plain MF RF,Precision,14
mf_var,15,precision,0.527812382590813,Plain MF RF,Precision,15
mf_var,16,precision,0.767270867163744,Plain MF RF,Precision,16
mf_var,17,precision,0.148406766325728,Plain MF RF,Precision,17
mf_var,18,precision,0.290277617154926,Plain MF RF,Precision,18
mf_var,19,precision,0.913639529657193,Plain MF RF,Precision,19
mf_var,20,precision,0.543601003764116,Plain MF RF,Precision,20
mf_var,21,precision,0.739450778045067,Plain MF RF,Precision,21
mf_var,22,precision,0.3058445639271,Plain MF RF,Precision,22
mf_var,23,precision,0.57662305867952,Plain MF RF,Precision,23
mf_var,24,precision,0.778447085148778,Plain MF RF,Precision,24
mf_var,25,precision,0.510376117658,Plain MF RF,Precision,25
mf_var,26,precision,0.222463827952254,Plain MF RF,Precision,26
mf_var,27,precision,0.874049061833305,Plain MF RF,Precision,27
mf_var,28,precision,0.21852145731958,Plain MF RF,Precision,28
mf_var,29,precision,0.642614282184334,Plain MF RF,Precision,29
mf_var,30,precision,0.539025589266604,Plain MF RF,Precision,30
mf_var,31,precision,0.806036234257423,Plain MF RF,Precision,31
mf_var,32,precision,0.362215386822825,Plain MF RF,Precision,32
mf_var,33,precision,0.656766347211392,Plain MF RF,Precision,33
mf_var,34,precision,0.171960287101904,Plain MF RF,Precision,34
mf_var,35,precision,0.382231997704887,Plain MF RF,Precision,35
mf_var,36,precision,0.121476703249662,Plain MF RF,Precision,36
mf_var,37,precision,0.716229512375417,Plain MF RF,Precision,37
mf_var,38,precision,0.512319440610912,Plain MF RF,Precision,38
mf_var,39,precision,0.19344558197253,Plain MF RF,Precision,39
mf_var,40,precision,0.395523657978093,Plain MF RF,Precision,40
mf_var,41,precision,0.325694057535773,Plain MF RF,Precision,41
mf_var,42,precision,0.464212457749879,Plain MF RF,Precision,42
mf_var,43,precision,0.204985578903997,Plain MF RF,Precision,43
mf_var,44,precision,0.544214024055107,Plain MF RF,Precision,44
mf_var,45,precision,0.186453735655244,Plain MF RF,Precision,45
mf_var,46,precision,0.376221711105432,Plain MF RF,Precision,46
mf_var,47,precision,0.570286509606898,Plain MF RF,Precision,47
mf_var,48,precision,0.140718848317285,Plain MF RF,Precision,48
mf_var,49,precision,0.354810233853231,Plain MF RF,Precision,49
mf_var,50,precision,0.11516043567854,Plain MF RF,Precision,50
mf_var,52,precision,0.423057021628894,Plain MF RF,Precision,52
mf_var,53,precision,0.513584882305613,Plain MF RF,Precision,53
mf_var,54,precision,0.437713866710119,Plain MF RF,Precision,54
mf_var,55,precision,0.246803652968037,Plain MF RF,Precision,55
rf_var,1,precision,0.262803780378038,Plain RF,Precision,1
rf_var,2,precision,0.702183760913056,Plain RF,Precision,2
rf_var,3,precision,0.630085003700573,Plain RF,Precision,3
rf_var,4,precision,0.407938632220024,Plain RF,Precision,4
rf_var,5,precision,0.421897776837725,Plain RF,Precision,5
rf_var,6,precision,0.481213020565797,Plain RF,Precision,6
rf_var,7,precision,0.357029972857847,Plain RF,Precision,7
rf_var,9,precision,0.340807296247683,Plain RF,Precision,9
rf_var,10,precision,0.483268253241992,Plain RF,Precision,10
rf_var,11,precision,0.478501437192271,Plain RF,Precision,11
rf_var,12,precision,0.68094862896638,Plain RF,Precision,12
rf_var,13,precision,0.702903242709144,Plain RF,Precision,13
rf_var,14,precision,0.289050838528405,Plain RF,Precision,14
rf_var,15,precision,0.523761442138257,Plain RF,Precision,15
rf_var,16,precision,0.767576261676167,Plain RF,Precision,16
rf_var,17,precision,0.148010194079592,Plain RF,Precision,17
rf_var,18,precision,0.287888931106648,Plain RF,Precision,18
rf_var,19,precision,0.913469034511417,Plain RF,Precision,19
rf_var,20,precision,0.54373593578898,Plain RF,Precision,20
rf_var,21,precision,0.738834005843885,Plain RF,Precision,21
rf_var,22,precision,0.307721059915748,Plain RF,Precision,22
rf_var,23,precision,0.576367248064991,Plain RF,Precision,23
rf_var,24,precision,0.777997731042108,Plain RF,Precision,24
rf_var,25,precision,0.5057768353676,Plain RF,Precision,25
rf_var,26,precision,0.223035994890692,Plain RF,Precision,26
rf_var,27,precision,0.87345039474517,Plain RF,Precision,27
rf_var,28,precision,0.218007144926137,Plain RF,Precision,28
rf_var,29,precision,0.642440137505927,Plain RF,Precision,29
rf_var,30,precision,0.539355367883833,Plain RF,Precision,30
rf_var,31,precision,0.80666439228468,Plain RF,Precision,31
rf_var,32,precision,0.360473189489425,Plain RF,Precision,32
rf_var,33,precision,0.656690993249563,Plain RF,Precision,33
rf_var,34,precision,0.170941649725334,Plain RF,Precision,34
rf_var,35,precision,0.383302513526471,Plain RF,Precision,35
rf_var,36,precision,0.120266541419597,Plain RF,Precision,36
rf_var,37,precision,0.71709083099391,Plain RF,Precision,37
rf_var,38,precision,0.509565567618036,Plain RF,Precision,38
rf_var,39,precision,0.193195023098943,Plain RF,Precision,39
rf_var,40,precision,0.395190202353168,Plain RF,Precision,40
rf_var,41,precision,0.323660547657019,Plain RF,Precision,41
rf_var,42,precision,0.468402785957143,Plain RF,Precision,42
rf_var,43,precision,0.208066419420094,Plain RF,Precision,43
rf_var,44,precision,0.542170486926439,Plain RF,Precision,44
rf_var,45,precision,0.189060175573393,Plain RF,Precision,45
rf_var,46,precision,0.377229464928417,Plain RF,Precision,46
rf_var,47,precision,0.568434430769836,Plain RF,Precision,47
rf_var,48,precision,0.144834307992203,Plain RF,Precision,48
rf_var,49,precision,0.355052261275966,Plain RF,Precision,49
rf_var,50,precision,0.116327133156185,Plain RF,Precision,50
rf_var,52,precision,0.425349889945596,Plain RF,Precision,52
rf_var,53,precision,0.515288355223048,Plain RF,Precision,53
rf_var,54,precision,0.440148911798396,Plain RF,Precision,54
rf_var,55,precision,0.248745094460162,Plain RF,Precision,55
mf_var,1,sensitivity,0.765511367358973,Plain MF RF,Sensitivity,1
mf_var,2,sensitivity,0.64268438229423,Plain MF RF,Sensitivity,2
mf_var,3,sensitivity,0.520526890344025,Plain MF RF,Sensitivity,3
mf_var,4,sensitivity,0.455073573655708,Plain MF RF,Sensitivity,4
mf_var,5,sensitivity,0.387235316045636,Plain MF RF,Sensitivity,5
mf_var,6,sensitivity,0.563525815668815,Plain MF RF,Sensitivity,6
mf_var,7,sensitivity,0.415747219029172,Plain MF RF,Sensitivity,7
mf_var,9,sensitivity,0.827508196721312,Plain MF RF,Sensitivity,9
