niche,method,zone,metric,value,metric_label,niche_label,method_label,zone_factor
climate,rf_var,12,balanced_accuracy,0.955149974219014,Balanced accuracy,Climate,Plain RF,12
climate,rf_var,13,balanced_accuracy,0.940768913261395,Balanced accuracy,Climate,Plain RF,13
climate,rf_var,14,balanced_accuracy,0.985556456517332,Balanced accuracy,Climate,Plain RF,14
climate,rf_var,15,balanced_accuracy,0.942031933999327,Balanced accuracy,Climate,Plain RF,15
climate,rf_var,16,balanced_accuracy,0.942453087249541,Balanced accuracy,Climate,Plain RF,16
climate,rf_var,17,balanced_accuracy,0.999172185430464,Balanced accuracy,Climate,Plain RF,17
climate,rf_var,18,balanced_accuracy,0.949386366996895,Balanced accuracy,Climate,Plain RF,18
climate,rf_var,19,balanced_accuracy,0.955201791844595,Balanced accuracy,Climate,Plain RF,19
climate,rf_var,20,balanced_accuracy,0.940213644364055,Balanced accuracy,Climate,Plain RF,20
climate,rf_var,21,balanced_accuracy,0.943205206805194,Balanced accuracy,Climate,Plain RF,21
climate,rf_var,22,balanced_accuracy,0.972263516156795,Balanced accuracy,Climate,Plain RF,22
climate,rf_var,23,balanced_accuracy,0.942305174861792,Balanced accuracy,Climate,Plain RF,23
climate,rf_var,24,balanced_accuracy,0.946792102426088,Balanced accuracy,Climate,Plain RF,24
climate,rf_var,25,balanced_accuracy,0.956685618024847,Balanced accuracy,Climate,Plain RF,25
climate,rf_var,26,balanced_accuracy,0.967782562769156,Balanced accuracy,Climate,Plain RF,26
climate,rf_var,27,balanced_accuracy,0.958822599976107,Balanced accuracy,Climate,Plain RF,27
climate,rf_var,28,balanced_accuracy,0.955979588903263,Balanced accuracy,Climate,Plain RF,28
climate,rf_var,29,balanced_accuracy,0.981255819602445,Balanced accuracy,Climate,Plain RF,29
climate,rf_var,30,balanced_accuracy,0.916171077553699,Balanced accuracy,Climate,Plain RF,30
climate,rf_var,31,balanced_accuracy,0.952209075226055,Balanced accuracy,Climate,Plain RF,31
climate,rf_var,32,balanced_accuracy,0.973597535061623,Balanced accuracy,Climate,Plain RF,32
climate,rf_var,33,balanced_accuracy,0.961651376146789,Balanced accuracy,Climate,Plain RF,33
climate,rf_var,34,balanced_accuracy,0.990494296577947,Balanced accuracy,Climate,Plain RF,34
climate,rf_var,35,balanced_accuracy,0.988263387867087,Balanced accuracy,Climate,Plain RF,35
climate,rf_var,36,balanced_accuracy,0.970978920011551,Balanced accuracy,Climate,Plain RF,36
climate,rf_var,37,balanced_accuracy,0.968292767491852,Balanced accuracy,Climate,Plain RF,37
climate,rf_var,38,balanced_accuracy,0.995122491963197,Balanced accuracy,Climate,Plain RF,38
climate,rf_var,39,balanced_accuracy,0.98697529026496,Balanced accuracy,Climate,Plain RF,39
climate,rf_var,40,balanced_accuracy,0.926169268307023,Balanced accuracy,Climate,Plain RF,40
climate,rf_var,41,balanced_accuracy,0.966678812169794,Balanced accuracy,Climate,Plain RF,41
climate,rf_var,42,balanced_accuracy,0.977387094719409,Balanced accuracy,Climate,Plain RF,42
climate,rf_var,43,balanced_accuracy,0.994061757719715,Balanced accuracy,Climate,Plain RF,43
climate,rf_var,44,balanced_accuracy,0.916695706718706,Balanced accuracy,Climate,Plain RF,44
climate,rf_var,45,balanced_accuracy,0.98431412753742,Balanced accuracy,Climate,Plain RF,45
climate,rf_var,46,balanced_accuracy,0.967494964692179,Balanced accuracy,Climate,Plain RF,46
climate,rf_var,47,balanced_accuracy,0.953386075063673,Balanced accuracy,Climate,Plain RF,47
climate,rf_var,48,balanced_accuracy,0.998050682261209,Balanced accuracy,Climate,Plain RF,48
climate,rf_var,49,balanced_accuracy,0.939389754159318,Balanced accuracy,Climate,Plain RF,49
climate,rf_var,50,balanced_accuracy,0.996062992125984,Balanced accuracy,Climate,Plain RF,50
climate,rf_var,52,balanced_accuracy,0.994421691851434,Balanced accuracy,Climate,Plain RF,52
climate,rf_var,53,balanced_accuracy,0.987741968435569,Balanced accuracy,Climate,Plain RF,53
climate,rf_var,54,balanced_accuracy,0.99653479641929,Balanced accuracy,Climate,Plain RF,54
climate,rf_var,55,balanced_accuracy,0.994726268206931,Balanced accuracy,Climate,Plain RF,55
soil,mf_var,1,balanced_accuracy,0.805190744215135,Balanced accuracy,Soil,Plain MF RF,1
soil,mf_var,2,balanced_accuracy,0.8446088794926,Balanced accuracy,Soil,Plain MF RF,2
soil,mf_var,3,balanced_accuracy,0.807576265504526,Balanced accuracy,Soil,Plain MF RF,3
soil,mf_var,4,balanced_accuracy,0.763777955271566,Balanced accuracy,Soil,Plain MF RF,4
soil,mf_var,5,balanced_accuracy,0.771448914204343,Balanced accuracy,Soil,Plain MF RF,5
soil,mf_var,6,balanced_accuracy,0.83193108974359,Balanced accuracy,Soil,Plain MF RF,6
soil,mf_var,7,balanced_accuracy,0.748150757308912,Balanced accuracy,Soil,Plain MF RF,7
soil,mf_var,9,balanced_accuracy,0.901408450704225,Balanced accuracy,Soil,Plain MF RF,9
soil,mf_var,10,balanced_accuracy,0.830007127583749,Balanced accuracy,Soil,Plain MF RF,10
soil,mf_var,11,balanced_accuracy,0.830923248053393,Balanced accuracy,Soil,Plain MF RF,11
soil,mf_var,12,balanced_accuracy,0.799964751498061,Balanced accuracy,Soil,Plain MF RF,12
soil,mf_var,13,balanced_accuracy,0.83709787816564,Balanced accuracy,Soil,Plain MF RF,13
soil,mf_var,14,balanced_accuracy,0.86225,Balanced accuracy,Soil,Plain MF RF,14
soil,mf_var,15,balanced_accuracy,0.829732698645185,Balanced accuracy,Soil,Plain MF RF,15
soil,mf_var,16,balanced_accuracy,0.878277817150957,Balanced accuracy,Soil,Plain MF RF,16
soil,mf_var,17,balanced_accuracy,0.890781563126253,Balanced accuracy,Soil,Plain MF RF,17
soil,mf_var,18,balanced_accuracy,0.810710301227222,Balanced accuracy,Soil,Plain MF RF,18
soil,mf_var,19,balanced_accuracy,0.884850959575337,Balanced accuracy,Soil,Plain MF RF,19
soil,mf_var,20,balanced_accuracy,0.916070756492284,Balanced accuracy,Soil,Plain MF RF,20
soil,mf_var,21,balanced_accuracy,0.873523280055594,Balanced accuracy,Soil,Plain MF RF,21
soil,mf_var,22,balanced_accuracy,0.85,Balanced accuracy,Soil,Plain MF RF,22
soil,mf_var,23,balanced_accuracy,0.894966794826983,Balanced accuracy,Soil,Plain MF RF,23
soil,mf_var,24,balanced_accuracy,0.874156545209177,Balanced accuracy,Soil,Plain MF RF,24
soil,mf_var,25,balanced_accuracy,0.822285919025439,Balanced accuracy,Soil,Plain MF RF,25
soil,mf_var,26,balanced_accuracy,0.839851024208566,Balanced accuracy,Soil,Plain MF RF,26
soil,mf_var,27,balanced_accuracy,0.829913043478261,Balanced accuracy,Soil,Plain MF RF,27
soil,mf_var,28,balanced_accuracy,0.75927622537792,Balanced accuracy,Soil,Plain MF RF,28
soil,mf_var,29,balanced_accuracy,0.892951875710496,Balanced accuracy,Soil,Plain MF RF,29
soil,mf_var,30,balanced_accuracy,0.846073662265462,Balanced accuracy,Soil,Plain MF RF,30
soil,mf_var,31,balanced_accuracy,0.886433185991159,Balanced accuracy,Soil,Plain MF RF,31
soil,mf_var,32,balanced_accuracy,0.842022471910113,Balanced accuracy,Soil,Plain MF RF,32
soil,mf_var,33,balanced_accuracy,0.836298323640096,Balanced accuracy,Soil,Plain MF RF,33
soil,mf_var,34,balanced_accuracy,0.873551106427819,Balanced accuracy,Soil,Plain MF RF,34
soil,mf_var,35,balanced_accuracy,0.919186911254338,Balanced accuracy,Soil,Plain MF RF,35
soil,mf_var,36,balanced_accuracy,0.816731952993844,Balanced accuracy,Soil,Plain MF RF,36
soil,mf_var,37,balanced_accuracy,0.868567197334321,Balanced accuracy,Soil,Plain MF RF,37
soil,mf_var,38,balanced_accuracy,0.948432760364004,Balanced accuracy,Soil,Plain MF RF,38
soil,mf_var,39,balanced_accuracy,0.835204941044357,Balanced accuracy,Soil,Plain MF RF,39
soil,mf_var,40,balanced_accuracy,0.833802816901408,Balanced accuracy,Soil,Plain MF RF,40
soil,mf_var,41,balanced_accuracy,0.851948573724387,Balanced accuracy,Soil,Plain MF RF,41
soil,mf_var,42,balanced_accuracy,0.902340892465252,Balanced accuracy,Soil,Plain MF RF,42
soil,mf_var,43,balanced_accuracy,0.901296111665005,Balanced accuracy,Soil,Plain MF RF,43
soil,mf_var,44,balanced_accuracy,0.829674220963173,Balanced accuracy,Soil,Plain MF RF,44
soil,mf_var,45,balanced_accuracy,0.837762669962917,Balanced accuracy,Soil,Plain MF RF,45
soil,mf_var,46,balanced_accuracy,0.800534963698892,Balanced accuracy,Soil,Plain MF RF,46
soil,mf_var,47,balanced_accuracy,0.8191064293498,Balanced accuracy,Soil,Plain MF RF,47
soil,mf_var,48,balanced_accuracy,0.898678414096916,Balanced accuracy,Soil,Plain MF RF,48
soil,mf_var,49,balanced_accuracy,0.841503870254331,Balanced accuracy,Soil,Plain MF RF,49
soil,mf_var,50,balanced_accuracy,0.876996805111821,Balanced accuracy,Soil,Plain MF RF,50
soil,mf_var,52,balanced_accuracy,0.934261838440111,Balanced accuracy,Soil,Plain MF RF,52
soil,mf_var,53,balanced_accuracy,0.934343434343434,Balanced accuracy,Soil,Plain MF RF,53
soil,mf_var,54,balanced_accuracy,0.940754716981132,Balanced accuracy,Soil,Plain MF RF,54
soil,mf_var,55,balanced_accuracy,0.923111919927207,Balanced accuracy,Soil,Plain MF RF,55
soil,rf_var,1,balanced_accuracy,0.803314571607255,Balanced accuracy,Soil,Plain RF,1
soil,rf_var,2,balanced_accuracy,0.845313601127555,Balanced accuracy,Soil,Plain RF,2
soil,rf_var,3,balanced_accuracy,0.806738183037211,Balanced accuracy,Soil,Plain RF,3
soil,rf_var,4,balanced_accuracy,0.763777955271566,Balanced accuracy,Soil,Plain RF,4
soil,rf_var,5,balanced_accuracy,0.769134923460306,Balanced accuracy,Soil,Plain RF,5
soil,rf_var,6,balanced_accuracy,0.831730769230769,Balanced accuracy,Soil,Plain RF,6
soil,rf_var,7,balanced_accuracy,0.748326875660444,Balanced accuracy,Soil,Plain RF,7
soil,rf_var,9,balanced_accuracy,0.901408450704225,Balanced accuracy,Soil,Plain RF,9
soil,rf_var,10,balanced_accuracy,0.82679971489665,Balanced accuracy,Soil,Plain RF,10
soil,rf_var,11,balanced_accuracy,0.830552465702633,Balanced accuracy,Soil,Plain RF,11
