scenario,zoneID,area_km2,scenario_label
2011-2040SSP245,1,25703.2553347871,2011-2040 SSP245
2011-2040SSP245,2,63115.6414976714,2011-2040 SSP245
2011-2040SSP245,3,285110.192739483,2011-2040 SSP245
2011-2040SSP245,4,37177.7531842499,2011-2040 SSP245
2011-2040SSP245,5,111820.237882724,2011-2040 SSP245
2011-2040SSP245,6,45958.6280405306,2011-2040 SSP245
2011-2040SSP245,7,154116.874344501,2011-2040 SSP245
2011-2040SSP245,9,5486.11543343138,2011-2040 SSP245
2011-2040SSP245,10,135166.533597848,2011-2040 SSP245
2011-2040SSP245,11,37502.8288814255,2011-2040 SSP245
2011-2040SSP245,12,248607.492213092,2011-2040 SSP245
2011-2040SSP245,13,285482.257353708,2011-2040 SSP245
2011-2040SSP245,14,31113.4659132725,2011-2040 SSP245
2011-2040SSP245,15,176713.441359956,2011-2040 SSP245
2011-2040SSP245,16,514191.032338498,2011-2040 SSP245
2011-2040SSP245,17,1349.97523095145,2011-2040 SSP245
2011-2040SSP245,18,141821.970500418,2011-2040 SSP245
2011-2040SSP245,19,354977.160709386,2011-2040 SSP245
2011-2040SSP245,20,157711.255256801,2011-2040 SSP245
2011-2040SSP245,21,662329.284364224,2011-2040 SSP245
2011-2040SSP245,22,12704.6451866612,2011-2040 SSP245
2011-2040SSP245,23,442157.296173919,2011-2040 SSP245
2011-2040SSP245,24,442910.190550573,2011-2040 SSP245
2011-2040SSP245,25,184574.926928226,2011-2040 SSP245
2011-2040SSP245,26,28104.496131226,2011-2040 SSP245
2011-2040SSP245,27,634751.899056382,2011-2040 SSP245
2011-2040SSP245,28,60364.6992315896,2011-2040 SSP245
2011-2040SSP245,29,93471.1531931788,2011-2040 SSP245
2011-2040SSP245,30,251602.215291737,2011-2040 SSP245
2011-2040SSP245,31,588372.131354623,2011-2040 SSP245
2011-2040SSP245,32,66097.3695462388,2011-2040 SSP245
2011-2040SSP245,33,327839.495729413,2011-2040 SSP245
2011-2040SSP245,34,14021.4105389591,2011-2040 SSP245
2011-2040SSP245,35,2853.77893751407,2011-2040 SSP245
2011-2040SSP245,36,53400.8001033968,2011-2040 SSP245
2011-2040SSP245,37,78497.3854853658,2011-2040 SSP245
2011-2040SSP245,38,4107.87105183112,2011-2040 SSP245
2011-2040SSP245,39,58586.5644107545,2011-2040 SSP245
2011-2040SSP245,40,243293.812198718,2011-2040 SSP245
2011-2040SSP245,41,79832.9670636192,2011-2040 SSP245
2011-2040SSP245,42,100144.903694475,2011-2040 SSP245
2011-2040SSP245,43,2980.95599700273,2011-2040 SSP245
2011-2040SSP245,44,239106.129408676,2011-2040 SSP245
2011-2040SSP245,45,69896.3751679339,2011-2040 SSP245
2011-2040SSP245,46,153314.820150847,2011-2040 SSP245
2011-2040SSP245,47,301309.735152486,2011-2040 SSP245
2011-2040SSP245,48,1233.20675583812,2011-2040 SSP245
2011-2040SSP245,49,123299.244527167,2011-2040 SSP245
2011-2040SSP245,50,15026.041429612,2011-2040 SSP245
2011-2040SSP245,52,33280.8903068949,2011-2040 SSP245
2011-2040SSP245,53,137679.815701923,2011-2040 SSP245
2011-2040SSP245,54,1604.06931923912,2011-2040 SSP245
2011-2040SSP245,55,13338.1608787754,2011-2040 SSP245
2011-2040SSP245,99,165913.158567593,2011-2040 SSP245
2011-2040SSP585,1,25818.389235117,2011-2040 SSP585
2011-2040SSP585,2,54192.546588022,2011-2040 SSP585
2011-2040SSP585,3,282806.507289561,2011-2040 SSP585
2011-2040SSP585,4,31976.4729970201,2011-2040 SSP585
2011-2040SSP585,5,119839.304135984,2011-2040 SSP585
2011-2040SSP585,6,42203.4513895552,2011-2040 SSP585
2011-2040SSP585,7,157720.188303913,2011-2040 SSP585
2011-2040SSP585,9,4907.58046686841,2011-2040 SSP585
2011-2040SSP585,10,133869.008774644,2011-2040 SSP585
2011-2040SSP585,11,41804.900789317,2011-2040 SSP585
2011-2040SSP585,12,254016.76022791,2011-2040 SSP585
2011-2040SSP585,13,283026.613122238,2011-2040 SSP585
2011-2040SSP585,14,29309.4113425087,2011-2040 SSP585
2011-2040SSP585,15,165762.570756773,2011-2040 SSP585
2011-2040SSP585,16,516568.618490382,2011-2040 SSP585
2011-2040SSP585,17,1309.97704762498,2011-2040 SSP585
2011-2040SSP585,18,140679.018018244,2011-2040 SSP585
2011-2040SSP585,19,358685.711448789,2011-2040 SSP585
2011-2040SSP585,20,151401.616329503,2011-2040 SSP585
2011-2040SSP585,21,688895.536745462,2011-2040 SSP585
2011-2040SSP585,22,10969.9607103331,2011-2040 SSP585
2011-2040SSP585,23,453565.020381896,2011-2040 SSP585
2011-2040SSP585,24,428091.909676287,2011-2040 SSP585
2011-2040SSP585,25,186709.606921856,2011-2040 SSP585
2011-2040SSP585,26,25171.086720551,2011-2040 SSP585
2011-2040SSP585,27,637243.795733433,2011-2040 SSP585
2011-2040SSP585,28,62317.690277485,2011-2040 SSP585
2011-2040SSP585,29,95021.2142430079,2011-2040 SSP585
2011-2040SSP585,30,234008.502745759,2011-2040 SSP585
2011-2040SSP585,31,587080.92289899,2011-2040 SSP585
2011-2040SSP585,32,64881.8446876938,2011-2040 SSP585
2011-2040SSP585,33,326071.934942954,2011-2040 SSP585
2011-2040SSP585,34,13794.0527173914,2011-2040 SSP585
2011-2040SSP585,35,2263.42805923842,2011-2040 SSP585
2011-2040SSP585,36,56053.1339603211,2011-2040 SSP585
2011-2040SSP585,37,75896.6468877372,2011-2040 SSP585
2011-2040SSP585,38,4618.56887112263,2011-2040 SSP585
2011-2040SSP585,39,57174.7693973862,2011-2040 SSP585
2011-2040SSP585,40,255697.236729376,2011-2040 SSP585
2011-2040SSP585,41,83854.637042275,2011-2040 SSP585
2011-2040SSP585,42,92678.408250362,2011-2040 SSP585
2011-2040SSP585,43,2824.09382194805,2011-2040 SSP585
2011-2040SSP585,44,235171.708150095,2011-2040 SSP585
2011-2040SSP585,45,75138.1747623844,2011-2040 SSP585
2011-2040SSP585,46,153687.262784333,2011-2040 SSP585
2011-2040SSP585,47,293551.332031084,2011-2040 SSP585
2011-2040SSP585,48,1022.26079583469,2011-2040 SSP585
2011-2040SSP585,49,127341.065062198,2011-2040 SSP585
2011-2040SSP585,50,14703.8235072316,2011-2040 SSP585
2011-2040SSP585,52,31719.4585753098,2011-2040 SSP585
2011-2040SSP585,53,140237.0320835,2011-2040 SSP585
2011-2040SSP585,54,623.777121992652,2011-2040 SSP585
2011-2040SSP585,55,13150.7075023575,2011-2040 SSP585
2011-2040SSP585,99,173998.759846369,2011-2040 SSP585
2041-2070SSP245,1,32414.4008317941,2041-2070 SSP245
2041-2070SSP245,2,23676.091186837,2041-2070 SSP245
2041-2070SSP245,3,271632.094911442,2041-2070 SSP245
2041-2070SSP245,4,5251.31849749267,2041-2070 SSP245
2041-2070SSP245,5,127970.031004658,2041-2070 SSP245
2041-2070SSP245,6,4128.01602103888,2041-2070 SSP245
2041-2070SSP245,7,167241.286045456,2041-2070 SSP245
2041-2070SSP245,9,2194.28747818059,2041-2070 SSP245
2041-2070SSP245,10,152756.621912313,2041-2070 SSP245
2041-2070SSP245,11,48527.3739594531,2041-2070 SSP245
2041-2070SSP245,12,289552.167969321,2041-2070 SSP245
2041-2070SSP245,13,224441.071677632,2041-2070 SSP245
2041-2070SSP245,14,17062.3563961652,2041-2070 SSP245
2041-2070SSP245,15,173725.278402743,2041-2070 SSP245
2041-2070SSP245,16,462415.252272529,2041-2070 SSP245
2041-2070SSP245,17,561.270542950913,2041-2070 SSP245
2041-2070SSP245,18,171528.32739064,2041-2070 SSP245
2041-2070SSP245,19,389154.237002602,2041-2070 SSP245
2041-2070SSP245,20,111115.376521093,2041-2070 SSP245
2041-2070SSP245,21,940049.851561814,2041-2070 SSP245
2041-2070SSP245,22,5689.0861352017,2041-2070 SSP245
2041-2070SSP245,23,346701.469219888,2041-2070 SSP245
2041-2070SSP245,24,499196.317865151,2041-2070 SSP245
2041-2070SSP245,25,206260.245985324,2041-2070 SSP245
2041-2070SSP245,26,13314.5371423852,2041-2070 SSP245
2041-2070SSP245,27,678891.625592099,2041-2070 SSP245
2041-2070SSP245,28,49002.2224662344,2041-2070 SSP245
2041-2070SSP245,29,79405.4477515592,2041-2070 SSP245
2041-2070SSP245,30,164845.396169932,2041-2070 SSP245
2041-2070SSP245,31,547705.818189805,2041-2070 SSP245
2041-2070SSP245,32,45470.0207597913,2041-2070 SSP245
2041-2070SSP245,33,345045.514816,2041-2070 SSP245
2041-2070SSP245,34,11950.0615833791,2041-2070 SSP245
2041-2070SSP245,35,530.909342977604,2041-2070 SSP245
2041-2070SSP245,36,48337.0683932695,2041-2070 SSP245
2041-2070SSP245,37,45524.3751243849,2041-2070 SSP245
2041-2070SSP245,38,1105.0072701134,2041-2070 SSP245
2041-2070SSP245,39,52260.9493682949,2041-2070 SSP245
2041-2070SSP245,40,239106.821290871,2041-2070 SSP245
2041-2070SSP245,41,64857.452081859,2041-2070 SSP245
2041-2070SSP245,42,50408.4620914529,2041-2070 SSP245
2041-2070SSP245,43,841.27622376119,2041-2070 SSP245
2041-2070SSP245,44,232491.076071758,2041-2070 SSP245
2041-2070SSP245,45,92016.5331168171,2041-2070 SSP245
2041-2070SSP245,46,189217.579514018,2041-2070 SSP245
2041-2070SSP245,47,163928.842067758,2041-2070 SSP245
2041-2070SSP245,48,432.073539740423,2041-2070 SSP245
2041-2070SSP245,49,136730.239555002,2041-2070 SSP245
2041-2070SSP245,50,17582.9581157909,2041-2070 SSP245
2041-2070SSP245,52,38556.6225263328,2041-2070 SSP245
2041-2070SSP245,53,187059.615087412,2041-2070 SSP245
2041-2070SSP245,54,227.664411724053,2041-2070 SSP245
2041-2070SSP245,55,6899.56320577963,2041-2070 SSP245
2041-2070SSP245,99,324138.447735807,2041-2070 SSP245
2041-2070SSP585,1,32948.4624095597,2041-2070 SSP585
2041-2070SSP585,2,23315.0244226327,2041-2070 SSP585
2041-2070SSP585,3,258855.54334247,2041-2070 SSP585
2041-2070SSP585,4,4178.59208596774,2041-2070 SSP585
2041-2070SSP585,5,109258.629485256,2041-2070 SSP585
2041-2070SSP585,6,894.695640019666,2041-2070 SSP585
2041-2070SSP585,7,155616.322840363,2041-2070 SSP585
2041-2070SSP585,9,1345.69776093172,2041-2070 SSP585
2041-2070SSP585,10,164618.877605271,2041-2070 SSP585
2041-2070SSP585,11,49113.8666567399,2041-2070 SSP585
2041-2070SSP585,12,311011.647450438,2041-2070 SSP585
2041-2070SSP585,13,172030.044138891,2041-2070 SSP585
2041-2070SSP585,14,12303.4991250357,2041-2070 SSP585
2041-2070SSP585,15,172328.076059798,2041-2070 SSP585
2041-2070SSP585,16,375182.198570156,2041-2070 SSP585
2041-2070SSP585,17,218.940427961156,2041-2070 SSP585
2041-2070SSP585,18,233762.672133323,2041-2070 SSP585
2041-2070SSP585,19,483786.387502839,2041-2070 SSP585
2041-2070SSP585,20,95998.0532137913,2041-2070 SSP585
2041-2070SSP585,21,1083057.71877492,2041-2070 SSP585
2041-2070SSP585,22,2695.86882762407,2041-2070 SSP585
2041-2070SSP585,23,254720.800603929,2041-2070 SSP585
2041-2070SSP585,24,479695.905540591,2041-2070 SSP585
2041-2070SSP585,25,243833.21209249,2041-2070 SSP585
2041-2070SSP585,26,7861.91765705291,2041-2070 SSP585
2041-2070SSP585,27,697411.079385714,2041-2070 SSP585
2041-2070SSP585,28,45538.8205571089,2041-2070 SSP585
2041-2070SSP585,29,65503.8408071499,2041-2070 SSP585
2041-2070SSP585,30,127276.067265928,2041-2070 SSP585
2041-2070SSP585,31,487613.393124176,2041-2070 SSP585
2041-2070SSP585,32,38074.6933948409,2041-2070 SSP585
2041-2070SSP585,33,328284.582624394,2041-2070 SSP585
2041-2070SSP585,34,11466.7381808062,2041-2070 SSP585
2041-2070SSP585,35,325.304728470544,2041-2070 SSP585
2041-2070SSP585,36,39028.0319162886,2041-2070 SSP585
2041-2070SSP585,37,40493.2319745769,2041-2070 SSP585
2041-2070SSP585,38,288.837172817057,2041-2070 SSP585
2041-2070SSP585,39,51013.6588819357,2041-2070 SSP585
2041-2070SSP585,40,242304.30273946,2041-2070 SSP585
2041-2070SSP585,41,48943.0879469819,2041-2070 SSP585
2041-2070SSP585,42,35416.7365687703,2041-2070 SSP585
2041-2070SSP585,43,137.835432099461,2041-2070 SSP585
2041-2070SSP585,44,218761.486514649,2041-2070 SSP585
2041-2070SSP585,45,91982.6770702172,2041-2070 SSP585
2041-2070SSP585,46,223577.265699862,2041-2070 SSP585
2041-2070SSP585,47,92887.3840978537,2041-2070 SSP585
2041-2070SSP585,48,265.904408161319,2041-2070 SSP585
2041-2070SSP585,49,136923.784063586,2041-2070 SSP585
2041-2070SSP585,50,18523.6875769803,2041-2070 SSP585
2041-2070SSP585,52,41139.1907618023,2041-2070 SSP585
2041-2070SSP585,53,210839.569735821,2041-2070 SSP585
2041-2070SSP585,54,42.7752060851512,2041-2070 SSP585
2041-2070SSP585,55,6581.35680921247,2041-2070 SSP585
2041-2070SSP585,99,471850.032385451,2041-2070 SSP585
2071-2100SSP245,1,33134.3610001982,2071-2100 SSP245
2071-2100SSP245,2,26316.4258046944,2071-2100 SSP245
2071-2100SSP245,3,277213.485590308,2071-2100 SSP245
2071-2100SSP245,4,3889.01851483382,2071-2100 SSP245
2071-2100SSP245,5,95682.0726015905,2071-2100 SSP245
2071-2100SSP245,6,652.185999672051,2071-2100 SSP245
2071-2100SSP245,7,153007.368365081,2071-2100 SSP245
2071-2100SSP245,9,1308.12434066884,2071-2100 SSP245
2071-2100SSP245,10,167526.47207769,2071-2100 SSP245
2071-2100SSP245,11,46405.8417086779,2071-2100 SSP245
2071-2100SSP245,12,309918.008388957,2071-2100 SSP245
2071-2100SSP245,13,169350.699520437,2071-2100 SSP245
2071-2100SSP245,14,12471.157045425,2071-2100 SSP245
2071-2100SSP245,15,166303.056772094,2071-2100 SSP245
2071-2100SSP245,16,382426.258285308,2071-2100 SSP245
2071-2100SSP245,17,178.238754045064,2071-2100 SSP245
2071-2100SSP245,18,242492.439423588,2071-2100 SSP245
2071-2100SSP245,19,497349.547958347,2071-2100 SSP245
2071-2100SSP245,20,88880.938176283,2071-2100 SSP245
2071-2100SSP245,21,1096111.63403701,2071-2100 SSP245
2071-2100SSP245,22,2948.22709925406,2071-2100 SSP245
2071-2100SSP245,23,247208.475030926,2071-2100 SSP245
2071-2100SSP245,24,472859.953366911,2071-2100 SSP245
2071-2100SSP245,25,255532.059211524,2071-2100 SSP245
2071-2100SSP245,26,5866.07046661915,2071-2100 SSP245
2071-2100SSP245,27,696630.96621879,2071-2100 SSP245
2071-2100SSP245,28,45251.6708432298,2071-2100 SSP245
2071-2100SSP245,29,60150.5350210956,2071-2100 SSP245
2071-2100SSP245,30,119289.458741268,2071-2100 SSP245
2071-2100SSP245,31,472966.076476237,2071-2100 SSP245
2071-2100SSP245,32,36813.1754005243,2071-2100 SSP245
2071-2100SSP245,33,324112.452543262,2071-2100 SSP245
2071-2100SSP245,34,11757.8114282534,2071-2100 SSP245
2071-2100SSP245,35,299.801520236681,2071-2100 SSP245
2071-2100SSP245,36,38784.8172928966,2071-2100 SSP245
2071-2100SSP245,37,37064.5821136907,2071-2100 SSP245
2071-2100SSP245,38,147.490354692757,2071-2100 SSP245
2071-2100SSP245,39,49656.4228626319,2071-2100 SSP245
2071-2100SSP245,40,236145.410412245,2071-2100 SSP245
2071-2100SSP245,41,41770.2131162549,2071-2100 SSP245
2071-2100SSP245,42,33627.8592090187,2071-2100 SSP245
2071-2100SSP245,43,121.832997451273,2071-2100 SSP245
2071-2100SSP245,44,231500.230969786,2071-2100 SSP245
2071-2100SSP245,45,85519.1050930895,2071-2100 SSP245
2071-2100SSP245,46,219995.912204735,2071-2100 SSP245
2071-2100SSP245,47,80677.5863744408,2071-2100 SSP245
2071-2100SSP245,48,207.439901499253,2071-2100 SSP245
2071-2100SSP245,49,146788.05347688,2071-2100 SSP245
2071-2100SSP245,50,17534.9944176098,2071-2100 SSP245
2071-2100SSP245,52,44891.2180311249,2071-2100 SSP245
2071-2100SSP245,53,220451.53234747,2071-2100 SSP245
2071-2100SSP245,54,32.5246311091728,2071-2100 SSP245
2071-2100SSP245,55,7541.62352722681,2071-2100 SSP245
2071-2100SSP245,99,486365.094333413,2071-2100 SSP245
2071-2100SSP585,1,47078.3663761748,2071-2100 SSP585
2071-2100SSP585,2,16124.729184834,2071-2100 SSP585
2071-2100SSP585,3,221810.404449176,2071-2100 SSP585
2071-2100SSP585,4,2125.88048093525,2071-2100 SSP585
2071-2100SSP585,5,38191.0515690098,2071-2100 SSP585
2071-2100SSP585,6,2.37716040060234,2071-2100 SSP585
2071-2100SSP585,7,99669.9941668256,2071-2100 SSP585
2071-2100SSP585,9,114.378432382948,2071-2100 SSP585
2071-2100SSP585,10,203649.949984237,2071-2100 SSP585
2071-2100SSP585,11,27049.1675503001,2071-2100 SSP585
2071-2100SSP585,12,356773.906970153,2071-2100 SSP585
2071-2100SSP585,13,109315.662666565,2071-2100 SSP585
2071-2100SSP585,14,22047.4813625228,2071-2100 SSP585
2071-2100SSP585,15,266982.142148848,2071-2100 SSP585
2071-2100SSP585,16,169665.710589058,2071-2100 SSP585
2071-2100SSP585,17,14.2998797601323,2071-2100 SSP585
2071-2100SSP585,18,437377.461465946,2071-2100 SSP585
2071-2100SSP585,19,522597.405575827,2071-2100 SSP585
2071-2100SSP585,20,63174.8650154138,2071-2100 SSP585
2071-2100SSP585,21,1332707.37714499,2071-2100 SSP585
2071-2100SSP585,22,64.852967597643,2071-2100 SSP585
2071-2100SSP585,23,64445.7392280683,2071-2100 SSP585
2071-2100SSP585,24,434939.465465612,2071-2100 SSP585
2071-2100SSP585,25,309352.98351771,2071-2100 SSP585
2071-2100SSP585,26,1687.04022376967,2071-2100 SSP585
2071-2100SSP585,27,835485.499989477,2071-2100 SSP585
2071-2100SSP585,28,33411.5396720181,2071-2100 SSP585
2071-2100SSP585,29,18714.2904592395,2071-2100 SSP585
2071-2100SSP585,30,52668.1763232211,2071-2100 SSP585
2071-2100SSP585,31,276785.778689659,2071-2100 SSP585
