Species,PopulationID,source_zone,method,ssp,zone_name,reference_abundance,start_period,start_suitable_area_km2,start_weighted_area_km2,start_mean_dual_suitability,start_max_dual_suitability,end_period,end_suitable_area_km2,end_weighted_area_km2,end_mean_dual_suitability,end_max_dual_suitability,suitable_area_change_km2,suitable_area_percent_change,weighted_area_change_km2,mean_dual_suitability_change,within_species_gain_rank,within_species_loss_rank,within_species_absolute_change_rank
chamFor,chamFor-Zone53,53,rf_var,SSP245,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,17,2011-2040,288423.220577771,253160.239867401,0.0238615968196854,1,2071-2100,353714.725716719,301307.712129378,0.0284899904221039,1,65291.505138948,22.6373954940783,48147.472261977,0.0046283936024185,2,,5
chamFor,chamFor-Zone34,34,rf_var,SSP245,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,2011-2040,150825.928441719,167670.861314277,0.0169704789803343,1,2071-2100,144878.735903613,177266.712314341,0.0184972216647831,1,-5947.192538106,-3.94308365912302,9595.85100006402,0.0015267426844488,,4,6
chamFor,chamFor-Zone10,10,rf_var,SSP245,Needleleaf forests on mountains in subtropical and tropical zones,27,2011-2040,449973.316552287,415369.522489333,0.0417432238871689,1,2071-2100,452791.24635084,430523.804846467,0.0434303931521971,1,2817.929798553,0.626243755995153,15154.282357134,0.0016871692650282,3,,7
chamFor,chamFor-Zone30,30,rf_var,SSP585,Needleleaf forests in subtropical zone,10,2011-2040,1342725.49010955,1098023.970005,0.106998293330992,1,2071-2100,624494.560234146,777995.912497863,0.0762063646045088,0.9864382147789,-718230.929875404,-53.4905261846787,-320028.057507137,-0.0307919287264832,,1,1
chamFor,chamFor-Zone49,49,rf_var,SSP585,Broadleaf evergreen forests in subtropical zone,45,2011-2040,882513.150461309,809007.785107667,0.0783304464704122,1,2071-2100,522296.351391875,635029.000194987,0.0619097878486586,1,-360216.799069434,-40.8171593682361,-173978.78491268,-0.0164206586217536,,2,2
chamFor,chamFor-Zone21,21,rf_var,SSP585,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,2011-2040,1560595.49867235,1203105.24246789,0.11725418651389,0.999948859214783,2071-2100,1876779.92352405,1269755.83754408,0.124735690133307,0.986698865890503,316184.4248517,20.2604983239211,66650.5950761901,0.007481503619417,1,,3
chamFor,chamFor-Zone26,26,rf_var,SSP585,Bamboo forests and scrubs in subtropical and tropical zones,10,2011-2040,333240.029583155,428204.560194555,0.0418282313324302,0.999933302402496,2071-2100,61822.5089041159,391855.086203965,0.0383899277107952,0.996955513954163,-271417.520679039,-81.448054430481,-36349.47399059,-0.003438303621635,,3,4
chamFor,chamFor-Zone53,53,rf_var,SSP585,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,17,2011-2040,289728.339900859,255758.149262855,0.0241158908385496,1,2071-2100,378040.693688183,331815.122473123,0.0314938399266507,1,88312.353787324,30.4810892222498,76056.973210268,0.0073779490881011,2,,5
chamFor,chamFor-Zone10,10,rf_var,SSP585,Needleleaf forests on mountains in subtropical and tropical zones,27,2011-2040,447749.922452866,412851.956740509,0.0415012834673699,1,2071-2100,433133.443279137,424395.940853799,0.0428221719620255,1,-14616.479173729,-3.26442919155784,11543.98411329,0.0013208884946556,,4,6
chamFor,chamFor-Zone34,34,rf_var,SSP585,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,2011-2040,150874.244438921,168152.39973668,0.0170526738636384,1,2071-2100,141305.169013205,181717.220003242,0.0194128470675657,1,-9569.075425716,-6.34241812530825,13564.820266562,0.0023601732039273,,5,7
cyclLon,cyclLon-Zone21,21,mf_var,SSP245,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,73,2011-2040,1530533.46254914,1199875.25433149,0.116895770268274,1,2071-2100,1829385.60026031,1276863.99086277,0.124965561116142,0.986386716365814,298852.13771117,19.5260113564211,76988.73653128,0.008069790847868,1,,1
cyclLon,cyclLon-Zone26,26,mf_var,SSP245,Bamboo forests and scrubs in subtropical and tropical zones,17,2011-2040,355928.647581211,437521.104961676,0.0427368293353721,0.998894512653351,2071-2100,144464.066505584,406886.314364577,0.0398403777934649,0.998792171478271,-211464.581075627,-59.4120710745481,-30634.790597099,-0.0028964515419072,,1,2
cyclLon,cyclLon-Zone49,49,mf_var,SSP245,Broadleaf evergreen forests in subtropical zone,319,2011-2040,892184.774801283,816016.281860835,0.0789973336701914,1,2071-2100,713356.973863415,729211.22615262,0.0708551068732413,1,-178827.800937868,-20.0438077390077,-86805.055708215,-0.00814222679695011,,2,3
cyclLon,cyclLon-Zone53,53,mf_var,SSP245,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,29,2011-2040,289995.401916564,253701.435384659,0.0239104676787577,1,2071-2100,357180.834448443,300012.073302809,0.0283680716610606,1,67185.4325318791,23.1677578636951,46310.63791815,0.0044576039823029,2,,4
cyclLon,cyclLon-Zone34,34,mf_var,SSP245,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",26,2011-2040,146971.869263789,165056.44759436,0.0166860757250007,1,2071-2100,141085.699764157,174342.361189199,0.0181516230950266,1,-5886.169499632,-4.00496335054931,9285.91359483899,0.0014655473700259,,3,5
cyclLon,cyclLon-Zone10,10,mf_var,SSP245,Needleleaf forests on mountains in subtropical and tropical zones,25,2011-2040,450367.913421521,415807.106209249,0.0417823776554996,1,2071-2100,454654.037266167,432326.807470186,0.0436141522517113,1,4286.12384464598,0.951693874477773,16519.701260937,0.0018317745962117,3,,6
cyclLon,cyclLon-Zone49,49,mf_var,SSP585,Broadleaf evergreen forests in subtropical zone,319,2011-2040,889791.92676693,811565.026888057,0.0785858428012938,1,2071-2100,518352.978388061,635530.781334496,0.0619671399132788,1,-371438.948378869,-41.7444727475217,-176034.245553561,-0.016618702888015,,1,1
