method,valid_original_pixels,compared_pixels,missing_predictions,coverage,exact_zone_accuracy,broad_category_accuracy,macro_balanced_accuracy,macro_recall,macro_specificity,macro_precision,macro_f1,macro_tss,source_map,comparison_scope,method_label
rf_var,12627345,12374320,253025,0.979962137725706,0.60342645090801,0.70018328279857,0.826099961328857,0.659893853067994,0.99230606958972,0.455220290145591,0.500408278117935,0.652199922657714,H:/Jing/ecoChina2/result maps/rf_var/assigned_zone_normal_threshold0.4_tol1e-04_novel99_maskNA8_noNovelNormal.tif,"Common valid mask of final RF, MF and multiclass maps",Plain RF
mf_var,12627345,12374320,253025,0.979962137725706,0.603195488721805,0.700123966407851,0.826229468809587,0.660157300382436,0.992301637236737,0.454935599478671,0.500076525375698,0.652458937619174,H:/Jing/ecoChina2/result maps/mf_var/assigned_zone_normal_threshold0.4_tol1e-04_novel99_maskNA8_noNovelNormal.tif,"Common valid mask of final RF, MF and multiclass maps",Plain MF RF
multiclass_rf,12627345,12374320,253025,0.979962137725706,0.579889480795712,0.688625799235837,0.857475445411857,0.723043520262823,0.991907370560892,0.445372046786559,0.482343146951163,0.714950890823715,H:/Jing/ecoChina2/result maps/multiclass_rf/assigned_zone_normal_multiclass_rf.tif,"Common valid mask of final RF, MF and multiclass maps",Multiclass RF
