method,method_label,niche,zone,probability_threshold,sampling,n_test,presence,absence,n_variables,variables,TP,TN,FP,FN,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tss,auc
rf_var,Plain RF,soil,4,0.5,all presence + equal modeled-zone absence,5008,2504,2504,9,"T_TEB,T_BS,T_PH_H2O,T_REF_BULK_DENSITY,T_SAND,T_CEC_CLAY,T_CEC_SOIL,T_OC,T_GRAVEL",1748,2077,427,756,0.763777955271566,0.763777955271566,0.698083067092652,0.829472843450479,0.80367816091954,0.747168198332977,0.527555910543131,0.838164288575978
rf_var,Plain RF,soil,5,0.5,all presence + equal modeled-zone absence,5618,2809,2809,9,"T_CEC_SOIL,T_CLAY,T_CACO3,T_PH_H2O,T_TEB,T_REF_BULK_DENSITY,T_SILT,T_OC,T_CEC_CLAY",2301,2020,789,508,0.769134923460306,0.769134923460306,0.819152723389107,0.719117123531506,0.744660194174757,0.780132225800983,0.538269846920612,0.794633875932278
rf_var,Plain RF,soil,6,0.5,all presence + equal modeled-zone absence,4992,2496,2496,9,"T_PH_H2O,T_SAND,T_BS,T_CEC_SOIL,T_TEB,T_OC,T_SILT,T_CEC_CLAY,T_GRAVEL",2261,1891,605,235,0.831730769230769,0.831730769230769,0.905849358974359,0.75761217948718,0.788904396371249,0.843342036553525,0.663461538461538,0.845357299242891
rf_var,Plain RF,soil,7,0.5,all presence + equal modeled-zone absence,5678,2839,2839,9,"T_CEC_SOIL,T_BS,T_TEB,T_SAND,T_CLAY,T_REF_BULK_DENSITY,T_OC,T_PH_H2O,T_CEC_CLAY",2465,1784,1055,374,0.748326875660444,0.748326875660444,0.868263473053892,0.628390278266996,0.700284090909091,0.775279131938984,0.496653751320888,0.780881599211704
rf_var,Plain RF,soil,9,0.5,all presence + equal modeled-zone absence,3976,1988,1988,9,"T_CACO3,T_CEC_SOIL,T_TEB,T_BS,T_GRAVEL,T_REF_BULK_DENSITY,T_PH_H2O,T_SILT,T_CEC_CLAY",1950,1634,354,38,0.901408450704225,0.901408450704225,0.980885311871227,0.821931589537223,0.846354166666667,0.908667287977633,0.802816901408451,0.910023268382933
rf_var,Plain RF,soil,10,0.5,all presence + equal modeled-zone absence,5612,2806,2806,9,"T_OC,T_SILT,T_PH_H2O,T_BS,T_CLAY,T_TEB,T_REF_BULK_DENSITY,T_CEC_CLAY,T_CEC_SOIL",2348,2292,514,458,0.82679971489665,0.82679971489665,0.836778332145403,0.816821097647897,0.820405310971349,0.828510938602682,0.6535994297933,0.850719985023438
rf_var,Plain RF,soil,11,0.5,all presence + equal modeled-zone absence,5394,2697,2697,9,"T_GRAVEL,T_REF_BULK_DENSITY,T_TEB,T_CEC_SOIL,T_SAND,T_SILT,T_PH_H2O,T_OC,T_CEC_CLAY",2349,2131,566,348,0.830552465702633,0.830552465702633,0.870967741935484,0.790137189469781,0.805831903945112,0.837134711332858,0.661104931405265,0.884949343597007
rf_var,Plain RF,soil,12,0.5,all presence + equal modeled-zone absence,5674,2837,2837,9,"T_CLAY,T_CEC_SOIL,T_SILT,T_BS,T_REF_BULK_DENSITY,T_TEB,T_PH_H2O,T_OC,T_CEC_CLAY",2411,2128,709,426,0.799964751498061,0.799964751498061,0.849841381741276,0.750088121254847,0.77275641025641,0.809467852946114,0.599929502996123,0.837457068455274
rf_var,Plain RF,soil,13,0.5,all presence + equal modeled-zone absence,5844,2922,2922,9,"T_CLAY,T_REF_BULK_DENSITY,T_SAND,T_PH_H2O,T_CEC_SOIL,T_CEC_CLAY,T_BS,T_TEB,T_OC",2666,2238,684,256,0.839151266255989,0.839151266255989,0.912388774811773,0.765913757700205,0.795820895522388,0.850127551020408,0.678302532511978,0.874787481594231
rf_var,Plain RF,soil,14,0.5,all presence + equal modeled-zone absence,4000,2000,2000,9,"T_SAND,T_SILT,T_PH_H2O,T_GRAVEL,T_TEB,T_OC,T_ESP,T_CEC_CLAY,T_CEC_SOIL",1834,1615,385,166,0.86225,0.86225,0.917,0.8075,0.826498422712934,0.869400331832188,0.7245,0.88745325
