method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
rf_var,17,1641,10202,1510,12383493,8692,131,0.999288113291247,0.959734608933126,0.920170627666057,0.999298590200195,0.148010194079592,0.255002955332264,0.919469217866252
rf_var,18,112964,165807,47734,12162789,118073,65230,0.985210136079045,0.706472504597233,0.422559399454694,0.990385609739772,0.287888931106648,0.342460298955056,0.412945009194466
rf_var,19,691356,582358,531966,11652078,50392,159390,0.983073669099437,0.88257348767265,0.769453074826862,0.995693900518438,0.913469034511417,0.835298976065271,0.7651469753453
rf_var,20,379965,415505,225925,11824281,189580,154040,0.972274905263314,0.789407066473581,0.594594238943061,0.984219894004101,0.54373593578898,0.568028964008699,0.578814132947161
rf_var,21,599210,517464,382320,11659472,135144,216890,0.971596018856486,0.813290988376149,0.638040086113383,0.988541890638915,0.738834005843885,0.684747741955127,0.626581976752298
rf_var,22,41980,98989,30461,12283318,68528,11519,0.993541381006963,0.860029717739547,0.725607432110529,0.994452003368565,0.307721059915748,0.432165937191865,0.720059435479094
rf_var,23,326806,325709,187728,11929039,137981,139078,0.977645401831525,0.781498991639757,0.574432537958299,0.988565445321214,0.576367248064991,0.575398266706513,0.562997983279514
rf_var,24,845397,694592,540391,11394228,154201,305006,0.962948729472239,0.812931553166546,0.639215658442128,0.986647447890964,0.777997731042108,0.701811506445825,0.625863106333093
rf_var,25,237357,303713,153611,12006367,150102,83746,0.981131895832651,0.817412662069343,0.647172824058275,0.98765250008041,0.5057768353676,0.567804535457519,0.634825324138685
rf_var,26,40896,108821,24271,12268380,84550,16625,0.991836661253756,0.793318247518465,0.593481025039124,0.993155469997806,0.223035994890692,0.324225037904847,0.58663649503693
rf_var,27,859115,726798,634822,11442735,91976,224293,0.974481729854849,0.865475838494607,0.738925522194351,0.992026154794862,0.87345039474517,0.800576071953506,0.730951676989213
rf_var,28,46042,103570,22579,12266793,80991,23463,0.991572094041017,0.74192045843176,0.490400069501759,0.993440847361761,0.218007144926137,0.301834077480416,0.483840916863521
rf_var,29,164338,202464,130071,12157095,72393,34267,0.991394102192495,0.892782539263097,0.791484623154718,0.994080455371476,0.642440137505927,0.709216416486279,0.785565078526194
