zoneID,method,scenario,period,ssp,normal_assigned_area_km2,future_assigned_area_km2,area_change_km2,percent_change,change_direction,rank_gain,rank_loss,rank_absolute_change,zone_name,baseline_definition
6,mf_var,2071-2100SSP245,2071-2100,SSP245,60927.1604043927,150.370315239409,-60776.7900891533,-99.7531965805704,loss,,14,22,Cold-temperate and temperate marshes,normal-period assigned map on the same common-valid cells
25,mf_var,2071-2100SSP245,2071-2100,SSP245,198513.317492664,259229.344973751,60716.0274810871,30.5853673939688,gain,9,,23,Temperate tufted low grass and nano-semi-shrub desert steppes,normal-period assigned map on the same common-valid cells
41,mf_var,2071-2100SSP245,2071-2100,SSP245,100305.136265783,40544.1890727947,-59760.9471929879,-59.5791496007112,loss,,15,24,Temperate grasslands,normal-period assigned map on the same common-valid cells
31,mf_var,2071-2100SSP245,2071-2100,SSP245,524871.316887276,465480.682977371,-59390.6339099057,-11.315275192045,loss,,16,25,Grass and Carex spp. high-cold steppes,normal-period assigned map on the same common-valid cells
33,mf_var,2071-2100SSP245,2071-2100,SSP245,267374.679413435,324583.464976159,57208.7855627242,21.3964858932149,gain,10,,26,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,normal-period assigned map on the same common-valid cells
4,mf_var,2071-2100SSP245,2071-2100,SSP245,59865.7633857221,3071.96728394032,-56793.7961017818,-94.868574106126,loss,,17,27,"Grass, Carex and forb swamp meadows",normal-period assigned map on the same common-valid cells
10,mf_var,2071-2100SSP245,2071-2100,SSP245,118380.956323072,169461.224634375,51080.2683113037,43.1490586812809,gain,11,,28,Needleleaf forests on mountains in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
35,mf_var,2071-2100SSP245,2071-2100,SSP245,48263.3999115136,298.821094504902,-47964.5788170087,-99.380853617746,loss,,18,29,Steppe shrub deserts,normal-period assigned map on the same common-valid cells
14,mf_var,2071-2100SSP245,2071-2100,SSP245,57379.1058545776,9561.64269595536,-47817.4631586222,-83.3360200485025,loss,,19,30,Microphyllous deciduous woodlands in temperate zone,normal-period assigned map on the same common-valid cells
23,mf_var,2071-2100SSP245,2071-2100,SSP245,212618.618755611,258888.853909811,46270.2351542004,21.7620805858891,gain,12,,31,Shrub deserts,normal-period assigned map on the same common-valid cells
9,mf_var,2071-2100SSP245,2071-2100,SSP245,45391.9571038664,1360.60155385866,-44031.3555500077,-97.0025492605544,loss,,20,32,Needleleaf and deciduous broadleaf mixed forests in temperate zone,normal-period assigned map on the same common-valid cells
32,mf_var,2071-2100SSP245,2071-2100,SSP245,73044.9499715972,29266.3918716173,-43778.5580999799,-59.9337231622484,loss,,21,33,Succulent halophytic dwarf semi-shrub deserts,normal-period assigned map on the same common-valid cells
19,mf_var,2071-2100SSP245,2071-2100,SSP245,387321.382399625,427081.71432985,39760.331930225,10.2654626718237,gain,13,,34,No vegetation,normal-period assigned map on the same common-valid cells
44,mf_var,2071-2100SSP245,2071-2100,SSP245,274742.074732915,235802.458305994,-38939.6164269207,-14.1731536623122,loss,,22,35,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
45,mf_var,2071-2100SSP245,2071-2100,SSP245,46253.2545285081,84297.6054878422,38044.3509593341,82.2522681855513,gain,14,,36,Subalpine needleleaf evergreen scrubs,normal-period assigned map on the same common-valid cells
38,mf_var,2071-2100SSP245,2071-2100,SSP245,35331.6927714882,130.008474705796,-35201.6842967824,-99.6320344016726,loss,,23,37,Annual herb deserts,normal-period assigned map on the same common-valid cells
28,mf_var,2071-2100SSP245,2071-2100,SSP245,77051.2998985905,47438.6074319105,-29612.6924666799,-38.4324372277354,loss,,24,38,Broadleaf deciduous forests in subtropical zone,normal-period assigned map on the same common-valid cells
40,mf_var,2071-2100SSP245,2071-2100,SSP245,258095.741330629,231249.275939057,-26846.4653915718,-10.4017467522568,loss,,25,39,Subtropical and tropical grasslands,normal-period assigned map on the same common-valid cells
54,mf_var,2071-2100SSP245,2071-2100,SSP245,19375.4010813882,25.7965872412339,-19349.604494147,-99.8668590800631,loss,,26,40,Tropical mangroves,normal-period assigned map on the same common-valid cells
7,mf_var,2071-2100SSP245,2071-2100,SSP245,167184.881658768,148150.991301695,-19033.8903570731,-11.3849351497716,loss,,27,41,Deciduous scrubs in temperate zone,normal-period assigned map on the same common-valid cells
43,mf_var,2071-2100SSP245,2071-2100,SSP245,17170.5106824452,140.238627441902,-17030.2720550033,-99.1832588439826,loss,,28,42,High-cold marshes,normal-period assigned map on the same common-valid cells
55,mf_var,2071-2100SSP245,2071-2100,SSP245,17353.6329701235,7768.23969451235,-9585.39327561114,-55.2356575255085,loss,,29,43,Tropical monsoon forests,normal-period assigned map on the same common-valid cells
5,mf_var,2071-2100SSP245,2071-2100,SSP245,106859.24957289,97937.4651125069,-8921.78446038321,-8.34909892783548,loss,,30,44,Grass and forb meadows,normal-period assigned map on the same common-valid cells
48,mf_var,2071-2100SSP245,2071-2100,SSP245,7836.15797316011,235.665949931413,-7600.4920232287,-96.9925829629954,loss,,31,45,Subtropical and tropical marshes,normal-period assigned map on the same common-valid cells
49,mf_var,2071-2100SSP245,2071-2100,SSP245,152314.52802756,144734.075599947,-7580.45242761288,-4.9768413596379,loss,,32,46,Broadleaf evergreen forests in subtropical zone,normal-period assigned map on the same common-valid cells
52,mf_var,2071-2100SSP245,2071-2100,SSP245,37584.5641392316,44824.4810197277,7239.91688049612,19.2630060938739,gain,15,,47,Tropical rain forests,normal-period assigned map on the same common-valid cells
34,mf_var,2071-2100SSP245,2071-2100,SSP245,17547.3354933682,11795.0633422588,-5752.27215110937,-32.781456496819,loss,,33,48,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",normal-period assigned map on the same common-valid cells
17,mf_var,2071-2100SSP245,2071-2100,SSP245,5921.18003716098,170.512122612514,-5750.66791454846,-97.1203016705726,loss,,34,49,Alpine tundra,normal-period assigned map on the same common-valid cells
1,mf_var,2071-2100SSP245,2071-2100,SSP245,29367.9552454079,33002.2464199305,3634.29117452256,12.3750228579187,gain,16,,50,One year one ripe fields with cold-tolerant crops of short growth duration,normal-period assigned map on the same common-valid cells
3,mf_var,2071-2100SSP245,2071-2100,SSP245,285858.714718931,282414.815500016,-3443.89921891579,-1.20475572077695,loss,,35,51,Broadleaf deciduous forests in temperate zone,normal-period assigned map on the same common-valid cells
24,mf_var,2071-2100SSP245,2071-2100,SSP245,448414.155928105,445418.012269608,-2996.14365849656,-0.668164378596677,loss,,36,52,Semi-shrub and dwarf semi-shrub deserts,normal-period assigned map on the same common-valid cells
39,mf_var,2071-2100SSP245,2071-2100,SSP245,52943.4709010194,50294.3303113526,-2649.14058966682,-5.0037153676976,loss,,37,53,Sclerophyllous broadleaf evergreen forests in subtropical zone,normal-period assigned map on the same common-valid cells
50,mf_var,2071-2100SSP245,2071-2100,SSP245,13098.451231407,13384.8429303159,286.391698908903,2.18645467200124,gain,17,,54,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
21,mf_var,2011-2040SSP585,2011-2040,SSP585,387821.089449416,692111.759853597,304290.670404181,78.4616099233225,gain,1,,1,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,normal-period assigned map on the same common-valid cells
23,mf_var,2011-2040SSP585,2011-2040,SSP585,212618.618755638,458384.087452033,245765.468696395,115.589815292166,gain,2,,2,Shrub deserts,normal-period assigned map on the same common-valid cells
99,mf_var,2011-2040SSP585,2011-2040,SSP585,0,173887.340623752,173887.340623752,,gain,3,,3,Novel zone,normal-period assigned map on the same common-valid cells
20,mf_var,2011-2040SSP585,2011-2040,SSP585,293024.956879152,149963.815319323,-143061.141559828,-48.8221696484471,loss,,1,4,Alpine sparse vegetation,normal-period assigned map on the same common-valid cells
27,mf_var,2011-2040SSP585,2011-2040,SSP585,485826.009657946,627103.253056755,141277.243398809,29.0798023552255,gain,4,,5,Two years three ripes or one year two ripes grain fields and deciduous orchards,normal-period assigned map on the same common-valid cells
30,mf_var,2011-2040SSP585,2011-2040,SSP585,350328.455343533,230640.822896514,-119687.632447019,-34.1644050380245,loss,,2,6,Needleleaf forests in subtropical zone,normal-period assigned map on the same common-valid cells
2,mf_var,2011-2040SSP585,2011-2040,SSP585,143114.077019822,52123.1014923396,-90990.9755274824,-63.5793329505103,loss,,3,7,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,normal-period assigned map on the same common-valid cells
42,mf_var,2011-2040SSP585,2011-2040,SSP585,179063.794590031,94524.663385558,-84539.1312044731,-47.2117389213305,loss,,4,8,Cushion nano-semi-shrub high-cold deserts,normal-period assigned map on the same common-valid cells
11,mf_var,2011-2040SSP585,2011-2040,SSP585,112618.233713768,41315.9510887809,-71302.2826249868,-63.313266665334,loss,,5,9,Temperate grass and forb meadow steppes,normal-period assigned map on the same common-valid cells
53,mf_var,2011-2040SSP585,2011-2040,SSP585,76787.4420151288,140410.01306836,63622.5710532311,82.8554375345594,gain,5,,10,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,normal-period assigned map on the same common-valid cells
37,mf_var,2011-2040SSP585,2011-2040,SSP585,137754.539140946,74487.2798847666,-63267.2592561796,-45.9275314270744,loss,,6,11,Needleleaf forests in temperate zone,normal-period assigned map on the same common-valid cells
31,mf_var,2011-2040SSP585,2011-2040,SSP585,524871.316887385,583454.640174556,58583.323287171,11.1614640393353,gain,6,,12,Grass and Carex spp. high-cold steppes,normal-period assigned map on the same common-valid cells
19,mf_var,2011-2040SSP585,2011-2040,SSP585,387321.382399607,329306.683087895,-58014.6993117124,-14.9784395977027,loss,,7,13,No vegetation,normal-period assigned map on the same common-valid cells
22,mf_var,2011-2040SSP585,2011-2040,SSP585,68865.409982147,10877.0609241488,-57988.3490579982,-84.2053348306956,loss,,8,14,Alpine cushion vegetation,normal-period assigned map on the same common-valid cells
26,mf_var,2011-2040SSP585,2011-2040,SSP585,82250.9422070031,24727.629283618,-57523.3129233851,-69.9363574202161,loss,,9,15,Bamboo forests and scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
33,mf_var,2011-2040SSP585,2011-2040,SSP585,267374.679413465,324716.587180778,57341.9077673129,21.446274528726,gain,7,,16,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,normal-period assigned map on the same common-valid cells
13,mf_var,2011-2040SSP585,2011-2040,SSP585,344890.410320989,296484.344398683,-48406.0659223054,-14.0352020449783,loss,,10,17,Temperate tufted grass steppes,normal-period assigned map on the same common-valid cells
35,mf_var,2011-2040SSP585,2011-2040,SSP585,48263.3999115143,2202.30733270418,-46061.0925788101,-95.4368997278644,loss,,11,18,Steppe shrub deserts,normal-period assigned map on the same common-valid cells
36,mf_var,2011-2040SSP585,2011-2040,SSP585,100690.348914119,55198.8616634678,-45491.4872506507,-45.1795904386543,loss,,12,19,Broadleaf evergreen and deciduous mixed forests in subtropical zone,normal-period assigned map on the same common-valid cells
44,mf_var,2011-2040SSP585,2011-2040,SSP585,274742.074732914,233336.373547497,-41405.7011854173,-15.0707536243472,loss,,13,20,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
9,mf_var,2011-2040SSP585,2011-2040,SSP585,45391.957103866,4888.7911516013,-40503.1659522647,-89.2298295479643,loss,,14,21,Needleleaf and deciduous broadleaf mixed forests in temperate zone,normal-period assigned map on the same common-valid cells
15,mf_var,2011-2040SSP585,2011-2040,SSP585,162518.920774714,200545.591286115,38026.6705114016,23.3983036129773,gain,8,,22,Grass and forb halophytic meadows,normal-period assigned map on the same common-valid cells
12,mf_var,2011-2040SSP585,2011-2040,SSP585,212435.092758797,245719.299830645,33284.2070718482,15.6679419768182,gain,9,,23,One year one ripe grain fields and cold-tolerant economic crop fields,normal-period assigned map on the same common-valid cells
29,mf_var,2011-2040SSP585,2011-2040,SSP585,125597.18518488,93815.8671494068,-31781.318035473,-25.3041642523204,loss,,15,24,Dwarf semi-arboreous deserts,normal-period assigned map on the same common-valid cells
45,mf_var,2011-2040SSP585,2011-2040,SSP585,46253.2545285079,77163.7065788683,30910.4520503603,66.8287072238535,gain,10,,25,Subalpine needleleaf evergreen scrubs,normal-period assigned map on the same common-valid cells
38,mf_var,2011-2040SSP585,2011-2040,SSP585,35331.6927714885,4551.77233496303,-30779.9204365255,-87.1170272978368,loss,,16,26,Annual herb deserts,normal-period assigned map on the same common-valid cells
14,mf_var,2011-2040SSP585,2011-2040,SSP585,57379.1058545774,27979.6625546568,-29399.4432999206,-51.2371931595293,loss,,17,27,Microphyllous deciduous woodlands in temperate zone,normal-period assigned map on the same common-valid cells
47,mf_var,2011-2040SSP585,2011-2040,SSP585,264618.071817955,293534.59652017,28916.5247022144,10.927645456546,gain,11,,28,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,normal-period assigned map on the same common-valid cells
4,mf_var,2011-2040SSP585,2011-2040,SSP585,59865.7633857226,33088.2979242776,-26777.4654614451,-44.7291806652736,loss,,18,29,"Grass, Carex and forb swamp meadows",normal-period assigned map on the same common-valid cells
18,mf_var,2011-2040SSP585,2011-2040,SSP585,115838.608673574,139695.600333465,23856.9916598906,20.5950260738353,gain,12,,30,Subalpine broadleaf deciduous scrubs,normal-period assigned map on the same common-valid cells
46,mf_var,2011-2040SSP585,2011-2040,SSP585,130331.838517478,153742.947139199,23411.1086217213,17.9626934508269,gain,13,,31,Subalpine sclerophyllous broadleaf evergreen scrubs,normal-period assigned map on the same common-valid cells
49,mf_var,2011-2040SSP585,2011-2040,SSP585,152314.528027567,129709.720068587,-22604.8079589798,-14.8408745060016,loss,,19,32,Broadleaf evergreen forests in subtropical zone,normal-period assigned map on the same common-valid cells
6,mf_var,2011-2040SSP585,2011-2040,SSP585,60927.1604043918,40684.3745469827,-20242.7858574091,-33.2245680301719,loss,,20,33,Cold-temperate and temperate marshes,normal-period assigned map on the same common-valid cells
24,mf_var,2011-2040SSP585,2011-2040,SSP585,448414.155928066,428597.68892597,-19816.4670020963,-4.41923314420859,loss,,21,34,Semi-shrub and dwarf semi-shrub deserts,normal-period assigned map on the same common-valid cells
5,mf_var,2011-2040SSP585,2011-2040,SSP585,106859.249572888,126244.18682849,19384.9372556021,18.1406264156664,gain,14,,35,Grass and forb meadows,normal-period assigned map on the same common-valid cells
54,mf_var,2011-2040SSP585,2011-2040,SSP585,19375.4010813891,636.469213153095,-18738.931868236,-96.7150656108768,loss,,22,36,Tropical mangroves,normal-period assigned map on the same common-valid cells
41,mf_var,2011-2040SSP585,2011-2040,SSP585,100305.136265783,83427.232878708,-16877.9033870747,-16.8265594519035,loss,,23,37,Temperate grasslands,normal-period assigned map on the same common-valid cells
16,mf_var,2011-2040SSP585,2011-2040,SSP585,502190.587346704,517717.104307524,15526.5169608202,3.09175786086587,gain,15,,38,Kobresia spp. and forb high-cold meadows,normal-period assigned map on the same common-valid cells
10,mf_var,2011-2040SSP585,2011-2040,SSP585,118380.956323065,133060.507099389,14679.5507763235,12.4002637183151,gain,16,,39,Needleleaf forests on mountains in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
43,mf_var,2011-2040SSP585,2011-2040,SSP585,17170.5106824452,2771.7074345711,-14398.8032478741,-83.8577460750492,loss,,24,40,High-cold marshes,normal-period assigned map on the same common-valid cells
25,mf_var,2011-2040SSP585,2011-2040,SSP585,198513.317492661,184807.015195805,-13706.3022968567,-6.90447495914897,loss,,25,41,Temperate tufted low grass and nano-semi-shrub desert steppes,normal-period assigned map on the same common-valid cells
28,mf_var,2011-2040SSP585,2011-2040,SSP585,77051.2998985895,64889.8665803377,-12161.4333182517,-15.7835537288247,loss,,26,42,Broadleaf deciduous forests in subtropical zone,normal-period assigned map on the same common-valid cells
32,mf_var,2011-2040SSP585,2011-2040,SSP585,73044.9499715955,63841.2209501269,-9203.72902146861,-12.6000894312989,loss,,27,43,Succulent halophytic dwarf semi-shrub deserts,normal-period assigned map on the same common-valid cells
7,mf_var,2011-2040SSP585,2011-2040,SSP585,167184.881658756,159210.972768276,-7973.90889047977,-4.76951552757949,loss,,28,44,Deciduous scrubs in temperate zone,normal-period assigned map on the same common-valid cells
48,mf_var,2011-2040SSP585,2011-2040,SSP585,7836.15797316012,996.215078448868,-6839.94289471125,-87.2869449306531,loss,,29,45,Subtropical and tropical marshes,normal-period assigned map on the same common-valid cells
52,mf_var,2011-2040SSP585,2011-2040,SSP585,37584.5641392324,31285.0502879496,-6299.51385128278,-16.7609070254112,loss,,30,46,Tropical rain forests,normal-period assigned map on the same common-valid cells
39,mf_var,2011-2040SSP585,2011-2040,SSP585,52943.4709010211,57560.3113765761,4616.84047555499,8.72032074396156,gain,17,,47,Sclerophyllous broadleaf evergreen forests in subtropical zone,normal-period assigned map on the same common-valid cells
17,mf_var,2011-2040SSP585,2011-2040,SSP585,5921.18003716104,1316.96206346817,-4604.21797369287,-77.7584526191912,loss,,31,48,Alpine tundra,normal-period assigned map on the same common-valid cells
55,mf_var,2011-2040SSP585,2011-2040,SSP585,17353.6329701232,13012.7896118079,-4340.84335831528,-25.0140323112093,loss,,32,49,Tropical monsoon forests,normal-period assigned map on the same common-valid cells
1,mf_var,2011-2040SSP585,2011-2040,SSP585,29367.9552454079,25331.6563954539,-4036.29884995402,-13.7438879085228,loss,,33,50,One year one ripe fields with cold-tolerant crops of short growth duration,normal-period assigned map on the same common-valid cells
34,mf_var,2011-2040SSP585,2011-2040,SSP585,17547.3354933682,13793.9014934144,-3753.43399995377,-21.3903358796117,loss,,34,51,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",normal-period assigned map on the same common-valid cells
3,mf_var,2011-2040SSP585,2011-2040,SSP585,285858.714718936,283092.671954751,-2766.042764185,-0.967625831139918,loss,,35,52,Broadleaf deciduous forests in temperate zone,normal-period assigned map on the same common-valid cells
40,mf_var,2011-2040SSP585,2011-2040,SSP585,258095.741330646,255330.660812868,-2765.08051777771,-1.07133907112221,loss,,36,53,Subtropical and tropical grasslands,normal-period assigned map on the same common-valid cells
50,mf_var,2011-2040SSP585,2011-2040,SSP585,13098.451231407,13827.0170092939,728.565777886955,5.56222842697637,gain,18,,54,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
21,mf_var,2041-2070SSP585,2041-2070,SSP585,387821.089449475,1080251.13052284,692430.041073364,178.543679008352,gain,1,,1,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,normal-period assigned map on the same common-valid cells
99,mf_var,2041-2070SSP585,2041-2070,SSP585,0,465879.338590965,465879.338590965,,gain,2,,2,Novel zone,normal-period assigned map on the same common-valid cells
30,mf_var,2041-2070SSP585,2041-2070,SSP585,350328.455343437,123706.573549134,-226621.881794303,-64.6884026512032,loss,,1,3,Needleleaf forests in subtropical zone,normal-period assigned map on the same common-valid cells
27,mf_var,2041-2070SSP585,2041-2070,SSP585,485826.009657931,689631.712698854,203805.703040923,41.950348270654,gain,3,,4,Two years three ripes or one year two ripes grain fields and deciduous orchards,normal-period assigned map on the same common-valid cells
20,mf_var,2041-2070SSP585,2041-2070,SSP585,293024.956879147,89853.9550875291,-203171.001791618,-69.3357330227037,loss,,2,5,Alpine sparse vegetation,normal-period assigned map on the same common-valid cells
47,mf_var,2041-2070SSP585,2041-2070,SSP585,264618.07181795,103164.601797118,-161453.470020832,-61.0137731378784,loss,,3,6,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,normal-period assigned map on the same common-valid cells
13,mf_var,2041-2070SSP585,2041-2070,SSP585,344890.410320982,202033.141508146,-142857.268812836,-41.4210614554003,loss,,4,7,Temperate tufted grass steppes,normal-period assigned map on the same common-valid cells
42,mf_var,2041-2070SSP585,2041-2070,SSP585,179063.794590045,36948.4435152015,-142115.351074843,-79.3657653688214,loss,,5,8,Cushion nano-semi-shrub high-cold deserts,normal-period assigned map on the same common-valid cells
53,mf_var,2041-2070SSP585,2041-2070,SSP585,76787.4420151264,211798.971177338,135011.529162211,175.825012032066,gain,4,,9,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,normal-period assigned map on the same common-valid cells
2,mf_var,2041-2070SSP585,2041-2070,SSP585,143114.077019812,23346.5401417594,-119767.536878053,-83.6867618979736,loss,,6,10,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,normal-period assigned map on the same common-valid cells
16,mf_var,2041-2070SSP585,2041-2070,SSP585,502190.587346845,383694.587805729,-118495.999541116,-23.5958224878626,loss,,7,11,Kobresia spp. and forb high-cold meadows,normal-period assigned map on the same common-valid cells
18,mf_var,2041-2070SSP585,2041-2070,SSP585,115838.60867357,227545.332690464,111706.724016894,96.4330677793969,gain,5,,12,Subalpine broadleaf deciduous scrubs,normal-period assigned map on the same common-valid cells
15,mf_var,2041-2070SSP585,2041-2070,SSP585,162518.920774715,267562.491428434,105043.570653719,64.6346715526932,gain,6,,13,Grass and forb halophytic meadows,normal-period assigned map on the same common-valid cells
37,mf_var,2041-2070SSP585,2041-2070,SSP585,137754.53914093,36157.4440670742,-101597.095073856,-73.752266682056,loss,,8,14,Needleleaf forests in temperate zone,normal-period assigned map on the same common-valid cells
12,mf_var,2041-2070SSP585,2041-2070,SSP585,212435.092758766,307936.208517764,95501.1157589981,44.9554329836859,gain,7,,15,One year one ripe grain fields and cold-tolerant economic crop fields,normal-period assigned map on the same common-valid cells
46,mf_var,2041-2070SSP585,2041-2070,SSP585,130331.838517488,225411.17216293,95079.3336454417,72.9517320763366,gain,8,,16,Subalpine sclerophyllous broadleaf evergreen scrubs,normal-period assigned map on the same common-valid cells
26,mf_var,2041-2070SSP585,2041-2070,SSP585,82250.9422070029,7663.22017023751,-74587.7220367654,-90.6831217192001,loss,,9,17,Bamboo forests and scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
29,mf_var,2041-2070SSP585,2041-2070,SSP585,125597.185184871,58567.1250760984,-67030.0601087725,-53.3690783038717,loss,,10,18,Dwarf semi-arboreous deserts,normal-period assigned map on the same common-valid cells
22,mf_var,2041-2070SSP585,2041-2070,SSP585,68865.4099821472,2545.53158817757,-66319.8783939696,-96.3036136881528,loss,,11,19,Alpine cushion vegetation,normal-period assigned map on the same common-valid cells
33,mf_var,2041-2070SSP585,2041-2070,SSP585,267374.679413428,329724.568947106,62349.8895336785,23.3192947329429,gain,9,,20,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,normal-period assigned map on the same common-valid cells
36,mf_var,2041-2070SSP585,2041-2070,SSP585,100690.348914117,38770.4449486278,-61919.9039654892,-61.4953713372304,loss,,12,21,Broadleaf evergreen and deciduous mixed forests in subtropical zone,normal-period assigned map on the same common-valid cells
6,mf_var,2041-2070SSP585,2041-2070,SSP585,60927.1604043931,181.903420306444,-60745.2569840866,-99.7014411649926,loss,,13,22,Cold-temperate and temperate marshes,normal-period assigned map on the same common-valid cells
11,mf_var,2041-2070SSP585,2041-2070,SSP585,112618.233713769,51910.8553241515,-60707.3783896174,-53.9054612984888,loss,,14,23,Temperate grass and forb meadow steppes,normal-period assigned map on the same common-valid cells
23,mf_var,2041-2070SSP585,2041-2070,SSP585,212618.618755602,269003.79631654,56385.1775609378,26.5193979205324,gain,10,,24,Shrub deserts,normal-period assigned map on the same common-valid cells
4,mf_var,2041-2070SSP585,2041-2070,SSP585,59865.7633857225,3527.81638142903,-56337.9470042935,-94.1071220311702,loss,,15,25,"Grass, Carex and forb swamp meadows",normal-period assigned map on the same common-valid cells
41,mf_var,2041-2070SSP585,2041-2070,SSP585,100305.136265782,47442.0154025809,-52863.1208632015,-52.7023070116051,loss,,16,26,Temperate grasslands,normal-period assigned map on the same common-valid cells
44,mf_var,2041-2070SSP585,2041-2070,SSP585,274742.074732919,223031.570215943,-51710.5045169756,-18.8214726729585,loss,,17,27,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
25,mf_var,2041-2070SSP585,2041-2070,SSP585,198513.317492661,249456.865768313,50943.5482756513,25.6625343423292,gain,11,,28,Temperate tufted low grass and nano-semi-shrub desert steppes,normal-period assigned map on the same common-valid cells
10,mf_var,2041-2070SSP585,2041-2070,SSP585,118380.956323073,166744.341216617,48363.3848935436,40.8540244949155,gain,12,,29,Needleleaf forests on mountains in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
35,mf_var,2041-2070SSP585,2041-2070,SSP585,48263.3999115143,353.607870054073,-47909.7920414603,-99.2673374219338,loss,,18,30,Steppe shrub deserts,normal-period assigned map on the same common-valid cells
14,mf_var,2041-2070SSP585,2041-2070,SSP585,57379.1058545783,10223.2610692526,-47155.8447853256,-82.182955072248,loss,,19,31,Microphyllous deciduous woodlands in temperate zone,normal-period assigned map on the same common-valid cells
45,mf_var,2041-2070SSP585,2041-2070,SSP585,46253.2545285078,92368.5455287573,46115.2910002495,99.7017214687601,gain,13,,32,Subalpine needleleaf evergreen scrubs,normal-period assigned map on the same common-valid cells
31,mf_var,2041-2070SSP585,2041-2070,SSP585,524871.316887397,479234.679547292,-45636.6373401053,-8.69482402100778,loss,,20,33,Grass and Carex spp. high-cold steppes,normal-period assigned map on the same common-valid cells
9,mf_var,2041-2070SSP585,2041-2070,SSP585,45391.9571038672,1414.77219047076,-43977.1849133964,-96.8832095359241,loss,,21,34,Needleleaf and deciduous broadleaf mixed forests in temperate zone,normal-period assigned map on the same common-valid cells
32,mf_var,2041-2070SSP585,2041-2070,SSP585,73044.9499715974,30814.7551333844,-42230.194838213,-57.8139828347253,loss,,22,35,Succulent halophytic dwarf semi-shrub deserts,normal-period assigned map on the same common-valid cells
38,mf_var,2041-2070SSP585,2041-2070,SSP585,35331.6927714881,289.841144552746,-35041.8516269353,-99.1796567845551,loss,,23,36,Annual herb deserts,normal-period assigned map on the same common-valid cells
3,mf_var,2041-2070SSP585,2041-2070,SSP585,285858.714718932,254872.376314652,-30986.3384042805,-10.8397389370296,loss,,24,37,Broadleaf deciduous forests in temperate zone,normal-period assigned map on the same common-valid cells
28,mf_var,2041-2070SSP585,2041-2070,SSP585,77051.2998985894,47754.2953775886,-29297.0045210008,-38.0227258457156,loss,,25,38,Broadleaf deciduous forests in subtropical zone,normal-period assigned map on the same common-valid cells
19,mf_var,2041-2070SSP585,2041-2070,SSP585,387321.382399614,412976.972537314,25655.5901376998,6.62385070990735,gain,14,,39,No vegetation,normal-period assigned map on the same common-valid cells
40,mf_var,2041-2070SSP585,2041-2070,SSP585,258095.741330624,237175.333581377,-20920.4077492472,-8.10567723488621,loss,,26,40,Subtropical and tropical grasslands,normal-period assigned map on the same common-valid cells
54,mf_var,2041-2070SSP585,2041-2070,SSP585,19375.4010813882,37.9514439896493,-19337.4496373985,-99.8041256341986,loss,,27,41,Tropical mangroves,normal-period assigned map on the same common-valid cells
7,mf_var,2041-2070SSP585,2041-2070,SSP585,167184.881658768,150009.579498456,-17175.3021603122,-10.2732388179499,loss,,28,42,Deciduous scrubs in temperate zone,normal-period assigned map on the same common-valid cells
43,mf_var,2041-2070SSP585,2041-2070,SSP585,17170.5106824451,164.47345962861,-17006.0372228165,-99.0421166692685,loss,,29,43,High-cold marshes,normal-period assigned map on the same common-valid cells
49,mf_var,2041-2070SSP585,2041-2070,SSP585,152314.528027562,135794.622109808,-16519.9059177536,-10.8459160998511,loss,,30,44,Broadleaf evergreen forests in subtropical zone,normal-period assigned map on the same common-valid cells
55,mf_var,2041-2070SSP585,2041-2070,SSP585,17353.6329701235,6839.19507970208,-10514.4378904214,-60.5892605227008,loss,,31,45,Tropical monsoon forests,normal-period assigned map on the same common-valid cells
5,mf_var,2041-2070SSP585,2041-2070,SSP585,106859.24957289,115278.240993929,8418.99142103893,7.87857995886093,gain,15,,46,Grass and forb meadows,normal-period assigned map on the same common-valid cells
