source_zone,method,scenario,period,ssp,source_area_km2,novel_area_km2,novel_share_of_source,rank_by_novel_area,rank_by_novel_share,zone_name
1,rf_var,2071-2100SSP585,2071-2100,SSP585,29364.8407776136,4902.54767013861,0.16695297983281,29,19,One year one ripe fields with cold-tolerant crops of short growth duration
47,rf_var,2071-2100SSP585,2071-2100,SSP585,266275.522189318,4652.25553085094,0.0174715854187425,30,40,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations
20,rf_var,2071-2100SSP585,2071-2100,SSP585,293806.225048201,3503.87264296507,0.0119257944326749,31,45,Alpine sparse vegetation
49,rf_var,2071-2100SSP585,2071-2100,SSP585,151601.336740612,3122.60161559282,0.020597454367672,32,38,Broadleaf evergreen forests in subtropical zone
10,rf_var,2071-2100SSP585,2071-2100,SSP585,118901.276657666,3121.64617746565,0.0262541014294853,33,34,Needleleaf forests on mountains in subtropical and tropical zones
9,rf_var,2071-2100SSP585,2071-2100,SSP585,45209.0823661878,3113.68304155222,0.0688729538089666,34,29,Needleleaf and deciduous broadleaf mixed forests in temperate zone
39,rf_var,2071-2100SSP585,2071-2100,SSP585,52664.1393994247,2785.9310700718,0.0528999638433707,35,31,Sclerophyllous broadleaf evergreen forests in subtropical zone
46,rf_var,2071-2100SSP585,2071-2100,SSP585,129553.110410286,2053.27202670735,0.0158488825177934,36,41,Subalpine sclerophyllous broadleaf evergreen scrubs
43,rf_var,2071-2100SSP585,2071-2100,SSP585,16783.3114665699,1948.34010537792,0.116087943029524,37,25,High-cold marshes
19,rf_var,2071-2100SSP585,2071-2100,SSP585,386966.684471289,1794.38837486162,0.00463706165638854,38,47,No vegetation
50,rf_var,2071-2100SSP585,2071-2100,SSP585,13051.606977689,985.149319806428,0.0754810745903158,39,28,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones
21,rf_var,2071-2100SSP585,2071-2100,SSP585,388739.31101294,845.792280667106,0.00217573128496632,40,51,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
17,rf_var,2071-2100SSP585,2071-2100,SSP585,5940.17111927841,804.952611191532,0.135510003841323,41,22,Alpine tundra
44,rf_var,2071-2100SSP585,2071-2100,SSP585,275169.24743244,722.713288167427,0.0026264318956822,42,50,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones
48,rf_var,2071-2100SSP585,2071-2100,SSP585,7672.97278911418,697.079228719757,0.0908486512175202,43,27,Subtropical and tropical marshes
45,rf_var,2071-2100SSP585,2071-2100,SSP585,45423.1558171277,664.385362265079,0.0146265786758603,44,42,Subalpine needleleaf evergreen scrubs
38,rf_var,2071-2100SSP585,2071-2100,SSP585,35504.4926499843,629.573513309204,0.0177322210886313,45,39,Annual herb deserts
34,rf_var,2071-2100SSP585,2071-2100,SSP585,17434.5163628958,427.342360546934,0.0245112827710211,46,37,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone"
40,rf_var,2071-2100SSP585,2071-2100,SSP585,256176.67842614,419.064763026551,0.00163584275352908,47,52,Subtropical and tropical grasslands
26,rf_var,2071-2100SSP585,2071-2100,SSP585,82135.6445600168,355.493563971963,0.00432812776811172,48,48,Bamboo forests and scrubs in subtropical and tropical zones
30,rf_var,2071-2100SSP585,2071-2100,SSP585,351150.132687122,331.024515181147,0.000942686572971034,49,53,Needleleaf forests in subtropical zone
54,rf_var,2071-2100SSP585,2071-2100,SSP585,19295.7856753854,267.367530430975,0.0138562655560609,50,43,Tropical mangroves
52,rf_var,2071-2100SSP585,2071-2100,SSP585,37456.7833352842,262.712785948805,0.00701375725718898,51,46,Tropical rain forests
53,rf_var,2071-2100SSP585,2071-2100,SSP585,76651.00332342,250.782256001067,0.00327174133576465,52,49,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
55,rf_var,2071-2100SSP585,2071-2100,SSP585,17371.5161680526,221.38029229499,0.0127438670380495,53,44,Tropical monsoon forests
