method,method_label,scenario,period,ssp,baseline,rank_cutoff,rank_label,criterion,common_valid_pixels,common_valid_area_km2,stable_top1_pixels,stable_top1_area_km2,changed_nonretained_pixels,changed_nonretained_area_km2,novel_pixels,novel_area_km2,pixel_count,pixel_share,area_km2,area_share,novel_pixel_share,novel_area_share
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map,3,Top-3,normal_period_top1_not_retained_within_future_top3_including_novel,12393866,8501128.01140072,2924351,2029738.9838648,4206958,2904519.69898616,1487186,964430.4820925,5694144,0.459432432140222,3868950.18107866,0.455110213125843,0.119993713019005,0.113447354374516
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map,3,Top-3,normal_period_top1_not_retained_within_future_top3_including_novel,12393866,8501128.01140122,6454236,4469693.04235304,1549735,1042831.20173283,248602,165913.158567589,1798337,0.145098954595765,1208744.36030042,0.14218634970316,0.0200584708596979,0.0195166051311162
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map,3,Top-3,normal_period_top1_not_retained_within_future_top3_including_novel,12393866,8501128.01140115,6278154,4348596.22072822,1660140,1118385.13043476,261179,173998.759846359,1921319,0.155021766412514,1292383.89028112,0.1520249887483,0.0210732470401084,0.0204677261197577
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map,3,Top-3,normal_period_top1_not_retained_within_future_top3_including_novel,12393866,8501128.0114009,4996503,3463143.56797762,2611871,1767691.04964552,483232,324138.447735851,3095103,0.249728615752341,2091829.49738137,0.246064933333083,0.0389896098602325,0.0381288750505989
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map,3,Top-3,normal_period_top1_not_retained_within_future_top3_including_novel,12393866,8501128.01140083,4393506,3042856.30673635,3193651,2174183.18014189,707603,471850.032385571,3901254,0.314772969144575,2646033.21252746,0.311256718988219,0.0570930006827571,0.0555044026807707
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map,3,Top-3,normal_period_top1_not_retained_within_future_top3_including_novel,12393866,8501128.01140077,4297368,2976067.54819767,3298980,2249875.40744194,728243,486365.094333498,4027223,0.324936787278481,2736240.50177544,0.321867933067929,0.0587583406178508,0.0572118304395886
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map,3,Top-3,normal_period_top1_not_retained_within_future_top3_including_novel,12393866,8501128.01140069,2968701,2060359.89308264,4273446,2948759.80249197,1398251,909403.968640694,5671697,0.457621294275733,3858163.77113266,0.453841392102149,0.112817985929491,0.106974505903347
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.01140123,6430715,4455416.62242213,428520,283091.821308001,249247,167348.25347421,677767,0.0546856808037137,450440.074782211,0.0529859183602584,0.0201105127326695,0.0196854174234022
mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.01140112,6247237,4329140.03548446,467565,310160.72348413,259600,173887.340623752,727165,0.0586713621076749,484048.064107882,0.0569392748184371,0.0209458453076708,0.0204546197152362
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.01140086,4952848,3433017.10856836,911142,610811.092082888,472144,318098.419526512,1383286,0.111610533791474,928909.5116094,0.109268971172254,0.0380949737555659,0.0374183777846787
mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.0114008,4314359,2989195.36262071,1189139,801036.047874442,696893,465879.338590957,1886032,0.152174632193054,1266915.3864654,0.149029091758923,0.0562288635362041,0.0548020613224703
mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.01140075,4221299,2923725.9173168,1253773,845664.282072207,713319,477493.362249836,1967092,0.158714964321867,1323157.64432204,0.155644950005173,0.0575541965678829,0.05616823574583
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.01140072,2924351,2029738.9838648,1909265,1304290.10475867,1487186,964430.4820925,3396451,0.274042901545006,2268720.58685117,0.266872888375358,0.119993713019005,0.113447354374516
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.01140122,6454236,4469693.04235304,436502,288394.777972535,248602,165913.158567589,685104,0.0552776671944008,454307.936540124,0.053440900540591,0.0200584708596979,0.0195166051311162
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.01140115,6278154,4348596.22072822,484072,321132.766927819,261179,173998.759846359,745251,0.0601306323628156,495131.526774178,0.0582430385838374,0.0210732470401084,0.0204677261197577
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.0114009,4996503,3463143.56797762,909151,608786.143685261,483232,324138.447735851,1392383,0.112344525913061,932924.591421112,0.109741270825467,0.0389896098602325,0.0381288750505989
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.01140083,4393506,3042856.30673635,1184668,796727.410557631,707603,471850.032385571,1892271,0.152678026372078,1268577.4429432,0.14922460186953,0.0570930006827571,0.0555044026807707
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.01140077,4297368,2976067.54819767,1247806,840490.465346247,728243,486365.094333498,1976049,0.159437660533041,1326855.55967974,0.156079941144318,0.0587583406178508,0.0572118304395886
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map,5,Top-5,normal_period_top1_not_retained_within_future_top5_including_novel,12393866,8501128.01140069,2968701,2060359.89308264,1915564,1308041.01804657,1398251,909403.968640694,3313815,0.267375409738979,2217444.98668726,0.26084126526662,0.112817985929491,0.106974505903347
