original_zone,predicted_zone,n,method,method_label,rank_cutoff
4,11,5995,rf_var,Plain RF,1
4,12,3543,rf_var,Plain RF,1
4,13,6325,rf_var,Plain RF,1
4,14,1959,rf_var,Plain RF,1
4,15,1580,rf_var,Plain RF,1
4,16,718,rf_var,Plain RF,1
4,17,321,rf_var,Plain RF,1
4,18,91,rf_var,Plain RF,1
4,19,32,rf_var,Plain RF,1
4,20,206,rf_var,Plain RF,1
4,21,157,rf_var,Plain RF,1
4,22,282,rf_var,Plain RF,1
4,23,111,rf_var,Plain RF,1
4,24,1,rf_var,Plain RF,1
4,25,299,rf_var,Plain RF,1
4,26,26,rf_var,Plain RF,1
4,27,1475,rf_var,Plain RF,1
4,28,8,rf_var,Plain RF,1
4,29,5,rf_var,Plain RF,1
4,30,106,rf_var,Plain RF,1
4,31,13,rf_var,Plain RF,1
4,32,3,rf_var,Plain RF,1
4,33,120,rf_var,Plain RF,1
4,34,5,rf_var,Plain RF,1
4,35,16,rf_var,Plain RF,1
4,36,8,rf_var,Plain RF,1
4,37,7,rf_var,Plain RF,1
4,38,5,rf_var,Plain RF,1
4,39,52,rf_var,Plain RF,1
4,40,5,rf_var,Plain RF,1
4,41,5,rf_var,Plain RF,1
4,42,8,rf_var,Plain RF,1
4,43,7,rf_var,Plain RF,1
4,44,3,rf_var,Plain RF,1
4,45,12,rf_var,Plain RF,1
4,46,6,rf_var,Plain RF,1
4,47,3,rf_var,Plain RF,1
4,48,147,rf_var,Plain RF,1
4,49,4,rf_var,Plain RF,1
4,50,62,rf_var,Plain RF,1
4,52,5,rf_var,Plain RF,1
4,53,8,rf_var,Plain RF,1
4,54,8,rf_var,Plain RF,1
4,55,6,rf_var,Plain RF,1
5,1,2761,rf_var,Plain RF,1
5,2,14320,rf_var,Plain RF,1
5,3,16549,rf_var,Plain RF,1
5,4,3971,rf_var,Plain RF,1
5,5,73803,rf_var,Plain RF,1
5,6,4470,rf_var,Plain RF,1
5,7,4409,rf_var,Plain RF,1
5,9,519,rf_var,Plain RF,1
5,10,3806,rf_var,Plain RF,1
5,11,9422,rf_var,Plain RF,1
5,12,13422,rf_var,Plain RF,1
5,13,6903,rf_var,Plain RF,1
5,14,2528,rf_var,Plain RF,1
5,15,2075,rf_var,Plain RF,1
5,16,3037,rf_var,Plain RF,1
5,17,596,rf_var,Plain RF,1
5,18,607,rf_var,Plain RF,1
5,19,12,rf_var,Plain RF,1
5,20,781,rf_var,Plain RF,1
5,21,1282,rf_var,Plain RF,1
5,22,690,rf_var,Plain RF,1
5,23,113,rf_var,Plain RF,1
5,24,1054,rf_var,Plain RF,1
5,25,1167,rf_var,Plain RF,1
5,26,1110,rf_var,Plain RF,1
5,27,2996,rf_var,Plain RF,1
5,28,348,rf_var,Plain RF,1
5,29,75,rf_var,Plain RF,1
5,30,272,rf_var,Plain RF,1
5,31,73,rf_var,Plain RF,1
5,32,69,rf_var,Plain RF,1
5,33,2576,rf_var,Plain RF,1
5,34,365,rf_var,Plain RF,1
5,35,126,rf_var,Plain RF,1
5,36,1333,rf_var,Plain RF,1
5,37,361,rf_var,Plain RF,1
5,38,11,rf_var,Plain RF,1
5,39,1977,rf_var,Plain RF,1
5,40,960,rf_var,Plain RF,1
5,41,2210,rf_var,Plain RF,1
5,42,204,rf_var,Plain RF,1
5,43,10,rf_var,Plain RF,1
5,44,1475,rf_var,Plain RF,1
5,45,368,rf_var,Plain RF,1
5,46,2542,rf_var,Plain RF,1
5,47,1772,rf_var,Plain RF,1
5,48,13,rf_var,Plain RF,1
5,49,849,rf_var,Plain RF,1
5,50,38,rf_var,Plain RF,1
5,52,11,rf_var,Plain RF,1
5,53,7,rf_var,Plain RF,1
5,54,6,rf_var,Plain RF,1
5,55,9,rf_var,Plain RF,1
6,1,208,rf_var,Plain RF,1
6,2,12019,rf_var,Plain RF,1
6,3,4740,rf_var,Plain RF,1
6,4,2848,rf_var,Plain RF,1
6,5,1344,rf_var,Plain RF,1
6,6,50588,rf_var,Plain RF,1
6,7,446,rf_var,Plain RF,1
6,9,336,rf_var,Plain RF,1
6,10,108,rf_var,Plain RF,1
6,11,2801,rf_var,Plain RF,1
6,12,5021,rf_var,Plain RF,1
6,13,176,rf_var,Plain RF,1
6,14,50,rf_var,Plain RF,1
6,15,1254,rf_var,Plain RF,1
6,16,54,rf_var,Plain RF,1
6,17,17,rf_var,Plain RF,1
6,18,95,rf_var,Plain RF,1
6,19,25,rf_var,Plain RF,1
6,20,11,rf_var,Plain RF,1
6,21,1633,rf_var,Plain RF,1
6,22,106,rf_var,Plain RF,1
6,23,323,rf_var,Plain RF,1
6,24,1057,rf_var,Plain RF,1
6,25,741,rf_var,Plain RF,1
6,26,47,rf_var,Plain RF,1
6,27,2358,rf_var,Plain RF,1
6,28,66,rf_var,Plain RF,1
6,29,70,rf_var,Plain RF,1
6,30,313,rf_var,Plain RF,1
6,31,205,rf_var,Plain RF,1
6,32,11,rf_var,Plain RF,1
6,33,139,rf_var,Plain RF,1
6,34,12,rf_var,Plain RF,1
6,35,13,rf_var,Plain RF,1
6,36,14,rf_var,Plain RF,1
6,37,273,rf_var,Plain RF,1
6,38,15,rf_var,Plain RF,1
6,39,25,rf_var,Plain RF,1
6,40,14,rf_var,Plain RF,1
6,41,15,rf_var,Plain RF,1
6,42,116,rf_var,Plain RF,1
6,43,72,rf_var,Plain RF,1
6,44,13,rf_var,Plain RF,1
6,45,9,rf_var,Plain RF,1
6,46,11,rf_var,Plain RF,1
6,47,248,rf_var,Plain RF,1
6,48,28,rf_var,Plain RF,1
6,49,149,rf_var,Plain RF,1
6,50,18,rf_var,Plain RF,1
6,52,10,rf_var,Plain RF,1
6,53,12,rf_var,Plain RF,1
6,54,5,rf_var,Plain RF,1
6,55,12,rf_var,Plain RF,1
7,1,1008,rf_var,Plain RF,1
7,2,3328,rf_var,Plain RF,1
7,3,21428,rf_var,Plain RF,1
7,4,2094,rf_var,Plain RF,1
7,5,2440,rf_var,Plain RF,1
7,6,1353,rf_var,Plain RF,1
7,7,91947,rf_var,Plain RF,1
7,9,2617,rf_var,Plain RF,1
7,10,992,rf_var,Plain RF,1
7,11,4353,rf_var,Plain RF,1
7,12,6523,rf_var,Plain RF,1
7,13,7936,rf_var,Plain RF,1
7,14,4512,rf_var,Plain RF,1
7,15,3434,rf_var,Plain RF,1
7,16,233,rf_var,Plain RF,1
7,17,1,rf_var,Plain RF,1
7,18,1051,rf_var,Plain RF,1
7,19,433,rf_var,Plain RF,1
7,20,219,rf_var,Plain RF,1
7,21,742,rf_var,Plain RF,1
7,22,20,rf_var,Plain RF,1
7,23,1977,rf_var,Plain RF,1
7,24,2728,rf_var,Plain RF,1
7,25,3617,rf_var,Plain RF,1
7,26,731,rf_var,Plain RF,1
7,27,5630,rf_var,Plain RF,1
7,28,2091,rf_var,Plain RF,1
7,29,143,rf_var,Plain RF,1
7,30,153,rf_var,Plain RF,1
7,31,533,rf_var,Plain RF,1
7,32,1051,rf_var,Plain RF,1
7,33,15244,rf_var,Plain RF,1
7,34,532,rf_var,Plain RF,1
7,35,368,rf_var,Plain RF,1
7,36,2892,rf_var,Plain RF,1
7,37,2214,rf_var,Plain RF,1
7,38,10,rf_var,Plain RF,1
7,39,1129,rf_var,Plain RF,1
7,40,994,rf_var,Plain RF,1
7,41,18470,rf_var,Plain RF,1
7,42,166,rf_var,Plain RF,1
7,43,4,rf_var,Plain RF,1
7,44,1039,rf_var,Plain RF,1
7,45,113,rf_var,Plain RF,1
7,46,437,rf_var,Plain RF,1
7,47,648,rf_var,Plain RF,1
7,48,1,rf_var,Plain RF,1
7,49,1267,rf_var,Plain RF,1
7,50,104,rf_var,Plain RF,1
7,52,2,rf_var,Plain RF,1
7,53,2,rf_var,Plain RF,1
7,54,4,rf_var,Plain RF,1
7,55,8,rf_var,Plain RF,1
9,1,1,rf_var,Plain RF,1
9,2,657,rf_var,Plain RF,1
9,3,3768,rf_var,Plain RF,1
9,4,7,rf_var,Plain RF,1
9,5,20,rf_var,Plain RF,1
9,6,13,rf_var,Plain RF,1
9,7,176,rf_var,Plain RF,1
9,9,25186,rf_var,Plain RF,1
9,10,9,rf_var,Plain RF,1
9,11,229,rf_var,Plain RF,1
9,12,264,rf_var,Plain RF,1
9,13,39,rf_var,Plain RF,1
9,14,48,rf_var,Plain RF,1
9,15,4,rf_var,Plain RF,1
9,16,3,rf_var,Plain RF,1
9,17,1,rf_var,Plain RF,1
9,18,2,rf_var,Plain RF,1
9,19,1,rf_var,Plain RF,1
9,20,1,rf_var,Plain RF,1
9,23,2,rf_var,Plain RF,1
9,25,1,rf_var,Plain RF,1
9,26,3,rf_var,Plain RF,1
9,27,26,rf_var,Plain RF,1
9,28,2,rf_var,Plain RF,1
9,29,3,rf_var,Plain RF,1
9,31,1,rf_var,Plain RF,1
9,32,3,rf_var,Plain RF,1
9,34,1,rf_var,Plain RF,1
9,35,2,rf_var,Plain RF,1
9,36,4,rf_var,Plain RF,1
9,38,1,rf_var,Plain RF,1
9,40,1,rf_var,Plain RF,1
9,42,2,rf_var,Plain RF,1
9,43,5,rf_var,Plain RF,1
9,46,2,rf_var,Plain RF,1
9,47,1,rf_var,Plain RF,1
9,48,4,rf_var,Plain RF,1
9,50,2,rf_var,Plain RF,1
9,52,1,rf_var,Plain RF,1
9,53,2,rf_var,Plain RF,1
9,54,1,rf_var,Plain RF,1
9,55,1,rf_var,Plain RF,1
10,1,1571,rf_var,Plain RF,1
10,2,5,rf_var,Plain RF,1
10,3,767,rf_var,Plain RF,1
10,4,8,rf_var,Plain RF,1
10,5,443,rf_var,Plain RF,1
10,6,11,rf_var,Plain RF,1
10,7,118,rf_var,Plain RF,1
10,9,226,rf_var,Plain RF,1
10,10,77104,rf_var,Plain RF,1
10,11,19,rf_var,Plain RF,1
10,12,32,rf_var,Plain RF,1
10,13,72,rf_var,Plain RF,1
10,14,21,rf_var,Plain RF,1
10,15,36,rf_var,Plain RF,1
10,16,2372,rf_var,Plain RF,1
10,17,7,rf_var,Plain RF,1
10,18,6119,rf_var,Plain RF,1
10,19,14,rf_var,Plain RF,1
10,20,1824,rf_var,Plain RF,1
10,21,28,rf_var,Plain RF,1
10,22,8,rf_var,Plain RF,1
10,23,15,rf_var,Plain RF,1
10,24,19,rf_var,Plain RF,1
10,25,6,rf_var,Plain RF,1
10,26,209,rf_var,Plain RF,1
10,27,13,rf_var,Plain RF,1
10,28,872,rf_var,Plain RF,1
10,29,17,rf_var,Plain RF,1
10,30,622,rf_var,Plain RF,1
10,31,44,rf_var,Plain RF,1
10,32,7,rf_var,Plain RF,1
10,33,199,rf_var,Plain RF,1
10,34,4670,rf_var,Plain RF,1
10,35,14,rf_var,Plain RF,1
10,36,1642,rf_var,Plain RF,1
10,37,30,rf_var,Plain RF,1
10,38,10,rf_var,Plain RF,1
10,39,12542,rf_var,Plain RF,1
10,40,766,rf_var,Plain RF,1
10,41,9,rf_var,Plain RF,1
10,42,17,rf_var,Plain RF,1
10,43,204,rf_var,Plain RF,1
10,44,191,rf_var,Plain RF,1
10,45,783,rf_var,Plain RF,1
10,46,25128,rf_var,Plain RF,1
10,47,753,rf_var,Plain RF,1
10,48,11,rf_var,Plain RF,1
10,49,6284,rf_var,Plain RF,1
10,50,304,rf_var,Plain RF,1
10,52,27,rf_var,Plain RF,1
10,53,23,rf_var,Plain RF,1
10,54,19,rf_var,Plain RF,1
10,55,9,rf_var,Plain RF,1
11,1,8,rf_var,Plain RF,1
11,2,1625,rf_var,Plain RF,1
11,3,1832,rf_var,Plain RF,1
11,4,5212,rf_var,Plain RF,1
11,5,7255,rf_var,Plain RF,1
11,6,2567,rf_var,Plain RF,1
11,7,4665,rf_var,Plain RF,1
11,9,27,rf_var,Plain RF,1
11,10,35,rf_var,Plain RF,1
11,11,88729,rf_var,Plain RF,1
11,12,6396,rf_var,Plain RF,1
11,13,12161,rf_var,Plain RF,1
11,14,3395,rf_var,Plain RF,1
11,15,1423,rf_var,Plain RF,1
11,16,528,rf_var,Plain RF,1
11,17,25,rf_var,Plain RF,1
11,18,155,rf_var,Plain RF,1
11,19,4,rf_var,Plain RF,1
11,20,348,rf_var,Plain RF,1
11,21,3,rf_var,Plain RF,1
11,22,101,rf_var,Plain RF,1
11,23,28,rf_var,Plain RF,1
11,24,408,rf_var,Plain RF,1
11,25,1553,rf_var,Plain RF,1
11,26,3,rf_var,Plain RF,1
11,27,4785,rf_var,Plain RF,1
11,28,22,rf_var,Plain RF,1
11,29,2,rf_var,Plain RF,1
11,30,5,rf_var,Plain RF,1
11,31,110,rf_var,Plain RF,1
11,32,39,rf_var,Plain RF,1
11,33,2712,rf_var,Plain RF,1
11,34,26,rf_var,Plain RF,1
11,35,4,rf_var,Plain RF,1
11,36,2,rf_var,Plain RF,1
11,37,78,rf_var,Plain RF,1
11,38,2,rf_var,Plain RF,1
11,39,34,rf_var,Plain RF,1
11,40,5,rf_var,Plain RF,1
11,41,579,rf_var,Plain RF,1
11,42,21,rf_var,Plain RF,1
11,43,7,rf_var,Plain RF,1
11,44,9,rf_var,Plain RF,1
11,45,23,rf_var,Plain RF,1
11,46,57,rf_var,Plain RF,1
11,47,7,rf_var,Plain RF,1
11,48,4,rf_var,Plain RF,1
11,49,2,rf_var,Plain RF,1
11,50,12,rf_var,Plain RF,1
11,52,5,rf_var,Plain RF,1
11,53,5,rf_var,Plain RF,1
11,54,4,rf_var,Plain RF,1
11,55,10,rf_var,Plain RF,1
12,1,386,rf_var,Plain RF,1
12,2,1718,rf_var,Plain RF,1
12,3,22705,rf_var,Plain RF,1
12,4,7654,rf_var,Plain RF,1
12,5,9544,rf_var,Plain RF,1
12,6,7523,rf_var,Plain RF,1
12,7,12532,rf_var,Plain RF,1
12,9,5663,rf_var,Plain RF,1
12,10,9,rf_var,Plain RF,1
12,11,10734,rf_var,Plain RF,1
12,12,235073,rf_var,Plain RF,1
12,13,20475,rf_var,Plain RF,1
12,14,6265,rf_var,Plain RF,1
12,15,7168,rf_var,Plain RF,1
12,16,7,rf_var,Plain RF,1
12,17,11,rf_var,Plain RF,1
12,18,22,rf_var,Plain RF,1
12,19,148,rf_var,Plain RF,1
12,20,5,rf_var,Plain RF,1
12,21,9,rf_var,Plain RF,1
12,22,1351,rf_var,Plain RF,1
12,23,819,rf_var,Plain RF,1
12,24,3049,rf_var,Plain RF,1
12,25,2577,rf_var,Plain RF,1
12,26,296,rf_var,Plain RF,1
12,27,10712,rf_var,Plain RF,1
12,28,15,rf_var,Plain RF,1
12,29,88,rf_var,Plain RF,1
12,30,2,rf_var,Plain RF,1
12,31,8,rf_var,Plain RF,1
12,32,38,rf_var,Plain RF,1
12,33,4875,rf_var,Plain RF,1
12,34,30,rf_var,Plain RF,1
12,35,13,rf_var,Plain RF,1
12,36,4,rf_var,Plain RF,1
12,37,30,rf_var,Plain RF,1
12,38,25,rf_var,Plain RF,1
12,39,11,rf_var,Plain RF,1
12,40,3,rf_var,Plain RF,1
12,41,2486,rf_var,Plain RF,1
12,42,7,rf_var,Plain RF,1
12,43,6,rf_var,Plain RF,1
12,44,7,rf_var,Plain RF,1
12,45,35,rf_var,Plain RF,1
12,46,16,rf_var,Plain RF,1
12,47,2,rf_var,Plain RF,1
12,48,6,rf_var,Plain RF,1
12,49,7,rf_var,Plain RF,1
12,50,10,rf_var,Plain RF,1
12,52,6,rf_var,Plain RF,1
12,53,12,rf_var,Plain RF,1
12,54,9,rf_var,Plain RF,1
12,55,7,rf_var,Plain RF,1
13,1,2648,rf_var,Plain RF,1
13,2,2036,rf_var,Plain RF,1
13,3,1775,rf_var,Plain RF,1
13,4,10855,rf_var,Plain RF,1
13,5,9436,rf_var,Plain RF,1
13,6,695,rf_var,Plain RF,1
13,7,13234,rf_var,Plain RF,1
13,9,61,rf_var,Plain RF,1
13,10,26,rf_var,Plain RF,1
13,11,26794,rf_var,Plain RF,1
13,12,32909,rf_var,Plain RF,1
13,13,375609,rf_var,Plain RF,1
13,14,16796,rf_var,Plain RF,1
13,15,19017,rf_var,Plain RF,1
13,16,7330,rf_var,Plain RF,1
13,17,58,rf_var,Plain RF,1
13,18,6401,rf_var,Plain RF,1
13,19,223,rf_var,Plain RF,1
13,20,2080,rf_var,Plain RF,1
13,21,11,rf_var,Plain RF,1
13,22,2085,rf_var,Plain RF,1
13,23,185,rf_var,Plain RF,1
13,24,8347,rf_var,Plain RF,1
13,25,34735,rf_var,Plain RF,1
13,26,15,rf_var,Plain RF,1
13,27,2631,rf_var,Plain RF,1
13,28,98,rf_var,Plain RF,1
13,29,92,rf_var,Plain RF,1
13,30,44,rf_var,Plain RF,1
13,31,3869,rf_var,Plain RF,1
13,32,4303,rf_var,Plain RF,1
13,33,31061,rf_var,Plain RF,1
13,34,6,rf_var,Plain RF,1
13,35,1167,rf_var,Plain RF,1
13,36,15,rf_var,Plain RF,1
13,37,241,rf_var,Plain RF,1
13,38,12,rf_var,Plain RF,1
13,39,12,rf_var,Plain RF,1
13,40,10,rf_var,Plain RF,1
13,41,1068,rf_var,Plain RF,1
13,42,831,rf_var,Plain RF,1
13,43,8,rf_var,Plain RF,1
13,44,6,rf_var,Plain RF,1
13,45,5,rf_var,Plain RF,1
13,46,43,rf_var,Plain RF,1
13,47,6,rf_var,Plain RF,1
13,48,12,rf_var,Plain RF,1
13,49,12,rf_var,Plain RF,1
13,50,15,rf_var,Plain RF,1
13,52,8,rf_var,Plain RF,1
13,53,13,rf_var,Plain RF,1
13,54,10,rf_var,Plain RF,1
13,55,12,rf_var,Plain RF,1
14,2,41,rf_var,Plain RF,1
14,3,37,rf_var,Plain RF,1
14,4,327,rf_var,Plain RF,1
14,5,139,rf_var,Plain RF,1
14,7,456,rf_var,Plain RF,1
14,11,774,rf_var,Plain RF,1
14,12,437,rf_var,Plain RF,1
14,13,792,rf_var,Plain RF,1
14,14,26336,rf_var,Plain RF,1
14,15,584,rf_var,Plain RF,1
14,19,474,rf_var,Plain RF,1
14,23,842,rf_var,Plain RF,1
14,24,487,rf_var,Plain RF,1
14,25,26,rf_var,Plain RF,1
14,27,700,rf_var,Plain RF,1
14,29,4,rf_var,Plain RF,1
14,32,11,rf_var,Plain RF,1
14,33,194,rf_var,Plain RF,1
14,37,3,rf_var,Plain RF,1
14,38,1,rf_var,Plain RF,1
15,1,62,rf_var,Plain RF,1
15,2,109,rf_var,Plain RF,1
15,3,514,rf_var,Plain RF,1
15,4,2497,rf_var,Plain RF,1
15,5,1688,rf_var,Plain RF,1
15,6,2001,rf_var,Plain RF,1
15,7,1159,rf_var,Plain RF,1
15,9,204,rf_var,Plain RF,1
15,10,136,rf_var,Plain RF,1
15,11,5010,rf_var,Plain RF,1
15,12,6930,rf_var,Plain RF,1
15,13,16619,rf_var,Plain RF,1
15,14,6720,rf_var,Plain RF,1
15,15,134349,rf_var,Plain RF,1
15,16,153,rf_var,Plain RF,1
15,17,101,rf_var,Plain RF,1
15,18,112,rf_var,Plain RF,1
15,19,6697,rf_var,Plain RF,1
15,20,175,rf_var,Plain RF,1
15,21,97,rf_var,Plain RF,1
15,22,80,rf_var,Plain RF,1
15,23,13105,rf_var,Plain RF,1
15,24,5536,rf_var,Plain RF,1
15,25,4698,rf_var,Plain RF,1
15,26,94,rf_var,Plain RF,1
15,27,10704,rf_var,Plain RF,1
15,28,136,rf_var,Plain RF,1
15,29,3148,rf_var,Plain RF,1
15,30,120,rf_var,Plain RF,1
15,31,236,rf_var,Plain RF,1
15,32,4349,rf_var,Plain RF,1
15,33,3983,rf_var,Plain RF,1
15,34,97,rf_var,Plain RF,1
15,35,257,rf_var,Plain RF,1
15,36,102,rf_var,Plain RF,1
15,37,261,rf_var,Plain RF,1
15,38,1355,rf_var,Plain RF,1
15,39,91,rf_var,Plain RF,1
15,40,97,rf_var,Plain RF,1
15,41,164,rf_var,Plain RF,1
15,42,513,rf_var,Plain RF,1
15,43,140,rf_var,Plain RF,1
15,44,99,rf_var,Plain RF,1
15,45,95,rf_var,Plain RF,1
15,46,124,rf_var,Plain RF,1
15,47,73,rf_var,Plain RF,1
15,48,73,rf_var,Plain RF,1
15,49,96,rf_var,Plain RF,1
15,50,79,rf_var,Plain RF,1
15,52,106,rf_var,Plain RF,1
15,53,86,rf_var,Plain RF,1
15,54,81,rf_var,Plain RF,1
15,55,80,rf_var,Plain RF,1
16,1,3735,rf_var,Plain RF,1
16,2,2600,rf_var,Plain RF,1
16,3,68,rf_var,Plain RF,1
16,4,1432,rf_var,Plain RF,1
16,5,5370,rf_var,Plain RF,1
16,6,141,rf_var,Plain RF,1
16,7,356,rf_var,Plain RF,1
16,9,2,rf_var,Plain RF,1
16,10,12214,rf_var,Plain RF,1
16,11,139,rf_var,Plain RF,1
16,12,13,rf_var,Plain RF,1
16,13,4801,rf_var,Plain RF,1
16,14,7,rf_var,Plain RF,1
16,15,682,rf_var,Plain RF,1
16,16,543084,rf_var,Plain RF,1
16,17,5474,rf_var,Plain RF,1
16,18,68118,rf_var,Plain RF,1
16,19,394,rf_var,Plain RF,1
16,20,79731,rf_var,Plain RF,1
16,21,7,rf_var,Plain RF,1
16,22,22311,rf_var,Plain RF,1
16,23,203,rf_var,Plain RF,1
16,24,460,rf_var,Plain RF,1
16,25,3136,rf_var,Plain RF,1
16,26,39,rf_var,Plain RF,1
16,27,6,rf_var,Plain RF,1
16,28,443,rf_var,Plain RF,1
16,29,44,rf_var,Plain RF,1
