source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
14,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,185927,116623.774864589,0.0150015338232639,0.0137186235412743
15,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,278994,176713.44136,0.0225106516400936,0.0207870580378286
15,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1160830,739621.898886518,0.0936616548863769,0.087002795146081
15,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1298495,826314.457466584,0.104769165650169,0.0972005663670064
16,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,723950,514191.032338815,0.0584119595935602,0.0604850358269203
16,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1544182,1101907.37872476,0.124592439518065,0.129618960830492
16,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1750896,1249349.85633802,0.141271173982355,0.146962833010222
17,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,2280,1349.97523095145,0.000183961969574304,0.00015879954155978
17,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,9410,5557.65558282075,0.000759246549865877,0.000653755075252061
17,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,11856,7047.46369799391,0.00095660224178638,0.000829003361500095
18,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,201169,141821.970500442,0.016231335726883,0.0166827237879779
18,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,885493,628872.086621095,0.0714460685632716,0.0739751343324929
18,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1193092,846661.475568561,0.0962647167558533,0.0995940155745339
19,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,537634,354977.160709209,0.0433790392763646,0.0417564775207655
19,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,895495,590775.001230921,0.0722530806771672,0.0694937190027765
19,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,934716,615816.702409577,0.0754176299792171,0.0724394105798322
20,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,221646,157711.255256836,0.0178835239948536,0.0185518033660156
20,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,745079,528037.025935894,0.0601167545300232,0.0621137601066289
20,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,912109,647591.464980178,0.0735935825028284,0.0761771219197847
21,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,879415,662329.284365043,0.0709556646812222,0.0779107529585245
21,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1415339,1072429.06279155,0.114196732480406,0.126151383834394
21,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1770822,1346573.32601556,0.142878904774346,0.158399370555257
22,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,18719,12704.6451866615,0.00151034390721991,0.00149446581319836
22,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,165459,112093.574562525,0.0133500717209626,0.0131857295187411
22,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,279530,190324.975118175,0.0225538988399584,0.0223882024671234
23,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,676474,442157.296174463,0.0545813550025472,0.0520116031168437
23,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1465299,954712.67411858,0.118227758796166,0.112304234548429
23,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1539510,1001987.76200307,0.124215478850586,0.117865271603875
24,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,685545,442910.190550658,0.0553132493122001,0.0521001671727179
24,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1453118,937360.18886713,0.117244933905208,0.110263036577033
24,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1513304,976492.400155888,0.122101045791523,0.114866215265353
25,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,277255,184574.926928195,0.022370340295756,0.0217118159708526
25,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,773144,517064.457702886,0.062381181142349,0.0608230410140223
25,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,911075,608778.34500179,0.073510154135925,0.0716114784044376
26,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,37300,28104.4961312256,0.00300955327417611,0.00330597258311306
26,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,199642,151675.47403647,0.0161081296183128,0.0178418056795591
26,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,365938,278119.65747155,0.029525734746527,0.0327156181036875
27,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,957439,634751.89905656,0.0772510369242333,0.074666785184895
27,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1418531,938567.865793755,0.11445427923781,0.110405097362967
27,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1546652,1023244.44377055,0.12479173165177,0.120365725865824
28,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,82059,60364.6992315857,0.00662093651811307,0.00710078699563527
28,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,298740,220629.208744042,0.0241038591186963,0.0259529333575681
28,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,523156,387703.169076858,0.0422108807695678,0.0456060852814957
29,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,153237,93471.1531931926,0.0123639387419551,0.0109951471225747
29,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,339507,210233.458906059,0.0273931475457295,0.0247300662481633
29,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,369503,229437.988218087,0.0298133770366728,0.0269891228446846
30,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,329585,251602.215291725,0.0265925902377838,0.0295963329753771
30,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1096082,832162.420398588,0.0884374576907641,0.0978884707161894
30,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1547685,1176946.56512753,0.124875079333599,0.138445929004848
31,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,828120,588372.131354639,0.0668169237911722,0.0692110659391995
31,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1437440,1017871.53941899,0.115979953309161,0.119733703345477
31,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1560903,1102914.63368721,0.125941574646684,0.129737445690512
32,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,101272,66097.3695462477,0.00817113885207408,0.00777512930726426
32,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,500394,327371.555084531,0.040374327106651,0.0385091901504711
32,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,594468,388804.057217538,0.047964694793376,0.0457355843478788
33,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,482094,327839.49572942,0.0388977902455941,0.0385642346862388
33,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,864314,582779.649615205,0.0697372393730899,0.068553214212707
33,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,999192,672039.053099553,0.0806198808346,0.0790529271172348
34,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,18578,14021.4105389599,0.00149896731173308,0.00164935882863496
34,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,77718,58166.6190463032,0.00627068261025252,0.00684222364000355
34,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,157498,117580.27200364,0.0127077378438657,0.013831137685017
35,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,4343,2853.7789375141,0.000350415278009299,0.000335694149492504
35,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,79876,51950.3872123079,0.00644480100075312,0.00611099928652262
35,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,119853,77820.5920691049,0.00967034821903028,0.00915414895114389
36,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,72761,53400.800103395,0.00587072669657716,0.00628161345550607
36,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,192269,141561.305160844,0.0155132385649482,0.0166520613465644
36,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,329288,243878.97303644,0.0265686267706945,0.028687836803466
37,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,113088,78497.3854853803,0.00912451369088548,0.00923376114088716
37,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,242511,165419.734453915,0.0195670180716816,0.0194585629380091
37,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,441127,299319.317301522,0.035592364803686,0.0352093647925435
38,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,6404,4107.87105183107,0.000516707216295545,0.00048321482117691
38,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,31323,19958.1594235209,0.00252729858463856,0.00234770719800421
38,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,38521,24615.9012884483,0.00310806974998761,0.00289560411929287
39,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,78518,58586.5644107509,0.00633523066975228,0.00689162242142228
39,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,222993,166238.239637743,0.0179922067900363,0.019554844888208
39,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,322461,239901.294912729,0.0260177897679384,0.0282199367649797
40,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,315335,243293.812198523,0.0254428279279444,0.0286190034866247
40,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1366156,1044769.97114186,0.110228398467435,0.122897804825516
40,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1848130,1414373.1551025,0.149116506504105,0.166374762643933
41,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,117944,79832.9670636272,0.00951632041204899,0.00939086753623325
41,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,494378,335538.084768089,0.0398889256992128,0.0394698308645747
41,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,586174,398280.644741067,0.0472954927865123,0.0468503290630296
42,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,145463,100144.903694504,0.0117366929737662,0.0117801900595074
42,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,435992,302371.381732572,0.0351780469467719,0.0355683835518137
42,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,462002,320309.050213775,0.0372766657312577,0.0376784174740352
43,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,4308,2980.95599700274,0.000347591300406185,0.000350654171188222
43,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,19795,13891.4703010274,0.00159716104724708,0.00163407377025702
43,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,42657,30217.5733961696,0.00344178321760135,0.00355453692211726
44,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,312918,239106.129408522,0.0252478121031807,0.028126400295097
44,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1291552,988773.634298556,0.104208969178786,0.116310874624228
44,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1877657,1437288.44256195,0.151498894695166,0.169070321095555
45,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,94341,69896.3751679295,0.00761191060158307,0.00822201184056889
45,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,319622,236292.913490992,0.0257887248417887,0.0277954776323918
45,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,454936,335685.927930678,0.0367065449957261,0.0394872218699084
46,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,207773,153314.820150821,0.0167641799580534,0.0180346443372234
46,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,698231,512523.944836461,0.0563368201657175,0.0602889339096079
46,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,868113,636701.585703096,0.0700437619706394,0.0748961296488205
47,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,403797,301309.735152502,0.0325803909772786,0.0354435005270379
47,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,881437,663463.586707004,0.0711188099016078,0.0780441825857974
47,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1070360,806518.387589247,0.0863620762076982,0.094871925997071
48,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,1651,1233.20675583811,0.000133211057792621,0.000145063896718678
48,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,63868,47733.0863645662,0.005153194330163,0.00561491207996768
48,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,80926,60728.3750789625,0.00652952032884654,0.00714356671226688
49,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,160802,123299.244527156,0.0129743213295997,0.0145038687056353
49,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,564358,432222.659246506,0.045535267203954,0.0508429773868661
