method,scenario,Species,new_area_km2,old_area_km2,relative_error
rf_var,2011-2040SSP245,querVar,3769946.00230922,3769946.00231487,1.4985367785503e-12
rf_var,2011-2040SSP245,robiPse,1808756.306632,1808756.30664012,4.48758180925928e-12
rf_var,2011-2040SSP245,saliMat,998359.47728143,998359.477279758,1.67493745567311e-12
rf_var,2011-2040SSP585,chamFor,1363316.28485008,1363316.28485032,1.78296991443425e-13
rf_var,2011-2040SSP585,cyclLon,1129307.78210438,1129307.78210139,2.64785561902573e-12
rf_var,2011-2040SSP585,lariGme,947662.811398734,947662.811399102,3.87943456161045e-13
rf_var,2011-2040SSP585,lariOlg,1433090.82999949,1433090.83000323,2.60825278828335e-12
rf_var,2011-2040SSP585,phylPub,1922154.15846216,1922154.15846677,2.39704270699164e-12
rf_var,2011-2040SSP585,pinuSyl,1094082.15374734,1094082.15374661,6.6885901620656e-13
rf_var,2011-2040SSP585,pinuYun,2749794.62142571,2749794.62142773,7.35799785767856e-13
rf_var,2011-2040SSP585,querVar,3795509.31553335,3795509.31553662,8.62738014880899e-13
rf_var,2011-2040SSP585,robiPse,1817610.47042806,1817610.47043666,4.72972949675325e-12
rf_var,2011-2040SSP585,saliMat,995946.949911069,995946.949909358,1.71780190674246e-12
rf_var,2041-2070SSP245,chamFor,1606706.32301378,1606706.32301596,1.35463514750527e-12
rf_var,2041-2070SSP245,cyclLon,1441860.92684395,1441860.9268462,1.56279633307693e-12
rf_var,2041-2070SSP245,lariGme,891645.293114289,891645.293115186,1.00598305357808e-12
rf_var,2041-2070SSP245,lariOlg,1437315.56920543,1437315.56920988,3.09821933743602e-12
rf_var,2041-2070SSP245,phylPub,1939468.98632698,1939468.98633389,3.56376437891586e-12
rf_var,2041-2070SSP245,pinuSyl,1102169.84269619,1102169.84269635,1.43648312221377e-13
rf_var,2041-2070SSP245,pinuYun,2896728.73565257,2896728.73566185,3.20511707984296e-12
rf_var,2041-2070SSP245,querVar,3841725.05620969,3841725.05621711,1.93259628322944e-12
rf_var,2041-2070SSP245,robiPse,1862744.51654173,1862744.51654603,2.31050174069077e-12
rf_var,2041-2070SSP245,saliMat,996048.095629089,996048.095628447,6.44928441367807e-13
rf_var,2041-2070SSP585,chamFor,1742044.67328302,1742044.67328624,1.84602432960618e-12
rf_var,2041-2070SSP585,cyclLon,1614768.60601714,1614768.60602067,2.18445183923211e-12
rf_var,2041-2070SSP585,lariGme,864476.153028055,864476.153028991,1.08257789285177e-12
rf_var,2041-2070SSP585,lariOlg,1448450.01084386,1448450.01084747,2.49507903188241e-12
rf_var,2041-2070SSP585,phylPub,1954611.48166995,1954611.48167634,3.27016377431068e-12
rf_var,2041-2070SSP585,pinuSyl,1088840.27663733,1088840.27663766,3.06209725031409e-13
rf_var,2041-2070SSP585,pinuYun,2995103.35530611,2995103.35531597,3.29061136684165e-12
rf_var,2041-2070SSP585,querVar,3797120.86879256,3797120.86880077,2.16242931494846e-12
rf_var,2041-2070SSP585,robiPse,1840615.49556631,1840615.49557015,2.08427589831654e-12
rf_var,2041-2070SSP585,saliMat,996759.854704019,996759.854703455,5.65632133906096e-13
rf_var,2071-2100SSP245,chamFor,1767791.03257418,1767791.03257948,3.00028790998898e-12
rf_var,2071-2100SSP245,cyclLon,1648501.57383293,1648501.57383671,2.29271230214042e-12
rf_var,2071-2100SSP245,lariGme,867986.68960574,867986.689606718,1.12701952809319e-12
rf_var,2071-2100SSP245,lariOlg,1465046.56470927,1465046.56471221,2.00482267283466e-12
rf_var,2071-2100SSP245,phylPub,1961630.11532015,1961630.11532715,3.5709804260433e-12
rf_var,2071-2100SSP245,pinuSyl,1095842.9502165,1095842.9502169,3.67780660618455e-13
rf_var,2071-2100SSP245,pinuYun,2987178.83189956,2987178.8319095,3.32880342581067e-12
rf_var,2071-2100SSP245,querVar,3793422.54524087,3793422.54524943,2.25746300904801e-12
rf_var,2071-2100SSP245,robiPse,1839717.07633752,1839717.07634018,1.44453133628133e-12
rf_var,2071-2100SSP245,saliMat,1010909.03392389,1010909.0339234,4.86201500095173e-13
rf_var,2071-2100SSP585,chamFor,2005793.19120757,2005793.19121557,3.98940608440633e-12
rf_var,2071-2100SSP585,cyclLon,1953125.01488435,1953125.01489248,4.16505333585642e-12
rf_var,2071-2100SSP585,lariGme,734812.722413579,734812.722413953,5.09189393349926e-13
rf_var,2071-2100SSP585,lariOlg,1529981.29035467,1529981.29035628,1.05292478646323e-12
rf_var,2071-2100SSP585,phylPub,2002110.71296862,2002110.71297668,4.02465401306055e-12
rf_var,2071-2100SSP585,pinuSyl,1111611.68519406,1111611.68519456,4.51581136113987e-13
rf_var,2071-2100SSP585,pinuYun,3200042.83627132,3200042.83627638,1.58133545957825e-12
rf_var,2071-2100SSP585,querVar,3648349.81202598,3648349.81203131,1.46028507752154e-12
rf_var,2071-2100SSP585,robiPse,1742602.56775637,1742602.56775884,1.41694326729065e-12
rf_var,2071-2100SSP585,saliMat,1083482.17846579,1083482.17846552,2.44975818745189e-13
