method,zone,sensitivity,specificity,precision,balanced_accuracy,f1,tss
rf_var,1,0.76928147659855,0.997369722027809,0.264158630992802,0.88332559931318,0.393273572824695,0.766651198626359
rf_var,2,0.645825764603387,0.993599021140607,0.702897966548045,0.819712392871997,0.673154340209483,0.639424785743994
rf_var,3,0.521190426563477,0.985737129401057,0.630358869138043,0.753463777982267,0.570599989284843,0.506927555964535
rf_var,4,0.461309687119325,0.995056418120394,0.409067907121587,0.728183052619859,0.433620969780121,0.456366105239718
rf_var,5,0.387999642314227,0.99172617606937,0.422533839711754,0.689862909191798,0.404531046056312,0.379725818383597
rf_var,6,0.563977025595271,0.995583758762456,0.482431955428779,0.779780392178864,0.520027148483695,0.559560784357728
rf_var,7,0.416233425114122,0.986395610681496,0.35728002114658,0.701314517897809,0.384510153367303,0.402629035795618
rf_var,9,0.827364132220543,0.996082027977251,0.342384727302395,0.911723080098897,0.484337882416304,0.823446160197794
rf_var,10,0.528930157226878,0.993285007850853,0.484160138704794,0.761107582538866,0.505555919973762,0.522215165077731
rf_var,11,0.603990738218469,0.992117509086091,0.479216309240138,0.79805412365228,0.534417151482467,0.596108247304561
rf_var,12,0.628811206022488,0.990846397418912,0.681504913061001,0.8098288017207,0.654098534011599,0.6196576034414
rf_var,13,0.607191766978989,0.986524308992088,0.703313188140618,0.796858037985538,0.651727375434078,0.593716075971077
rf_var,14,0.806245216592683,0.994776875548701,0.290050441639684,0.900511046070692,0.426621740926431,0.801022092141384
rf_var,15,0.579935868071461,0.989957277169367,0.523908426510088,0.784946572620414,0.550500264592589,0.569893145240828
rf_var,16,0.596221029171196,0.985686296232648,0.767959996662618,0.790953662701922,0.671280263984954,0.581907325403844
rf_var,17,0.954110898661568,0.999325938103822,0.152180542848429,0.976718418382695,0.262493424513414,0.95343683676539
rf_var,18,0.422566880898001,0.990401389470889,0.288551980946163,0.706484135184445,0.342931448194606,0.41296827036889
rf_var,19,0.770482303000449,0.995715541390044,0.913967037310739,0.883098922195247,0.836113513088594,0.766197844390493
rf_var,20,0.596569946626595,0.984228471830703,0.544211639599791,0.790399209228649,0.569189251841922,0.580798418457298
rf_var,21,0.639113017832602,0.988546986541161,0.739193406788904,0.813830002186882,0.685519737172452,0.627660004373763
rf_var,22,0.726126340882002,0.99447081136878,0.308781639955803,0.860298576125391,0.43330322406276,0.720597152250782
rf_var,23,0.57454857072902,0.988572891817278,0.576919885555183,0.781560731273149,0.575731786419111,0.563121462546298
rf_var,24,0.639356696912467,0.986649428184537,0.778282895940377,0.813003062548502,0.702012534244395,0.626006125097004
rf_var,25,0.647497270247596,0.987657779412066,0.506242872116709,0.817577524829831,0.568223061227888,0.635155049659662
rf_var,26,0.593669740478928,0.993168733095244,0.223646382367034,0.793419236787086,0.324897762487701,0.586838473574171
rf_var,27,0.73972615524247,0.992034639912985,0.873609871154758,0.865880397577727,0.801112800554379,0.731760795155455
rf_var,28,0.490400069501759,0.993461373924242,0.218812082683232,0.741930721713,0.302604686693783,0.483861443426001
rf_var,29,0.79206781271123,0.994098084184875,0.6434889726617,0.893082948448052,0.710089504327817,0.786165896896105
rf_var,30,0.431303200951001,0.982027422246916,0.539613612579086,0.706665311598958,0.479417134689224,0.413330623197916
rf_var,31,0.705405504992815,0.987698875861646,0.807068362225006,0.84655219042723,0.752820234396902,0.693104380854461
rf_var,32,0.6695711120664,0.994185890702801,0.361286811608425,0.831878501384601,0.469331818998337,0.663757002769201
rf_var,33,0.664676481605969,0.988726758247727,0.657233103308301,0.826701619926848,0.660933836454881,0.653403239853696
rf_var,34,0.772327535665429,0.998481632163366,0.173844191263802,0.885404583914397,0.283806104129264,0.770809167828795
rf_var,35,0.8514788218111,0.996384057116113,0.385392995358702,0.923931439463607,0.530619210603662,0.847862878927214
