Species,method,scenario,area_metric,area_value,period,ssp,method_label,area_metric_label
pinuYun,mf_var,2071-2100SSP585,suitability_weighted_area_km2,3794961.49527456,2071-2100,SSP585,Plain MF RF,Suitability-weighted area
pinuYun,rf_var,2011-2040SSP245,suitability_weighted_area_km2,4213109.75768622,2011-2040,SSP245,Plain RF,Suitability-weighted area
pinuYun,rf_var,2011-2040SSP585,suitability_weighted_area_km2,4194064.89921485,2011-2040,SSP585,Plain RF,Suitability-weighted area
pinuYun,rf_var,2041-2070SSP245,suitability_weighted_area_km2,4106458.06740249,2041-2070,SSP245,Plain RF,Suitability-weighted area
pinuYun,rf_var,2041-2070SSP585,suitability_weighted_area_km2,4015289.1230699,2041-2070,SSP585,Plain RF,Suitability-weighted area
pinuYun,rf_var,2071-2100SSP245,suitability_weighted_area_km2,3995674.33181894,2071-2100,SSP245,Plain RF,Suitability-weighted area
pinuYun,rf_var,2071-2100SSP585,suitability_weighted_area_km2,3792848.5492081,2071-2100,SSP585,Plain RF,Suitability-weighted area
querVar,mf_var,2011-2040SSP245,suitability_weighted_area_km2,4207089.41982477,2011-2040,SSP245,Plain MF RF,Suitability-weighted area
querVar,mf_var,2011-2040SSP585,suitability_weighted_area_km2,4166610.29644365,2011-2040,SSP585,Plain MF RF,Suitability-weighted area
querVar,mf_var,2041-2070SSP245,suitability_weighted_area_km2,3887245.92096167,2041-2070,SSP245,Plain MF RF,Suitability-weighted area
querVar,mf_var,2041-2070SSP585,suitability_weighted_area_km2,3732715.44490255,2041-2070,SSP585,Plain MF RF,Suitability-weighted area
querVar,mf_var,2071-2100SSP245,suitability_weighted_area_km2,3713865.88980595,2071-2100,SSP245,Plain MF RF,Suitability-weighted area
querVar,mf_var,2071-2100SSP585,suitability_weighted_area_km2,3420312.09421978,2071-2100,SSP585,Plain MF RF,Suitability-weighted area
querVar,rf_var,2011-2040SSP245,suitability_weighted_area_km2,4213306.78026875,2011-2040,SSP245,Plain RF,Suitability-weighted area
querVar,rf_var,2011-2040SSP585,suitability_weighted_area_km2,4172690.87828709,2011-2040,SSP585,Plain RF,Suitability-weighted area
querVar,rf_var,2041-2070SSP245,suitability_weighted_area_km2,3889369.63396708,2041-2070,SSP245,Plain RF,Suitability-weighted area
querVar,rf_var,2041-2070SSP585,suitability_weighted_area_km2,3734618.35887549,2041-2070,SSP585,Plain RF,Suitability-weighted area
querVar,rf_var,2071-2100SSP245,suitability_weighted_area_km2,3714766.72342789,2071-2100,SSP245,Plain RF,Suitability-weighted area
querVar,rf_var,2071-2100SSP585,suitability_weighted_area_km2,3426802.5717831,2071-2100,SSP585,Plain RF,Suitability-weighted area
robiPse,mf_var,2011-2040SSP245,suitability_weighted_area_km2,2101951.12778093,2011-2040,SSP245,Plain MF RF,Suitability-weighted area
robiPse,mf_var,2011-2040SSP585,suitability_weighted_area_km2,2078348.34034521,2011-2040,SSP585,Plain MF RF,Suitability-weighted area
robiPse,mf_var,2041-2070SSP245,suitability_weighted_area_km2,1913818.07404308,2041-2070,SSP245,Plain MF RF,Suitability-weighted area
robiPse,mf_var,2041-2070SSP585,suitability_weighted_area_km2,1804783.02907732,2041-2070,SSP585,Plain MF RF,Suitability-weighted area
robiPse,mf_var,2071-2100SSP245,suitability_weighted_area_km2,1797217.98073297,2071-2100,SSP245,Plain MF RF,Suitability-weighted area
robiPse,mf_var,2071-2100SSP585,suitability_weighted_area_km2,1603108.34688833,2071-2100,SSP585,Plain MF RF,Suitability-weighted area
robiPse,rf_var,2011-2040SSP245,suitability_weighted_area_km2,2110474.73913156,2011-2040,SSP245,Plain RF,Suitability-weighted area
robiPse,rf_var,2011-2040SSP585,suitability_weighted_area_km2,2086426.06748153,2011-2040,SSP585,Plain RF,Suitability-weighted area
robiPse,rf_var,2041-2070SSP245,suitability_weighted_area_km2,1921159.06753651,2041-2070,SSP245,Plain RF,Suitability-weighted area
robiPse,rf_var,2041-2070SSP585,suitability_weighted_area_km2,1810690.64353653,2041-2070,SSP585,Plain RF,Suitability-weighted area
robiPse,rf_var,2071-2100SSP245,suitability_weighted_area_km2,1801859.98111217,2071-2100,SSP245,Plain RF,Suitability-weighted area
robiPse,rf_var,2071-2100SSP585,suitability_weighted_area_km2,1611369.12315974,2071-2100,SSP585,Plain RF,Suitability-weighted area
saliMat,mf_var,2011-2040SSP245,suitability_weighted_area_km2,1472079.29913067,2011-2040,SSP245,Plain MF RF,Suitability-weighted area
saliMat,mf_var,2011-2040SSP585,suitability_weighted_area_km2,1457623.41273222,2011-2040,SSP585,Plain MF RF,Suitability-weighted area
saliMat,mf_var,2041-2070SSP245,suitability_weighted_area_km2,1358982.36636075,2041-2070,SSP245,Plain MF RF,Suitability-weighted area
saliMat,mf_var,2041-2070SSP585,suitability_weighted_area_km2,1286827.56712025,2041-2070,SSP585,Plain MF RF,Suitability-weighted area
saliMat,mf_var,2071-2100SSP245,suitability_weighted_area_km2,1285793.62638767,2071-2100,SSP245,Plain MF RF,Suitability-weighted area
saliMat,mf_var,2071-2100SSP585,suitability_weighted_area_km2,1163257.60920283,2071-2100,SSP585,Plain MF RF,Suitability-weighted area
saliMat,rf_var,2011-2040SSP245,suitability_weighted_area_km2,1482266.80575459,2011-2040,SSP245,Plain RF,Suitability-weighted area
saliMat,rf_var,2011-2040SSP585,suitability_weighted_area_km2,1466808.00040929,2011-2040,SSP585,Plain RF,Suitability-weighted area
saliMat,rf_var,2041-2070SSP245,suitability_weighted_area_km2,1365332.99103966,2041-2070,SSP245,Plain RF,Suitability-weighted area
saliMat,rf_var,2041-2070SSP585,suitability_weighted_area_km2,1291345.47513466,2041-2070,SSP585,Plain RF,Suitability-weighted area
saliMat,rf_var,2071-2100SSP245,suitability_weighted_area_km2,1289718.68730137,2071-2100,SSP245,Plain RF,Suitability-weighted area
saliMat,rf_var,2071-2100SSP585,suitability_weighted_area_km2,1173691.90971541,2071-2100,SSP585,Plain RF,Suitability-weighted area
