zone,method,rank_cutoff,true_positive,false_positive,false_negative,f1,multiclass_f1,method_label,rank_label,common_reference_area_km2,common_valid_pixels,zone_name,category_label,zone_color,reference_area_km2
34,rf_var,1,3952,18781,1165,0.283806104129264,0.254831563669697,Plain RF,Top-1,3869.70482527417,12374320,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",forest,#2A9D8F,3904.5141748997
35,rf_var,1,27983,44626,4881,0.530619210603662,0.393257652213704,Plain RF,Top-1,21638.1070863135,12374320,Steppe shrub deserts,desert,#D62828,21673.0911747923
36,rf_var,1,16388,119534,6187,0.206792557587841,0.196178100323608,Plain RF,Top-1,16787.246396107,12374320,Broadleaf evergreen and deciduous mixed forests in subtropical zone,forest,#40916C,16932.3871491317
37,rf_var,1,140102,54966,51532,0.724599303856717,0.73621139888669,Plain RF,Top-1,134142.804615336,12374320,Needleleaf forests in temperate zone,forest,#0B3D2E,135761.296395213
38,rf_var,1,27834,26386,2197,0.660739931870245,0.546616076291763,Plain RF,Top-1,19639.1015916532,12374320,Annual herb deserts,desert,#F4A261,19641.7789199388
39,rf_var,1,13633,56563,8310,0.295922464971402,0.296032070686411,Plain RF,Top-1,16360.997186318,12374320,Sclerophyllous broadleaf evergreen forests in subtropical zone,forest,#118AB2,16428.3011178075
40,rf_var,1,131355,200863,207940,0.391221018803806,0.415430420790872,Plain RF,Top-1,260618.413694786,12374320,Subtropical and tropical grasslands,grassland meadow steppe,#AACC00,262130.658259238
41,rf_var,1,47681,99251,43530,0.400440071721613,0.410928250671158,Plain RF,Top-1,62469.8211273457,12374320,Temperate grasslands,grassland meadow steppe,#70E000,62655.3585233834
42,rf_var,1,119281,135000,35655,0.582971870670085,0.552386010480936,Plain RF,Top-1,107296.041839996,12374320,Cushion nano-semi-shrub high-cold deserts,desert,#8D99AE,108908.531014594
43,rf_var,1,4937,18428,755,0.339814846680662,0.248891633764916,Plain RF,Top-1,4030.50754712128,12374320,High-cold marshes,wetland,#4CC9F0,4041.58735428002
44,rf_var,1,194616,164102,370885,0.421146935953492,0.397392198555603,Plain RF,Top-1,432640.857362042,12374320,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,scrub,#F72585,441250.860529288
45,rf_var,1,11562,49263,4815,0.299525919017642,0.200401533126483,Plain RF,Top-1,12137.1520883011,12374320,Subalpine needleleaf evergreen scrubs,scrub,#7209B7,12167.9589990281
46,rf_var,1,66031,108656,70244,0.424688547153672,0.436132480850964,Plain RF,Top-1,100920.940977744,12374320,Subalpine sclerophyllous broadleaf evergreen scrubs,scrub,#B5179E,101463.317627609
47,rf_var,1,202113,153248,151677,0.570014002659518,0.597885103062618,Plain RF,Top-1,264994.204863356,12374320,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,cropland,#FF6D00,269180.349462283
48,rf_var,1,1482,8460,130,0.256534533494894,0.186868099941894,Plain RF,Top-1,1217.15664610023,12374320,Subtropical and tropical marshes,wetland,#00BFA6,1797.64026241183
49,rf_var,1,70032,126948,87471,0.395121909936443,0.429559658967206,Plain RF,Top-1,120632.172105742,12374320,Broadleaf evergreen forests in subtropical zone,forest,#006400,121050.734801791
50,rf_var,1,1968,14610,298,0.208872850774782,0.189400668273908,Plain RF,Top-1,1755.4696772639,12374320,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones,scrub,#FF006E,1954.02259297092
52,rf_var,1,20473,27295,2863,0.575860711071107,0.572904676499719,Plain RF,Top-1,18097.9709420309,12374320,Tropical rain forests,forest,#00C853,18691.6856141285
53,rf_var,1,49809,46594,13893,0.622204178507854,0.577851204434023,Plain RF,Top-1,50493.2242293532,12374320,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,cropland,#FF9F1C,53783.411818324
54,rf_var,1,10742,13344,629,0.605917026257157,0.584466322862947,Plain RF,Top-1,9001.15278772923,12374320,Tropical mangroves,wetland,#006D5B,9405.78073086598
55,rf_var,1,5450,16130,930,0.389842632331903,0.311470890453873,Plain RF,Top-1,5102.30512347929,12374320,Tropical monsoon forests,forest,#00A676,5167.1571874639
1,rf_var,3,13480,16422,1690,0.598154064607739,0.33198303160662,Plain RF,Top-3,9656.10592542594,12374320,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,#FFD23F,9762.48864593947
2,rf_var,3,253414,17041,30099,0.91490483204806,0.67354693113083,Plain RF,Top-3,159834.83273335,12374320,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,forest,#005A32,160335.840232647
3,rf_var,3,474840,79473,76895,0.858624580488369,0.503734533927331,Plain RF,Top-3,344829.064526946,12374320,Broadleaf deciduous forests in temperate zone,forest,#33A02C,345904.264996547
4,rf_var,3,79177,17427,11944,0.843542415767745,0.502292811286631,Plain RF,Top-3,52764.6707092521,12374320,"Grass, Carex and forb swamp meadows",wetland,#00B4D8,53482.0093491042
5,rf_var,3,146266,39993,43845,0.777245795360948,0.464342351548911,Plain RF,Top-3,116925.872776899,12374320,Grass and forb meadows,grassland meadow steppe,#B8DE29,118048.393013657
6,rf_var,3,80753,11070,8912,0.889899056686943,0.55504815373601,Plain RF,Top-3,52067.6396461832,12374320,Cold-temperate and temperate marshes,wetland,#0077B6,53583.994126283
7,rf_var,3,175740,75590,45076,0.744430748116049,0.412533515069451,Plain RF,Top-3,145211.466589798,12374320,Deciduous scrubs in temperate zone,scrub,#C77DFF,145723.607727903
9,rf_var,3,29913,6651,521,0.892952028418759,0.385568598775185,Plain RF,Top-3,18615.0721910364,12374320,Needleleaf and deciduous broadleaf mixed forests in temperate zone,forest,#2CA25F,18681.3387065463
10,rf_var,3,120947,41475,24766,0.785026043779512,0.512620701338303,Plain RF,Top-3,108490.394320759,12374320,Needleleaf forests on mountains in subtropical and tropical zones,forest,#006D77,109739.960164066
11,rf_var,3,125834,36410,21006,0.814238200618602,0.575541125541126,Plain RF,Top-3,88398.5760734968,12374320,Temperate grass and forb meadow steppes,grassland meadow steppe,#D9ED92,88744.7461983382
12,rf_var,3,316789,26187,57010,0.883928708451048,0.674787451178727,Plain RF,Top-3,230329.665891326,12374320,One year one ripe grain fields and cold-tolerant economic crop fields,cropland,#F8961E,231554.213781713
13,rf_var,3,532951,64240,85534,0.876797765194016,0.644214278935943,Plain RF,Top-3,391289.503816282,12374320,Temperate tufted grass steppes,grassland meadow steppe,#DDA15E,392778.754746233
14,rf_var,3,30887,22723,1778,0.716012749927557,0.382792730618818,Plain RF,Top-3,20690.6930687741,12374320,Microphyllous deciduous woodlands in temperate zone,forest,#8AC926,20908.5541959762
15,rf_var,3,210471,46169,20927,0.862518902216631,0.586968787476375,Plain RF,Top-3,148431.114581419,12374320,Grass and forb halophytic meadows,grassland meadow steppe,#FF70A6,155782.486712609
16,rf_var,3,814770,43449,96060,0.921138984844399,0.572174861993948,Plain RF,Top-3,649431.576281616,12374320,Kobresia spp. and forb high-cold meadows,grassland meadow steppe,#90BE6D,653919.837866197
17,rf_var,3,1499,1356,70,0.677667269439421,0.288419117647059,Plain RF,Top-3,904.361409082834,12374320,Alpine tundra,alpine vegetation,#A2D2FF,1166.83977455947
