niche_type,method,zoneID,metric,value,method_label
climate,rf_var,11,Test F1,0.96198896019387,Plain RF
climate,rf_var,11,Test TSS,0.922935195505311,Plain RF
climate,rf_var,11,Test accuracy,0.961467597752656,Plain RF
climate,rf_var,11,Test balanced accuracy,0.961467597752656,Plain RF
climate,rf_var,11,Test precision,0.949146538555204,Plain RF
climate,rf_var,11,Test recall,0.975183677183086,Plain RF
climate,rf_var,11,Test specificity,0.947751518322226,Plain RF
climate,rf_var,11,Train accuracy,1,Plain RF
climate,rf_var,12,OOB accuracy,0.949498930300642,Plain RF
climate,rf_var,12,Test AUC,0.986761868600949,Plain RF
climate,rf_var,12,Test F1,0.956013392156521,Plain RF
climate,rf_var,12,Test TSS,0.910299948438028,Plain RF
climate,rf_var,12,Test accuracy,0.955149974219014,Plain RF
climate,rf_var,12,Test balanced accuracy,0.955149974219014,Plain RF
climate,rf_var,12,Test precision,0.937956579014901,Plain RF
climate,rf_var,12,Test recall,0.974779083619295,Plain RF
climate,rf_var,12,Test specificity,0.935520864818733,Plain RF
climate,rf_var,12,Train accuracy,0.99994370003378,Plain RF
climate,rf_var,13,OOB accuracy,0.936494448221165,Plain RF
climate,rf_var,13,Test AUC,0.980486151383649,Plain RF
climate,rf_var,13,Test F1,0.941752306950239,Plain RF
climate,rf_var,13,Test TSS,0.88153782652279,Plain RF
climate,rf_var,13,Test accuracy,0.940768913261395,Plain RF
climate,rf_var,13,Test balanced accuracy,0.940768913261395,Plain RF
climate,rf_var,13,Test precision,0.926372065046047,Plain RF
climate,rf_var,13,Test recall,0.957651876986743,Plain RF
climate,rf_var,13,Test specificity,0.923885949536047,Plain RF
climate,rf_var,13,Train accuracy,1,Plain RF
climate,rf_var,14,OOB accuracy,0.982526479564359,Plain RF
climate,rf_var,14,Test AUC,0.997519020226806,Plain RF
climate,rf_var,14,Test F1,0.985700667302192,Plain RF
climate,rf_var,14,Test TSS,0.971112913034665,Plain RF
climate,rf_var,14,Test accuracy,0.985556456517332,Plain RF
climate,rf_var,14,Test balanced accuracy,0.985556456517332,Plain RF
climate,rf_var,14,Test precision,0.975956284153006,Plain RF
climate,rf_var,14,Test recall,0.99564159740523,Plain RF
climate,rf_var,14,Test specificity,0.975471315629435,Plain RF
climate,rf_var,14,Train accuracy,1,Plain RF
climate,rf_var,15,OOB accuracy,0.939356167353132,Plain RF
climate,rf_var,15,Test AUC,0.981691536821099,Plain RF
climate,rf_var,15,Test F1,0.943047964324853,Plain RF
